,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,40.267056,0.000000,0.000000
C1-2,37.356730,0.000000,0.000000
C1-3,36.831122,0.000000,0.000000
C1-4,27.480348,0.000000,0.000000
C1-5,7.936051,0.000000,0.000000
C1-6,22.105276,0.000000,0.000000
C1-7,21.402038,0.000000,0.000000
C1-8,18.655001,0.000000,0.000000
C1-9,19.295482,0.000000,0.000000
C1-10,40.503993,0.000000,0.000000
C1-11,24.235512,0.000000,0.000000
C1-12,26.816356,0.000000,0.000000
C1-13,29.635496,0.000000,0.000000
C1-14,27.868183,0.000000,0.000000
C1-15,24.038058,0.000000,0.000000
C1-16,11.206674,0.000000,0.000000
C1-17,23.670595,0.000000,0.000000
C1-18,-2.124239,0.000000,0.000000
C1-19,11.242355,0.000000,0.000000
C1-20,12.434527,0.000000,0.000000
C1-21,26.578655,0.000000,0.000000
C1-22,21.042769,0.000000,0.000000
C1-23,72.595859,0.000000,0.000000
C1-24,71.520645,0.000000,0.000000
C2-1,-103.617149,0.000000,0.000000
C2-2,-97.223888,0.000000,0.000000
C2-3,-93.511692,0.000000,0.000000
C2-4,-94.465986,0.000000,0.000000
C2-5,-78.855397,0.000000,0.000000
C2-6,-62.867837,0.000000,0.000000
C2-7,-63.476747,0.000000,0.000000
C2-8,-60.398820,0.000000,0.000000
C2-9,-63.360230,0.000000,0.000000
C2-10,-51.720580,0.000000,0.000000
C2-11,-75.956421,0.000000,0.000000
C2-12,-80.406858,0.000000,0.000000
C2-13,-85.878813,0.000000,0.000000
C2-14,-80.787735,0.000000,0.000000
C2-15,-68.527263,0.000000,0.000000
C2-16,-60.628806,0.000000,0.000000
C2-17,-65.983125,0.000000,0.000000
C2-18,-71.695817,0.000000,0.000000
C2-19,-41.977451,0.000000,0.000000
C2-20,-43.564572,0.000000,0.000000
C2-21,-72.267887,0.000000,0.000000
C2-22,-118.671862,0.000000,0.000000
C2-23,-112.067200,0.000000,0.000000
C2-24,-109.687472,0.000000,0.000000
C3-1,17.720862,0.000000,0.000000
C3-2,15.843748,0.000000,0.000000
C3-3,13.323405,0.000000,0.000000
C3-4,5.468092,0.000000,0.000000
C3-5,-12.673888,0.000000,0.000000
C3-6,-5.140001,0.000000,0.000000
C3-7,-9.482393,0.000000,0.000000
C3-8,-13.793669,0.000000,0.000000
C3-9,-14.991880,0.000000,0.000000
C3-10,-1.051683,0.000000,0.000000
C3-11,-12.494846,0.000000,0.000000
C3-12,-11.650244,0.000000,0.000000
C3-13,-8.894931,0.000000,0.000000
C3-14,-11.979531,0.000000,0.000000
