,hour,dispatch,dual,offer,lmp,capacity
320_PV_1-1,1,0.000000,0.000000,,0.000000,37.433333
314_PV_1-1,1,0.000000,0.000000,,0.000000,36.458333
314_PV_2-1,1,0.000000,0.000000,,0.000000,35.891667
313_PV_1-1,1,0.000000,0.000000,,0.000000,65.116667
314_PV_3-1,1,0.000000,0.000000,,0.000000,59.958333
314_PV_4-1,1,0.000000,0.000000,,0.000000,34.508333
313_PV_2-1,1,0.000000,0.000000,,0.000000,67.858333
310_PV_1-1,1,0.000000,0.000000,,0.000000,36.241667
324_PV_1-1,1,0.000000,0.000000,,0.000000,40.208333
312_PV_1-1,1,0.000000,0.000000,,0.000000,60.858333
310_PV_2-1,1,0.000000,0.000000,,0.000000,34.658333
324_PV_2-1,1,0.000000,0.000000,,0.000000,39.700000
324_PV_3-1,1,0.000000,0.000000,,0.000000,39.066667
319_PV_1-1,1,0.000000,0.000000,,0.000000,138.575000
308_RTPV_1-1,1,0.000000,0.000000,,0.000000,64.608333
313_RTPV_1-1,1,0.000000,0.000000,,0.000000,51.825000
313_RTPV_2-1,1,0.000000,0.000000,,0.000000,36.333333
313_RTPV_3-1,1,0.000000,0.000000,,0.000000,32.966667
313_RTPV_4-1,1,0.000000,0.000000,,0.000000,31.733333
313_RTPV_5-1,1,0.000000,0.000000,,0.000000,41.625000
313_RTPV_6-1,1,0.000000,0.000000,,0.000000,35.858333
313_RTPV_7-1,1,0.000000,0.000000,,0.000000,33.533333
313_RTPV_8-1,1,0.000000,0.000000,,0.000000,41.650000
313_RTPV_9-1,1,0.000000,0.000000,,0.000000,30.283333
313_RTPV_10-1,1,0.000000,0.000000,,0.000000,38.683333
313_RTPV_11-1,1,0.000000,0.000000,,0.000000,39.200000
313_RTPV_12-1,1,0.000000,0.000000,,0.000000,16.691667
320_RTPV_1-1,1,0.000000,0.000000,,0.000000,16.825000
320_RTPV_2-1,1,0.000000,0.000000,,0.000000,14.208333
