,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,42.058842,0.0
301,2,0.000000,0.000000,0.000000,0.000000,41.888010,0.0
301,3,0.000000,0.000000,0.000000,0.000000,41.870927,0.0
301,4,0.000000,0.000000,0.000000,0.000000,41.922177,0.0
301,5,0.000000,0.000000,0.000000,0.000000,42.503005,0.0
301,6,0.000000,0.000000,0.000000,0.000000,45.817146,0.0
301,7,0.000000,0.000000,0.000000,0.000000,49.541284,0.0
301,8,0.000000,0.000000,0.000000,0.000000,53.777918,0.0
301,9,0.000000,0.000000,0.000000,0.000000,58.407466,0.0
301,10,0.000000,0.000000,0.000000,0.000000,62.490351,0.0
301,11,0.000000,0.000000,0.000000,0.000000,64.677001,0.0
301,12,0.000000,0.000000,0.000000,0.000000,65.616577,0.0
301,13,0.000000,0.000000,0.000000,0.000000,65.582411,0.0
301,14,0.000000,0.000000,0.000000,0.000000,65.343246,0.0
301,15,0.000000,0.000000,0.000000,0.000000,64.403670,0.0
301,16,15.731579,0.000000,0.000000,0.000000,62.814932,988.178065137628
301,17,23.538563,0.000000,0.000000,0.000000,62.883265,1480.181694848195
301,18,23.538563,0.000000,0.000000,0.000000,61.226194,1441.176624719222
301,19,25.021772,0.000000,0.000000,0.000000,69.545713,1740.156974263436
301,20,23.893954,0.000000,0.000000,0.000000,69.767795,1667.0284844114303
301,21,22.732463,0.000000,0.000000,0.000000,61.277444,1392.987228464572
301,22,21.116646,0.000000,0.000000,0.000000,54.768744,1156.532178912624
301,23,0.000000,0.000000,0.000000,0.000000,47.012971,0.0
301,24,0.000000,0.000000,0.000000,0.000000,43.869662,0.0
302,1,0.000000,0.340674,0.000000,0.000000,37.775071,0.0
302,2,0.000000,0.312599,0.000000,0.000000,37.621639,0.0
302,3,0.000000,0.382874,0.000000,0.000000,37.606295,0.0
302,4,0.000000,0.308926,0.000000,0.000000,37.652325,0.0
302,5,0.000000,0.384018,0.000000,0.000000,38.173996,0.0
302,6,0.000000,0.390016,0.000000,0.000000,41.150585,0.0
302,7,0.000000,0.323295,0.000000,0.000000,44.495413,0.0
302,8,0.000000,0.404415,0.000000,0.000000,48.300538,0.0
302,9,0.000000,-0.066992,0.000000,0.000000,52.458557,0.0
302,10,0.000000,0.243379,0.000000,0.000000,56.125593,0.0
302,11,0.000000,0.137869,0.000000,0.000000,58.089529,0.0
302,12,0.000000,-0.110158,0.000000,0.000000,58.933407,0.0
302,13,0.000000,0.068800,0.000000,0.000000,58.902721,0.0
302,14,0.000000,0.195050,0.000000,0.000000,58.687915,0.0
302,15,0.000000,0.285127,0.000000,0.000000,57.844037,0.0
302,16,15.731579,0.316896,0.000000,0.000000,56.417115,887.530301574585
302,17,23.650331,0.429504,0.000000,0.000000,56.478488,1335.7349355795282
302,18,23.650331,0.592809,0.000000,0.000000,54.990193,1300.536266203883
302,19,25.326051,0.606680,0.000000,0.000000,62.462354,1581.9247629840538
302,20,24.458076,0.603768,0.000000,0.000000,62.661816,1532.5874580260158
302,21,22.732463,0.397951,0.000000,0.000000,55.036223,1251.108903007249
302,22,21.116646,0.290787,0.000000,0.000000,49.190446,1038.737234764116
302,23,0.000000,0.397486,0.000000,0.000000,42.224612,0.0
302,24,0.000000,0.392926,0.000000,0.000000,39.401455,0.0
303,1,0.000000,-12.565018,0.000000,0.000000,70.098070,0.0
303,2,0.000000,-11.673857,0.000000,0.000000,69.813350,0.0
303,3,0.000000,-15.414078,0.000000,0.000000,69.784878,0.0
303,4,0.000000,-11.559763,0.000000,0.000000,69.870294,0.0
303,5,0.000000,-15.477793,0.000000,0.000000,70.838342,0.0
303,6,0.000000,-15.812347,0.000000,0.000000,76.361911,0.0
303,7,0.000000,-13.863963,0.000000,0.000000,82.568807,0.0
303,8,0.000000,-16.616930,0.000000,0.000000,89.629864,0.0
303,9,0.000000,-8.782030,0.000000,0.000000,97.345777,0.0
303,10,0.000000,-10.397550,0.000000,0.000000,104.150585,0.0
303,11,0.000000,-6.429700,0.000000,0.000000,107.795002,0.0
303,12,0.000000,-7.389455,0.000000,0.000000,109.360962,0.0
303,13,0.000000,-5.705448,0.000000,0.000000,109.304018,0.0
303,14,0.000000,-15.368453,0.000000,0.000000,108.905410,0.0
303,15,0.000000,-15.513571,0.000000,0.000000,107.339450,0.0
303,16,15.731579,-12.751527,0.000000,0.000000,104.691553,1646.963436652187
303,17,21.116646,-16.518994,0.000000,0.000000,104.805441,2213.139396470886
303,18,21.116646,-14.707287,0.000000,0.000000,102.043657,2154.819781414422
303,19,18.428304,-15.687100,0.000000,0.000000,115.909522,2136.015907910688
303,20,11.669921,-16.101057,0.000000,0.000000,116.279658,1356.974422767018
303,21,22.732463,-16.505010,0.000000,0.000000,102.129073,2321.645373196799
303,22,21.116646,-12.730894,0.000000,0.000000,91.281240,1927.55363152104
303,23,0.000000,-15.306316,0.000000,0.000000,78.354951,0.0
303,24,0.000000,-14.855653,0.000000,0.000000,73.116103,0.0
304,1,0.000000,-0.341546,0.000000,0.000000,28.818096,0.0
304,2,0.000000,-0.442174,0.000000,0.000000,28.701044,0.0
304,3,0.000000,-0.802227,0.000000,0.000000,28.689339,0.0
304,4,0.000000,-0.457545,0.000000,0.000000,28.724454,0.0
304,5,0.000000,-0.822553,0.000000,0.000000,29.122430,0.0
304,6,0.000000,-0.929393,0.000000,0.000000,31.393230,0.0
304,7,0.000000,-1.325228,0.000000,0.000000,33.944954,0.0
304,8,0.000000,-1.186562,0.000000,0.000000,36.847833,0.0
304,9,0.000000,-3.480058,0.000000,0.000000,40.019930,0.0
304,10,0.000000,-1.511843,0.000000,0.000000,42.817463,0.0
304,11,0.000000,-1.694889,0.000000,0.000000,44.315723,0.0
304,12,0.000000,-3.782849,0.000000,0.000000,44.959506,0.0
304,13,0.000000,-2.574598,0.000000,0.000000,44.936096,0.0
304,14,0.000000,-1.940746,0.000000,0.000000,44.772224,0.0
304,15,0.000000,-1.640263,0.000000,0.000000,44.128440,0.0
304,16,15.731579,-1.254165,0.000000,0.000000,43.039861,677.084973470519
304,17,24.416833,-0.917037,0.000000,0.000000,43.086681,1052.040294501273
304,18,24.416833,0.115337,0.000000,0.000000,41.951281,1024.3174223130732
304,19,27.412788,-0.230356,0.000000,0.000000,47.651692,1306.265730637296
304,20,28.326805,-0.454269,0.000000,0.000000,47.803860,1354.1306204673
304,21,22.732463,-1.406824,0.000000,0.000000,41.986397,954.4542163058109
304,22,21.116646,-1.514295,0.000000,0.000000,37.526732,792.438715180872
304,23,0.000000,-0.620980,0.000000,0.000000,32.212591,0.0
304,24,0.000000,-0.445822,0.000000,0.000000,30.058842,0.0
305,1,0.000000,0.945035,0.000000,0.000000,27.649794,0.0
305,2,0.000000,0.764814,0.000000,0.000000,27.537488,0.0
305,3,0.000000,1.845700,0.000000,0.000000,27.526258,0.0
305,4,0.000000,0.739485,0.000000,0.000000,27.559949,0.0
305,5,0.000000,1.833634,0.000000,0.000000,27.941791,0.0
305,6,0.000000,1.770589,0.000000,0.000000,30.120531,0.0
305,7,0.000000,1.209416,0.000000,0.000000,32.568807,0.0
305,8,0.000000,1.619587,0.000000,0.000000,35.354002,0.0
305,9,0.000000,-1.335076,0.000000,0.000000,38.397501,0.0
