,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,29.947446,0.000000,0.000000
C1-2,27.234134,0.000000,0.000000
C1-3,25.812401,0.000000,0.000000
C1-4,46.020262,0.000000,0.000000
C1-5,48.218439,0.000000,0.000000
C1-6,34.430596,0.000000,0.000000
C1-7,39.833094,0.000000,0.000000
C1-8,51.027164,0.000000,0.000000
C1-9,-1.378232,0.000000,0.000000
C1-10,-12.234311,0.000000,0.000000
C1-11,54.110343,0.000000,0.000000
C1-12,49.237250,0.000000,0.000000
C1-13,52.935209,0.000000,0.000000
C1-14,52.689840,0.000000,0.000000
C1-15,26.997119,0.000000,0.000000
C1-16,31.680339,0.000000,0.000000
C1-17,50.920275,0.000000,0.000000
C1-18,75.373393,0.000000,0.000000
C1-19,75.374049,0.000000,0.000000
C1-20,71.643373,0.000000,0.000000
C1-21,56.799560,0.000000,0.000000
C1-22,52.550111,0.000000,0.000000
C1-23,51.180291,0.000000,0.000000
C1-24,42.777759,0.000000,0.000000
C2-1,-91.838894,0.000000,0.000000
C2-2,-85.522210,0.000000,0.000000
C2-3,-82.422857,0.000000,0.000000
C2-4,-111.891964,0.000000,0.000000
C2-5,-129.242968,0.000000,0.000000
C2-6,-101.568170,0.000000,0.000000
C2-7,-143.215457,0.000000,0.000000
C2-8,-139.294028,0.000000,0.000000
C2-9,-86.704107,0.000000,0.000000
C2-10,-63.383202,0.000000,0.000000
C2-11,-132.962650,0.000000,0.000000
C2-12,-133.332194,0.000000,0.000000
C2-13,-143.507190,0.000000,0.000000
C2-14,-145.608213,0.000000,0.000000
C2-15,-91.852375,0.000000,0.000000
C2-16,-159.157387,0.000000,0.000000
C2-17,-146.300387,0.000000,0.000000
C2-18,-138.550892,0.000000,0.000000
C2-19,-138.590227,0.000000,0.000000
C2-20,-138.977283,0.000000,0.000000
C2-21,-146.831039,0.000000,0.000000
C2-22,-145.324708,0.000000,0.000000
C2-23,-140.228571,0.000000,0.000000
C2-24,-120.790633,0.000000,0.000000
C3-1,15.818054,0.000000,0.000000
C3-2,14.230499,0.000000,0.000000
C3-3,12.740795,0.000000,0.000000
C3-4,22.309539,0.000000,0.000000
C3-5,37.018202,0.000000,0.000000
C3-6,20.175853,0.000000,0.000000
C3-7,26.309375,0.000000,0.000000
C3-8,31.943549,0.000000,0.000000
C3-9,-21.350118,0.000000,0.000000
C3-10,-32.847894,0.000000,0.000000
C3-11,15.678629,0.000000,0.000000
C3-12,20.272103,0.000000,0.000000
C3-13,26.885805,0.000000,0.000000
C3-14,29.163865,0.000000,0.000000
C3-15,1.698660,0.000000,0.000000
C3-16,14.576699,0.000000,0.000000
C3-17,25.791797,0.000000,0.000000
C3-18,41.035139,0.000000,0.000000
C3-19,41.056735,0.000000,0.000000
C3-20,39.487575,0.000000,0.000000
C3-21,30.204292,0.000000,0.000000
C3-22,29.549669,0.000000,0.000000
C3-23,31.904971,0.000000,0.000000
C3-24,26.233691,0.000000,0.000000
C4-1,-24.045728,0.000000,0.000000
C4-2,-23.862028,0.000000,0.000000
C4-3,-24.160923,0.000000,0.000000
C4-4,-9.078668,0.000000,0.000000
C4-5,-17.248771,0.000000,0.000000
C4-6,-23.158768,0.000000,0.000000
