,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,12.059027,0.000000,0.000000
C1-2,4.097563,0.000000,0.000000
C1-3,6.425703,0.000000,0.000000
C1-4,34.367182,0.000000,0.000000
C1-5,48.674211,0.000000,0.000000
C1-6,29.869566,0.000000,0.000000
C1-7,47.594464,0.000000,0.000000
C1-8,52.366931,0.000000,0.000000
C1-9,52.957484,0.000000,0.000000
C1-10,66.656805,0.000000,0.000000
C1-11,56.249906,0.000000,0.000000
C1-12,70.759677,0.000000,0.000000
C1-13,62.548631,0.000000,0.000000
C1-14,74.662003,0.000000,0.000000
C1-15,53.554117,0.000000,0.000000
C1-16,53.387021,0.000000,0.000000
C1-17,52.910825,0.000000,0.000000
C1-18,39.867054,0.000000,0.000000
C1-19,46.411702,0.000000,0.000000
C1-20,13.584800,0.000000,0.000000
C1-21,34.621940,0.000000,0.000000
C1-22,18.750233,0.000000,0.000000
C1-23,30.807163,0.000000,0.000000
C1-24,8.470250,0.000000,0.000000
C2-1,-73.864137,0.000000,0.000000
C2-2,-87.806804,0.000000,0.000000
C2-3,-96.027602,0.000000,0.000000
C2-4,-90.441339,0.000000,0.000000
C2-5,-118.915388,0.000000,0.000000
C2-6,-138.616297,0.000000,0.000000
C2-7,-132.116958,0.000000,0.000000
C2-8,-133.462990,0.000000,0.000000
C2-9,-138.040318,0.000000,0.000000
C2-10,-132.423813,0.000000,0.000000
C2-11,-139.922562,0.000000,0.000000
C2-12,-130.678825,0.000000,0.000000
C2-13,-137.025714,0.000000,0.000000
C2-14,-128.338652,0.000000,0.000000
C2-15,-142.080792,0.000000,0.000000
C2-16,-140.633117,0.000000,0.000000
C2-17,-138.361548,0.000000,0.000000
C2-18,-108.261246,0.000000,0.000000
C2-19,-121.877903,0.000000,0.000000
C2-20,-54.200741,0.000000,0.000000
C2-21,-94.289315,0.000000,0.000000
C2-22,-64.056877,0.000000,0.000000
C2-23,-82.862660,0.000000,0.000000
C2-24,-38.527874,0.000000,0.000000
C3-1,-2.702796,0.000000,0.000000
C3-2,-6.850514,0.000000,0.000000
C3-3,-3.618600,0.000000,0.000000
C3-4,12.426577,0.000000,0.000000
C3-5,24.355698,0.000000,0.000000
C3-6,9.188364,0.000000,0.000000
C3-7,20.116087,0.000000,0.000000
C3-8,22.979008,0.000000,0.000000
C3-9,23.429560,0.000000,0.000000
C3-10,33.385344,0.000000,0.000000
C3-11,24.177115,0.000000,0.000000
C3-12,35.540973,0.000000,0.000000
C3-13,29.530312,0.000000,0.000000
C3-14,37.598825,0.000000,0.000000
C3-15,23.525093,0.000000,0.000000
C3-16,23.303672,0.000000,0.000000
C3-17,23.814531,0.000000,0.000000
C3-18,9.047150,0.000000,0.000000
C3-19,14.667087,0.000000,0.000000
C3-20,-23.138567,0.000000,0.000000
C3-21,-1.012157,0.000000,0.000000
C3-22,-10.794590,0.000000,0.000000
