,hour,dispatch,dual,offer,lmp,capacity
320_RTPV_3-1,1,0.000000,0.000000,0.000000,0.000000,17.633333
324_PV_2-1,1,31.375000,0.000000,0.000000,0.000000,31.375000
312_PV_1-1,1,-0.000000,0.000000,0.000000,0.000000,48.033333
313_RTPV_10-1,1,0.000000,0.000000,0.000000,0.000000,40.050000
313_RTPV_1-1,1,0.000000,0.000000,0.000000,0.000000,35.425000
320_RTPV_2-1,1,0.000000,0.000000,0.000000,0.000000,13.833333
313_RTPV_7-1,1,0.000000,0.000000,0.000000,0.000000,34.808333
324_PV_1-1,1,28.300000,0.000000,0.000000,0.000000,28.300000
309_WIND_1-1,1,27.500000,0.000000,0.000000,0.000000,27.500000
313_RTPV_4-1,1,0.000000,0.000000,0.000000,0.000000,23.675000
320_PV_1-1,1,-0.000000,0.000000,0.000000,0.000000,31.675000
320_RTPV_4-1,1,0.000000,0.000000,0.000000,0.000000,17.491667
313_PV_1-1,1,5.421769,0.000000,0.000000,0.000000,49.358333
313_RTPV_2-1,1,34.983333,0.000000,0.000000,0.000000,34.983333
303_WIND_1-1,1,290.158333,0.000000,0.000000,0.000000,290.158333
310_PV_1-1,1,23.233333,0.000000,0.000000,0.000000,23.233333
313_RTPV_13-1,1,0.000000,0.000000,0.000000,0.000000,19.900000
310_PV_2-1,1,0.000000,0.000000,0.000000,0.000000,36.633333
320_RTPV_5-1,1,0.000000,0.000000,0.000000,0.000000,19.900000
313_RTPV_5-1,1,34.116667,0.000000,0.000000,0.000000,34.116667
324_PV_3-1,1,26.183333,0.000000,0.000000,0.000000,26.183333
314_PV_2-1,1,0.000000,0.000000,0.000000,0.000000,29.341667
314_PV_1-1,1,29.658333,0.000000,0.000000,0.000000,29.658333
317_WIND_1-1,1,533.183333,0.000000,0.000000,0.000000,533.183333
313_RTPV_12-1,1,0.000000,0.000000,0.000000,0.000000,19.100000
308_RTPV_1-1,1,23.808333,0.000000,0.000000,0.000000,23.808333
314_PV_3-1,1,56.050000,0.000000,0.000000,0.000000,56.050000
313_RTPV_11-1,1,0.000000,0.000000,0.000000,0.000000,40.183333
314_PV_4-1,1,29.083333,0.000000,0.000000,0.000000,29.083333
313_PV_2-1,1,0.000000,0.000000,0.000000,0.000000,51.000000
320_RTPV_6-1,1,0.000000,0.000000,0.000000,0.000000,6.158333
313_RTPV_6-1,1,0.000000,0.000000,0.000000,0.000000,26.216667
319_PV_1-1,1,0.000000,0.000000,0.000000,0.000000,155.616667
313_RTPV_3-1,1,0.000000,0.000000,0.000000,0.000000,25.116667
313_RTPV_9-1,1,0.000000,0.000000,0.000000,0.000000,24.316667
320_RTPV_1-1,1,0.000000,0.000000,0.000000,0.000000,16.816667
313_RTPV_8-1,1,40.350000,0.000000,0.000000,0.000000,40.350000
320_RTPV_3-2,2,0.000000,0.000000,0.000000,0.000000,16.091667
324_PV_2-2,2,0.000000,0.000000,0.000000,0.000000,30.483333
312_PV_1-2,2,47.816667,0.000000,0.000000,0.000000,47.816667
313_RTPV_10-2,2,0.000000,0.000000,0.000000,0.000000,39.308333
313_RTPV_1-2,2,0.000000,0.000000,0.000000,0.000000,42.283333
320_RTPV_2-2,2,0.000000,0.000000,0.000000,0.000000,11.408333
313_RTPV_7-2,2,0.000000,0.000000,0.000000,0.000000,23.266667
324_PV_1-2,2,19.225000,0.000000,0.000000,0.000000,19.225000
309_WIND_1-2,2,58.200000,0.000000,0.000000,0.000000,58.200000
313_RTPV_4-2,2,26.733333,0.000000,0.000000,0.000000,26.733333
320_PV_1-2,2,-0.000000,0.000000,0.000000,0.000000,33.208333
320_RTPV_4-2,2,0.000000,0.000000,0.000000,0.000000,10.058333
313_PV_1-2,2,0.000000,0.000000,0.000000,0.000000,46.483333
313_RTPV_2-2,2,0.000000,0.000000,0.000000,0.000000,27.933333
303_WIND_1-2,2,361.575000,0.000000,0.000000,0.000000,361.575000
310_PV_1-2,2,33.108333,0.000000,0.000000,0.000000,33.108333
313_RTPV_13-2,2,13.191667,0.000000,0.000000,0.000000,13.191667
310_PV_2-2,2,21.975000,0.000000,0.000000,0.000000,21.975000
320_RTPV_5-2,2,0.000000,0.000000,0.000000,0.000000,17.675000
313_RTPV_5-2,2,0.000000,0.000000,0.000000,0.000000,19.733333
324_PV_3-2,2,0.000000,0.000000,0.000000,0.000000,23.133333
314_PV_2-2,2,0.000000,0.000000,0.000000,0.000000,36.958333
314_PV_1-2,2,29.908333,0.000000,0.000000,0.000000,29.908333
317_WIND_1-2,2,406.750000,0.000000,0.000000,0.000000,406.750000
313_RTPV_12-2,2,0.000000,0.000000,0.000000,0.000000,13.575000
308_RTPV_1-2,2,22.616667,0.000000,0.000000,0.000000,22.616667
314_PV_3-2,2,0.000000,0.000000,0.000000,0.000000,58.075000
313_RTPV_11-2,2,0.000000,0.000000,0.000000,0.000000,33.291667
314_PV_4-2,2,0.000000,0.000000,0.000000,0.000000,20.908333
313_PV_2-2,2,40.875000,0.000000,0.000000,0.000000,40.875000
320_RTPV_6-2,2,0.000000,0.000000,0.000000,0.000000,6.091667
313_RTPV_6-2,2,24.516667,0.000000,0.000000,0.000000,24.516667
319_PV_1-2,2,44.227659,0.000000,0.000000,0.000000,124.883333
313_RTPV_3-2,2,19.408333,0.000000,0.000000,0.000000,19.408333
313_RTPV_9-2,2,0.000000,0.000000,0.000000,0.000000,29.516667
320_RTPV_1-2,2,0.000000,0.000000,0.000000,0.000000,15.241667
313_RTPV_8-2,2,0.000000,0.000000,0.000000,0.000000,35.900000
320_RTPV_3-3,3,0.000000,0.000000,0.000000,0.000000,10.850000
324_PV_2-3,3,34.333333,0.000000,0.000000,0.000000,34.333333
312_PV_1-3,3,0.000000,0.000000,0.000000,0.000000,41.108333
313_RTPV_10-3,3,0.000000,0.000000,0.000000,0.000000,27.333333
313_RTPV_1-3,3,0.000000,0.000000,0.000000,0.000000,32.750000
320_RTPV_2-3,3,0.000000,0.000000,0.000000,0.000000,8.525000
313_RTPV_7-3,3,0.000000,0.000000,0.000000,0.000000,17.850000
324_PV_1-3,3,20.666667,0.000000,0.000000,0.000000,20.666667
309_WIND_1-3,3,43.891667,0.000000,0.000000,0.000000,43.891667
313_RTPV_4-3,3,0.000000,0.000000,0.000000,0.000000,14.433333
320_PV_1-3,3,0.000000,0.000000,0.000000,0.000000,28.541667
320_RTPV_4-3,3,0.000000,0.000000,0.000000,0.000000,8.133333
313_PV_1-3,3,0.000000,0.000000,0.000000,0.000000,47.475000
313_RTPV_2-3,3,0.000000,0.000000,0.000000,0.000000,9.291667
303_WIND_1-3,3,451.308333,0.000000,0.000000,0.000000,451.308333
310_PV_1-3,3,15.141667,0.000000,0.000000,0.000000,15.141667
