,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,30.099943,0.000000,0.000000
C1-2,21.581755,0.000000,0.000000
C1-3,-3.337688,0.000000,0.000000
C1-4,-3.967431,0.000000,0.000000
C1-5,30.290663,0.000000,0.000000
C1-6,48.296084,0.000000,0.000000
C1-7,49.680917,0.000000,0.000000
C1-8,36.265353,0.000000,0.000000
C1-9,10.964819,0.000000,0.000000
C1-10,52.983210,0.000000,0.000000
C1-11,54.432252,0.000000,0.000000
C1-12,53.532893,0.000000,0.000000
C1-13,54.057644,0.000000,0.000000
C1-14,54.428417,0.000000,0.000000
C1-15,54.651141,0.000000,0.000000
C1-16,54.798654,0.000000,0.000000
C1-17,54.382311,0.000000,0.000000
C1-18,75.425665,0.000000,0.000000
C1-19,75.037943,0.000000,0.000000
C1-20,74.452663,0.000000,0.000000
C1-21,53.021398,0.000000,0.000000
C1-22,52.045831,0.000000,0.000000
C1-23,50.957174,0.000000,0.000000
C1-24,40.759453,0.000000,0.000000
C2-1,-91.724117,0.000000,0.000000
C2-2,-73.067018,0.000000,0.000000
C2-3,-77.852506,0.000000,0.000000
C2-4,-76.381369,0.000000,0.000000
C2-5,-138.055881,0.000000,0.000000
C2-6,-129.479390,0.000000,0.000000
C2-7,-134.680225,0.000000,0.000000
C2-8,-148.477439,0.000000,0.000000
C2-9,-52.073943,0.000000,0.000000
C2-10,-143.219921,0.000000,0.000000
C2-11,-137.555298,0.000000,0.000000
C2-12,-148.962559,0.000000,0.000000
C2-13,-146.228375,0.000000,0.000000
C2-14,-144.701034,0.000000,0.000000
C2-15,-143.177754,0.000000,0.000000
C2-16,-138.908482,0.000000,0.000000
C2-17,-141.326665,0.000000,0.000000
C2-18,-131.025524,0.000000,0.000000
C2-19,-130.017338,0.000000,0.000000
C2-20,-128.867574,0.000000,0.000000
C2-21,-142.342463,0.000000,0.000000
C2-22,-142.961938,0.000000,0.000000
C2-23,-139.353387,0.000000,0.000000
C2-24,-116.263426,0.000000,0.000000
C3-1,16.746604,0.000000,0.000000
C3-2,9.136006,0.000000,0.000000
C3-3,-8.767414,0.000000,0.000000
C3-4,-9.250060,0.000000,0.000000
C3-5,26.128378,0.000000,0.000000
C3-6,36.852398,0.000000,0.000000
C3-7,34.501364,0.000000,0.000000
C3-8,21.080329,0.000000,0.000000
C3-9,-19.245826,0.000000,0.000000
C3-10,26.516370,0.000000,0.000000
C3-11,17.216054,0.000000,0.000000
C3-12,27.848520,0.000000,0.000000
C3-13,24.060006,0.000000,0.000000
C3-14,21.632313,0.000000,0.000000
C3-15,19.800894,0.000000,0.000000
C3-16,16.579932,0.000000,0.000000
C3-17,19.739039,0.000000,0.000000
C3-18,36.190811,0.000000,0.000000
C3-19,37.124919,0.000000,0.000000
C3-20,38.764168,0.000000,0.000000
C3-21,25.822805,0.000000,0.000000
C3-22,30.116993,0.000000,0.000000
C3-23,32.260813,0.000000,0.000000
C3-24,24.391034,0.000000,0.000000
C4-1,-23.356072,0.000000,0.000000
C4-2,-24.681233,0.000000,0.000000
C4-3,-36.410045,0.000000,0.000000
C4-4,-36.395507,0.000000,0.000000
C4-5,-25.297719,0.000000,0.000000
C4-6,-17.369302,0.000000,0.000000
C4-7,-20.301361,0.000000,0.000000
C4-8,-30.452021,0.000000,0.000000
C4-9,-33.999680,0.000000,0.000000
C4-10,-24.222961,0.000000,0.000000
C4-11,-18.462060,0.000000,0.000000
C4-12,-28.310727,0.000000,0.000000
C4-13,-25.681707,0.000000,0.000000
C4-14,-24.145709,0.000000,0.000000
C4-15,-22.741464,0.000000,0.000000
C4-16,-19.219656,0.000000,0.000000
C4-17,-21.503367,0.000000,0.000000
C4-18,-12.689643,0.000000,0.000000
C4-19,-12.224804,0.000000,0.000000
C4-20,-11.818927,0.000000,0.000000
C4-21,-23.492296,0.000000,0.000000
C4-22,-24.831648,0.000000,0.000000
C4-23,-22.908217,0.000000,0.000000
C4-24,-23.401567,0.000000,0.000000
C5-1,13.149308,0.000000,0.000000
C5-2,8.227082,0.000000,0.000000
