,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,24.645739,0.000000,0.000000
C1-2,30.821349,0.000000,0.000000
C1-3,27.768787,0.000000,0.000000
C1-4,48.265648,0.000000,0.000000
C1-5,25.716897,0.000000,0.000000
C1-6,32.247543,0.000000,0.000000
C1-7,44.789005,0.000000,0.000000
C1-8,18.452419,0.000000,0.000000
C1-9,22.753766,0.000000,0.000000
C1-10,50.184397,0.000000,0.000000
C1-11,15.322747,0.000000,0.000000
C1-12,41.364843,0.000000,0.000000
C1-13,34.052504,0.000000,0.000000
C1-14,51.162084,0.000000,0.000000
C1-15,50.498344,0.000000,0.000000
C1-16,50.917578,0.000000,0.000000
C1-17,72.100896,0.000000,0.000000
C1-18,52.287282,0.000000,0.000000
C1-19,52.534324,0.000000,0.000000
C1-20,52.430130,0.000000,0.000000
C1-21,52.369163,0.000000,0.000000
C1-22,51.639784,0.000000,0.000000
C1-23,54.964363,0.000000,0.000000
C1-24,49.624324,0.000000,0.000000
C2-1,-134.216619,0.000000,0.000000
C2-2,-141.522807,0.000000,0.000000
C2-3,-123.170327,0.000000,0.000000
C2-4,-98.908211,0.000000,0.000000
C2-5,-69.724270,0.000000,0.000000
C2-6,-59.531405,0.000000,0.000000
C2-7,-51.740184,0.000000,0.000000
C2-8,-50.909105,0.000000,0.000000
C2-9,-62.887147,0.000000,0.000000
C2-10,-125.664179,0.000000,0.000000
C2-11,-108.838720,0.000000,0.000000
C2-12,-98.287019,0.000000,0.000000
C2-13,-89.223214,0.000000,0.000000
C2-14,-123.782850,0.000000,0.000000
C2-15,-129.385303,0.000000,0.000000
C2-16,-127.922865,0.000000,0.000000
C2-17,-118.881794,0.000000,0.000000
C2-18,-144.271574,0.000000,0.000000
C2-19,-144.247672,0.000000,0.000000
C2-20,-144.708529,0.000000,0.000000
C2-21,-141.050381,0.000000,0.000000
C2-22,-138.628481,0.000000,0.000000
C2-23,-131.730652,0.000000,0.000000
C2-24,-131.477001,0.000000,0.000000
C3-1,13.189988,0.000000,0.000000
C3-2,24.133464,0.000000,0.000000
C3-3,17.332543,0.000000,0.000000
C3-4,27.216432,0.000000,0.000000
C3-5,1.521451,0.000000,0.000000
C3-6,4.469046,0.000000,0.000000
C3-7,13.320682,0.000000,0.000000
C3-8,-11.635057,0.000000,0.000000
C3-9,-6.179178,0.000000,0.000000
C3-10,26.929323,0.000000,0.000000
C3-11,-6.452392,0.000000,0.000000
C3-12,6.304650,0.000000,0.000000
C3-13,4.433601,0.000000,0.000000
C3-14,21.849492,0.000000,0.000000
C3-15,27.961936,0.000000,0.000000
C3-16,25.379852,0.000000,0.000000
C3-17,42.046320,0.000000,0.000000
C3-18,29.955187,0.000000,0.000000
C3-19,28.949666,0.000000,0.000000
C3-20,29.651382,0.000000,0.000000
C3-21,27.642939,0.000000,0.000000
C3-22,29.076644,0.000000,0.000000
C3-23,33.932892,0.000000,0.000000
C3-24,32.755556,0.000000,0.000000
C4-1,-28.142978,0.000000,0.000000
C4-2,-27.263496,0.000000,0.000000
C4-3,-25.053230,0.000000,0.000000
C4-4,-9.166659,0.000000,0.000000
C4-5,-15.243468,0.000000,0.000000
C4-6,-10.998691,0.000000,0.000000
C4-7,-4.298021,0.000000,0.000000
C4-8,-15.476211,0.000000,0.000000
C4-9,-16.828623,0.000000,0.000000
C4-10,-12.697201,0.000000,0.000000
C4-11,-28.041487,0.000000,0.000000
C4-12,-9.913222,0.000000,0.000000
C4-13,-16.467148,0.000000,0.000000
C4-14,-10.352931,0.000000,0.000000
C4-15,-15.382668,0.000000,0.000000
C4-16,-13.856192,0.000000,0.000000
C4-17,-5.922621,0.000000,0.000000
C4-18,-25.663099,0.000000,0.000000
C4-19,-25.429635,0.000000,0.000000
C4-20,-25.886435,0.000000,0.000000
C4-21,-23.031412,0.000000,0.000000
C4-22,-21.739379,0.000000,0.000000
C4-23,-17.063114,0.000000,0.000000
C4-24,-17.804170,0.000000,0.000000
C5-1,11.131805,0.000000,0.000000
C5-2,18.131033,0.000000,0.000000
C5-3,13.589337,0.000000,0.000000
C5-4,19.135566,0.000000,0.000000
C5-5,2.801713,0.000000,0.000000
C5-6,4.504539,0.000000,0.000000
C5-7,9.900377,0.000000,0.000000
C5-8,-5.672287,0.000000,0.000000
C5-9,-2.013151,0.000000,0.000000
C5-10,19.276094,0.000000,0.000000
C5-11,-1.514759,0.000000,0.000000
C5-12,5.816028,0.000000,0.000000
C5-13,4.950213,0.000000,0.000000
C5-14,15.914888,0.000000,0.000000
C5-15,20.142796,0.000000,0.000000
C5-16,18.406481,0.000000,0.000000
C5-17,28.863757,0.000000,0.000000
C5-18,22.239056,0.000000,0.000000
C5-19,21.592874,0.000000,0.000000
C5-20,22.068226,0.000000,0.000000
C5-21,20.579157,0.000000,0.000000
C5-22,21.365560,0.000000,0.000000
C5-23,24.156551,0.000000,0.000000
C5-24,23.332006,0.000000,0.000000
C6-1,158.476059,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,146.871237,0.000000,0.000000
C6-4,137.725900,0.000000,0.000000
C6-5,71.622698,0.000000,0.000000
C6-6,62.169077,0.000000,0.000000
C6-7,62.540379,0.000000,0.000000
C6-8,35.993323,0.000000,0.000000
C6-9,53.782606,0.000000,0.000000
C6-10,175.000000,0.000000,0.000000
C6-11,110.430220,0.000000,0.000000
C6-12,129.586109,0.000000,0.000000
C6-13,99.860783,0.000000,0.000000
C6-14,175.000000,0.000000,0.000000
C6-15,175.000000,0.000000,0.000000
C6-16,175.000000,0.000000,0.000000
C6-17,175.000000,0.000000,42.307437
C6-18,175.000000,0.000000,36.682861
C6-19,175.000000,0.000000,36.682861
C6-20,175.000000,0.000000,36.682861
C6-21,175.000000,0.000000,36.682861
C6-22,175.000000,0.000000,36.682861
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,0.000000
C7-1,6.305835,0.000000,0.000000
C7-2,82.512221,0.000000,0.000000
C7-3,21.255525,0.000000,0.000000
C7-4,-6.800230,0.000000,0.000000
C7-5,-73.667226,0.000000,0.000000
C7-6,-92.092288,0.000000,0.000000
C7-7,-84.198057,0.000000,0.000000
C7-8,-116.388666,0.000000,0.000000
C7-9,-47.857352,0.000000,0.000000
C7-10,52.223739,0.000000,0.000000
C7-11,73.250453,0.000000,0.000000
C7-12,10.864328,0.000000,0.000000
C7-13,29.454156,0.000000,0.000000
C7-14,47.652476,0.000000,0.000000
C7-15,90.674522,0.000000,0.000000
C7-16,85.134743,0.000000,0.000000
C7-17,134.131338,0.000000,0.000000
C7-18,38.065834,0.000000,0.000000
C7-19,38.001480,0.000000,0.000000
C7-20,33.238400,0.000000,0.000000
C7-21,33.852102,0.000000,0.000000
C7-22,32.684763,0.000000,0.000000
C7-23,29.246711,0.000000,0.000000
C7-24,48.204817,0.000000,0.000000
C8-1,-59.922478,0.000000,0.000000
C8-2,-57.743723,0.000000,0.000000
C8-3,-54.983315,0.000000,0.000000
C8-4,-38.382730,0.000000,0.000000
C8-5,-44.354193,0.000000,0.000000
C8-6,-40.554212,0.000000,0.000000
C8-7,-34.192991,0.000000,0.000000
C8-8,-45.687220,0.000000,0.000000
C8-9,-48.561302,0.000000,0.000000
C8-10,-45.963257,0.000000,0.000000
C8-11,-62.279070,0.000000,0.000000
C8-12,-44.595601,0.000000,0.000000
C8-13,-51.231463,0.000000,0.000000
C8-14,-45.140656,0.000000,0.000000
C8-15,-50.275740,0.000000,0.000000
C8-16,-49.229175,0.000000,0.000000
C8-17,-43.425943,0.000000,0.000000
C8-18,-68.164523,0.000000,0.000000
C8-19,-68.434381,0.000000,0.000000
C8-20,-68.797539,0.000000,0.000000
C8-21,-64.853936,0.000000,0.000000
C8-22,-61.419860,0.000000,0.000000
C8-23,-53.583203,0.000000,0.000000
C8-24,-51.444790,0.000000,0.000000
C9-1,-17.301154,0.000000,0.000000
C9-2,-5.111079,0.000000,0.000000
C9-3,-11.384160,0.000000,0.000000
C9-4,-0.815203,0.000000,0.000000
C9-5,-26.409109,0.000000,0.000000
C9-6,-23.888278,0.000000,0.000000
C9-7,-15.362330,0.000000,0.000000
C9-8,-40.621296,0.000000,0.000000
C9-9,-36.625398,0.000000,0.000000
C9-10,-4.988109,0.000000,0.000000
C9-11,-39.301965,0.000000,0.000000
C9-12,-26.971686,0.000000,0.000000
C9-13,-28.921350,0.000000,0.000000
C9-14,-11.527921,0.000000,0.000000
C9-15,-5.516552,0.000000,0.000000
C9-16,-8.559091,0.000000,0.000000
C9-17,6.063403,0.000000,0.000000
C9-18,-10.823206,0.000000,0.000000
C9-19,-12.311644,0.000000,0.000000
C9-20,-11.520083,0.000000,0.000000
C9-21,-12.484078,0.000000,0.000000
C9-22,-8.995169,0.000000,0.000000
C9-23,-1.106653,0.000000,0.000000
C9-24,0.478745,0.000000,0.000000
C10-1,-47.273763,0.000000,0.000000
C10-2,-37.886683,0.000000,0.000000
C10-3,-41.417306,0.000000,0.000000
C10-4,-34.558835,0.000000,0.000000
C10-5,-50.699078,0.000000,0.000000
C10-6,-49.813715,0.000000,0.000000
C10-7,-45.041730,0.000000,0.000000
C10-8,-61.195223,0.000000,0.000000
C10-9,-60.332670,0.000000,0.000000
C10-10,-41.861521,0.000000,0.000000
C10-11,-64.437885,0.000000,0.000000
C10-12,-57.924561,0.000000,0.000000
C10-13,-58.940961,0.000000,0.000000
C10-14,-48.019310,0.000000,0.000000
C10-15,-43.985011,0.000000,0.000000
C10-16,-46.603326,0.000000,0.000000
C10-17,-40.061266,0.000000,0.000000
C10-18,-55.871669,0.000000,0.000000
C10-19,-57.442875,0.000000,0.000000
C10-20,-56.795425,0.000000,0.000000
C10-21,-56.283861,0.000000,0.000000
C10-22,-51.560730,0.000000,0.000000
C10-23,-42.961450,0.000000,0.000000
C10-24,-38.493998,0.000000,0.000000
C11-1,-53.681588,0.000000,0.000000
C11-2,-51.486871,0.000000,0.000000
C11-3,-50.557577,0.000000,0.000000
C11-4,-49.351471,0.000000,0.000000
C11-5,-49.173521,0.000000,0.000000
C11-6,-49.924866,0.000000,0.000000
C11-7,-50.498260,0.000000,0.000000
C11-8,-51.032110,0.000000,0.000000
C11-9,-53.602499,0.000000,0.000000
C11-10,-56.192661,0.000000,0.000000
C11-11,-57.833755,0.000000,0.000000
C11-12,-58.585100,0.000000,0.000000
C11-13,-58.723505,0.000000,0.000000
C11-14,-58.763050,0.000000,0.000000
C11-15,-58.941000,0.000000,0.000000
C11-16,-59.751661,0.000000,0.000000
C11-17,-0.436279,0.000000,0.000000
C11-18,-71.792945,0.000000,0.000000
C11-19,-72.643151,0.000000,0.000000
C11-20,-72.484973,0.000000,0.000000
C11-21,-70.646156,0.000000,0.000000
C11-22,-67.027839,0.000000,0.000000
C11-23,-61.689339,0.000000,0.000000
C11-24,-56.825372,0.000000,0.000000
C12-1-1,-91.012646,0.000000,0.000000
C12-1-2,-93.196461,0.000000,0.000000
C12-1-3,-87.080540,0.000000,0.000000
C12-1-4,-78.801564,0.000000,0.000000
C12-1-5,-70.324605,0.000000,0.000000
C12-1-6,-69.537425,0.000000,0.000000
C12-1-7,-69.654323,0.000000,0.000000
C12-1-8,-56.864327,0.000000,0.000000
C12-1-9,-52.572307,0.000000,0.000000
C12-1-10,-60.881142,0.000000,0.000000
C12-1-11,-53.301674,0.000000,0.000000
C12-1-12,-45.660821,0.000000,0.000000
C12-1-13,-50.746637,0.000000,0.000000
C12-1-14,-58.219181,0.000000,0.000000
C12-1-15,-73.939498,0.000000,0.000000
C12-1-16,-84.137821,0.000000,0.000000
C12-1-17,-68.902938,0.000000,0.000000
C12-1-18,-118.972698,0.000000,0.000000
C12-1-19,-119.308144,0.000000,0.000000
C12-1-20,-119.807359,0.000000,0.000000
C12-1-21,-114.516811,0.000000,0.000000
C12-1-22,-109.983839,0.000000,0.000000
C12-1-23,-102.607080,0.000000,0.000000
C12-1-24,-96.805480,0.000000,0.000000
C13-2-1,-36.105355,0.000000,0.000000
C13-2-2,-28.724450,0.000000,0.000000
C13-2-3,-32.639801,0.000000,0.000000
C13-2-4,-38.062719,0.000000,0.000000
C13-2-5,-46.118292,0.000000,0.000000
C13-2-6,-48.684657,0.000000,0.000000
C13-2-7,-49.925556,0.000000,0.000000
C13-2-8,-45.379710,0.000000,0.000000
C13-2-9,-33.658412,0.000000,0.000000
C13-2-10,-15.183078,0.000000,0.000000
C13-2-11,-18.048658,0.000000,0.000000
C13-2-12,-24.568695,0.000000,0.000000
C13-2-13,-21.810623,0.000000,0.000000
C13-2-14,-21.031720,0.000000,0.000000
C13-2-15,-23.232789,0.000000,0.000000
C13-2-16,-38.254112,0.000000,0.000000
C13-2-17,-18.196422,0.000000,0.000000
C13-2-18,-51.032996,0.000000,0.000000
C13-2-19,-52.710837,0.000000,0.000000
C13-2-20,-51.837057,0.000000,0.000000
C13-2-21,-52.773287,0.000000,0.000000
C13-2-22,-48.738085,0.000000,0.000000
C13-2-23,-43.473274,0.000000,0.000000
C13-2-24,-37.757001,0.000000,0.000000
C14-1,6.551492,0.000000,0.000000
C14-2,43.665336,0.000000,0.000000
C14-3,16.801904,0.000000,0.000000
C14-4,-3.106182,0.000000,0.000000
C14-5,-56.238789,0.000000,0.000000
C14-6,-63.212559,0.000000,0.000000
C14-7,-59.450988,0.000000,0.000000
C14-8,-67.321467,0.000000,0.000000
C14-9,-57.482559,0.000000,0.000000
C14-10,13.754009,0.000000,0.000000
C14-11,-5.870574,0.000000,0.000000
C14-12,-16.838170,0.000000,0.000000
C14-13,-16.405368,0.000000,0.000000
C14-14,-8.996816,0.000000,0.000000
C14-15,33.039451,0.000000,0.000000
C14-16,-4.725733,0.000000,0.000000
C14-17,25.060495,0.000000,0.000000
C14-18,12.067973,0.000000,0.000000
C14-19,6.979870,0.000000,0.000000
C14-20,10.155338,0.000000,0.000000
C14-21,-0.286773,0.000000,0.000000
C14-22,6.570391,0.000000,0.000000
C14-23,15.835273,0.000000,0.000000
C14-24,25.674281,0.000000,0.000000
C15-1,21.135219,0.000000,0.000000
C15-2,52.412860,0.000000,0.000000
C15-3,28.924870,0.000000,0.000000
C15-4,10.255729,0.000000,0.000000
C15-5,-48.460240,0.000000,0.000000
C15-6,-54.604813,0.000000,0.000000
C15-7,-51.653512,0.000000,0.000000
C15-8,-57.981712,0.000000,0.000000
C15-9,-46.411943,0.000000,0.000000
C15-10,13.031867,0.000000,0.000000
C15-11,-30.947208,0.000000,0.000000
C15-12,-25.851283,0.000000,0.000000
C15-13,-34.624857,0.000000,0.000000
C15-14,16.668709,0.000000,0.000000
C15-15,28.627911,0.000000,0.000000
C15-16,-4.178276,0.000000,0.000000
C15-17,19.520336,0.000000,0.000000
C15-18,20.684683,0.000000,0.000000
C15-19,14.677193,0.000000,0.000000
C15-20,19.260802,0.000000,0.000000
C15-21,7.411407,0.000000,0.000000
C15-22,16.286935,0.000000,0.000000
C15-23,28.609369,0.000000,0.000000
C15-24,37.519929,0.000000,0.000000
C16-1,-99.611399,0.000000,0.000000
C16-2,-80.459265,0.000000,0.000000
C16-3,-88.306605,0.000000,0.000000
C16-4,-81.992215,0.000000,0.000000
C16-5,-103.915338,0.000000,0.000000
C16-6,-104.502197,0.000000,0.000000
C16-7,-98.509806,0.000000,0.000000
C16-8,-90.542051,0.000000,0.000000
C16-9,-94.935299,0.000000,0.000000
C16-10,-74.480222,0.000000,0.000000
C16-11,-74.180970,0.000000,0.000000
C16-12,-57.905693,0.000000,0.000000
C16-13,-72.646430,0.000000,0.000000
C16-14,-81.097063,0.000000,0.000000
C16-15,-64.602788,0.000000,0.000000
C16-16,-93.592334,0.000000,0.000000
C16-17,-72.699287,0.000000,0.000000
C16-18,-119.234458,0.000000,0.000000
C16-19,-121.799874,0.000000,0.000000
C16-20,-121.234575,0.000000,0.000000
C16-21,-119.780588,0.000000,0.000000
C16-22,-111.858775,0.000000,0.000000
C16-23,-98.369811,0.000000,0.000000
C16-24,-88.220270,0.000000,0.000000
C17-1,-84.812150,0.000000,0.000000
C17-2,-71.582467,0.000000,0.000000
C17-3,-76.004483,0.000000,0.000000
C17-4,-68.432837,0.000000,0.000000
C17-5,-96.021834,0.000000,0.000000
C17-6,-95.767243,0.000000,0.000000
C17-7,-90.597096,0.000000,0.000000
C17-8,-81.064269,0.000000,0.000000
C17-9,-83.701079,0.000000,0.000000
C17-10,-75.213036,0.000000,0.000000
C17-11,-99.628196,0.000000,0.000000
C17-12,-67.052004,0.000000,0.000000
C17-13,-91.135172,0.000000,0.000000
C17-14,-55.052245,0.000000,0.000000
C17-15,-69.079524,0.000000,0.000000
C17-16,-93.036786,0.000000,0.000000
C17-17,-78.321319,0.000000,0.000000
C17-18,-110.490407,0.000000,0.000000
C17-19,-113.988797,0.000000,0.000000
C17-20,-111.994548,0.000000,0.000000
C17-21,-111.968642,0.000000,0.000000
C17-22,-101.998637,0.000000,0.000000
C17-23,-85.406935,0.000000,0.000000
C17-24,-76.199564,0.000000,0.000000
C18-1,30.793080,0.000000,0.000000
C18-2,35.406979,0.000000,0.000000
C18-3,30.807832,0.000000,0.000000
C18-4,28.360156,0.000000,0.000000
C18-5,-68.487031,0.000000,0.000000
C18-6,-68.756615,0.000000,0.000000
C18-7,-66.497837,0.000000,0.000000
C18-8,-29.694354,0.000000,0.000000
C18-9,-22.042032,0.000000,0.000000
C18-10,32.734532,0.000000,0.000000
C18-11,-98.719133,0.000000,0.000000
C18-12,-6.844483,0.000000,0.000000
C18-13,-78.380032,0.000000,0.000000
C18-14,55.949414,0.000000,0.000000
C18-15,24.398288,0.000000,0.000000
C18-16,-52.371564,0.000000,0.000000
C18-17,-68.514630,0.000000,0.000000
C18-18,-18.809844,0.000000,0.000000
C18-19,-30.963637,0.000000,0.000000
C18-20,-18.515407,0.000000,0.000000
C18-21,-35.291533,0.000000,0.000000
C18-22,-10.380496,0.000000,0.000000
C18-23,27.658766,0.000000,0.000000
C18-24,36.622445,0.000000,0.000000
C19-1,-123.852987,0.000000,0.000000
C19-2,-72.200908,0.000000,0.000000
C19-3,-102.312533,0.000000,0.000000
C19-4,-113.458553,0.000000,0.000000
C19-5,-91.667096,0.000000,0.000000
C19-6,-98.958140,0.000000,0.000000
C19-7,-91.462958,0.000000,0.000000
C19-8,-128.169164,0.000000,0.000000
C19-9,-130.375826,0.000000,0.000000
C19-10,-93.460745,0.000000,0.000000
C19-11,18.667589,0.000000,0.000000
C19-12,-67.899381,0.000000,0.000000
