,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,-0.000000,0.000000,0.000000,31419.947634,47.542550,-0.0
301,2,-0.000000,0.000000,0.000000,99416.456823,45.492566,-0.0
301,3,-0.000000,0.000000,0.000000,96072.489745,44.399241,-0.0
301,4,-0.000000,0.000000,0.000000,19767.529507,44.194242,-0.0
301,5,-0.000000,0.000000,0.000000,41607.676008,44.689655,-0.0
301,6,-0.000000,0.000000,0.000000,36093.207598,47.508383,-0.0
301,7,12.455902,0.000000,0.000000,41607.676008,53.709586,669.001339676572
301,8,-0.000000,0.000000,53539.318300,0.000000,58.390383,-0.0
301,9,-0.000000,0.000000,0.000000,106142.195752,60.969946,-0.0
301,10,-0.000000,0.000000,0.000000,102878.446269,63.293262,-0.0
301,11,-0.000000,0.000000,0.000000,44871.425491,64.044923,-0.0
301,12,-0.000000,0.000000,0.000000,41607.676008,64.677001,-0.0
301,13,-0.000000,0.000000,0.000000,41607.676008,63.925340,-0.0
301,14,-0.000000,0.000000,0.000000,44871.425491,63.344511,-0.0
301,15,-0.000000,0.000000,0.000000,41607.676008,62.524518,-0.0
301,16,-0.000000,0.000000,0.000000,102878.446269,61.157861,-0.0
301,17,12.455902,0.000000,0.000000,104741.623794,60.816197,757.5205898446941
301,18,19.429035,0.000000,0.000000,25905.479223,67.256564,1306.7301359357398
301,19,19.429035,0.000000,0.000000,109423.809392,67.786144,1317.01936429104
301,20,19.429035,0.000000,0.000000,41607.676008,65.770326,1277.8539658154098
301,21,19.429035,0.000000,0.000000,41607.676008,62.883265,1221.761156599275
301,22,12.455902,0.000000,0.000000,44871.425491,59.893705,746.0301198969099
301,23,12.455902,0.000000,0.000000,102878.446269,55.827903,695.386888633506
301,24,12.455902,0.000000,0.000000,41607.676008,51.266688,638.5728415925761
302,1,-0.000000,0.393512,164287.588659,0.000000,42.700253,-0.0
302,2,-0.000000,0.389442,146107.075618,0.000000,40.859064,-0.0
302,3,-0.000000,0.387994,141411.899178,0.000000,39.877096,-0.0
302,4,-0.000000,0.386965,0.000000,126475.229826,39.692977,-0.0
302,5,-0.000000,0.387925,147450.384125,0.000000,40.137931,-0.0
302,6,-0.000000,0.310663,115884.924068,0.000000,42.669567,-0.0
302,7,13.030724,0.404365,115884.924068,0.000000,48.239165,628.59124510546
302,8,-0.000000,0.416524,0.000000,123339.336509,52.443214,-0.0
302,9,-0.000000,0.422566,133653.314940,0.000000,54.760044,-0.0
302,10,-0.000000,0.426876,116406.913342,0.000000,56.846726,-0.0
302,11,-0.000000,0.428357,140477.787734,0.000000,57.521829,-0.0
302,12,-0.000000,0.429366,109060.451273,0.000000,58.089529,-0.0
302,13,-0.000000,0.339318,116406.913342,0.000000,57.414426,-0.0
302,14,-0.000000,0.259601,123231.386137,0.000000,56.892755,-0.0
302,15,-0.000000,0.268343,115884.924068,0.000000,56.156280,-0.0
302,16,-0.000000,0.254668,123231.386137,0.000000,54.928820,-0.0
302,17,13.030724,0.419284,141411.899178,0.000000,54.621955,711.7636199454199
302,18,20.325657,0.595853,123231.386137,0.000000,60.406359,1227.798933652863
302,19,20.325657,0.596987,430006.163197,0.000000,60.881999,1237.466629148343
302,20,20.325657,0.593578,116406.913342,0.000000,59.071496,1200.666966172872
302,21,20.325657,0.421282,140477.787734,0.000000,56.478488,1147.962374966616
302,22,13.030724,0.415691,116406.913342,0.000000,53.793420,700.9672090360799
302,23,13.030724,0.409231,116406.913342,0.000000,50.141727,653.383005420348
302,24,13.030724,0.403758,115884.924068,0.000000,46.045081,600.0007420686441
303,1,0.000000,-15.942426,35372.796890,0.000000,79.237583,0.0
303,2,0.000000,-15.777974,1000000.000000,0.000000,75.820943,0.0
303,3,0.000000,-15.604892,1000000.000000,0.000000,73.998735,0.0
303,4,0.000000,-15.661992,1000000.000000,0.000000,73.657071,0.0
303,5,0.000000,-15.704485,6039.532151,0.000000,74.482759,0.0
303,6,0.000000,-13.350010,0.000000,51445.211387,79.180639,0.0
303,7,0.000000,-16.601303,6039.532151,0.000000,89.515976,0.0
303,8,0.000000,-16.638173,19465.462777,0.000000,97.317305,0.0
303,9,0.000000,-16.736315,1000000.000000,0.000000,101.616577,0.0
303,10,0.000000,-16.958458,1000000.000000,0.000000,105.488769,0.0
303,11,0.000000,-17.020041,35372.796890,0.000000,106.741538,0.0
303,12,0.000000,-17.099757,35372.796890,0.000000,107.795002,0.0
303,13,0.000000,-17.970550,35372.796890,0.000000,106.542233,0.0
303,14,0.000000,-18.733616,35372.796890,0.000000,105.574185,0.0
303,15,0.000000,-17.442900,35372.796890,0.000000,104.207529,0.0
303,16,0.000000,-18.628126,1000000.000000,0.000000,101.929769,0.0
303,17,0.000000,-17.075674,1000000.000000,0.000000,101.360329,0.0
303,18,0.000000,-16.245612,18829.391658,0.000000,112.094274,0.0
303,19,0.000000,-16.278365,18829.391658,0.000000,112.976906,0.0
303,20,0.000000,-16.046661,6039.532151,0.000000,109.617210,0.0
303,21,0.000000,-17.490217,35372.796890,0.000000,104.805441,0.0
303,22,0.000000,-17.209783,35372.796890,0.000000,99.822841,0.0
303,23,0.000000,-16.693224,1000000.000000,0.000000,93.046504,0.0
303,24,0.000000,-15.904189,35372.796890,0.000000,85.444480,0.0
304,1,0.000000,-0.960604,0.000000,0.000000,32.575451,0.0
304,2,0.000000,-0.918039,0.000000,0.000000,31.170832,0.0
304,3,0.000000,-0.848075,0.000000,0.000000,30.421702,0.0
304,4,0.000000,-0.884533,0.000000,0.000000,30.281240,0.0
304,5,0.000000,-0.896342,0.000000,0.000000,30.620690,0.0
304,6,0.000000,-1.282816,0.000000,0.000000,32.552040,0.0
304,7,16.972837,-1.179527,0.000000,0.000000,36.801012,624.6175781110439
304,8,0.000000,-1.089254,0.000000,0.000000,40.008225,0.0
304,9,0.000000,-1.082588,0.000000,0.000000,41.775704,0.0
304,10,0.000000,-1.150627,0.000000,0.000000,43.367605,0.0
304,11,0.000000,-1.166945,0.000000,0.000000,43.882632,0.0
304,12,0.000000,-1.196129,0.000000,0.000000,44.315723,0.0
304,13,0.000000,-1.732290,0.000000,0.000000,43.800696,0.0
304,14,0.000000,-2.200739,0.000000,0.000000,43.402721,0.0
304,15,0.000000,-1.505595,0.000000,0.000000,42.840873,0.0
304,16,0.000000,-2.194047,0.000000,0.000000,41.904461,0.0
304,17,16.972837,-1.274090,0.000000,0.000000,41.670357,707.264177092809
304,18,26.474665,-0.593676,0.000000,0.000000,46.083202,1220.03733507733
304,19,26.474665,-0.599285,0.000000,0.000000,46.446061,1229.643905544565
304,20,26.474665,-0.518682,0.000000,0.000000,45.064853,1193.076886449245
304,21,26.474665,-1.454701,0.000000,0.000000,43.086681,1140.7054454368651
304,22,16.972837,-1.370146,0.000000,0.000000,41.038279,696.536020227523
304,23,16.972837,-1.180323,0.000000,0.000000,38.252452,649.252632646324
304,24,16.972837,-0.851374,0.000000,0.000000,35.127175,596.207815545475
305,1,0.000000,1.717736,0.000000,0.000000,31.254824,0.0
305,2,0.000000,1.776033,0.000000,0.000000,29.907150,0.0
305,3,0.000000,1.768345,0.000000,0.000000,29.188390,0.0
305,4,0.000000,1.807581,0.000000,0.000000,29.053622,0.0
305,5,0.000000,1.794742,0.000000,0.000000,29.379310,0.0
305,6,0.000000,1.178070,0.000000,0.000000,31.232363,0.0
305,7,13.983690,1.616922,0.000000,0.000000,35.309079,493.7512149215099
305,8,0.000000,1.329990,0.000000,0.000000,38.386270,0.0
305,9,0.000000,1.207214,0.000000,0.000000,40.082094,0.0
305,10,0.000000,1.157390,0.000000,0.000000,41.609459,0.0
305,11,0.000000,1.136597,0.000000,0.000000,42.103606,0.0
305,12,0.000000,1.131800,0.000000,0.000000,42.519140,0.0
305,13,0.000000,0.776765,0.000000,0.000000,42.024992,0.0
305,14,0.000000,0.450529,0.000000,0.000000,41.643151,0.0
305,15,0.000000,-0.082569,0.000000,0.000000,41.104081,0.0
305,16,0.000000,0.544476,0.000000,0.000000,40.205631,0.0
305,17,13.983690,1.371340,0.000000,0.000000,39.981019,559.0821755801101
305,18,21.812117,2.086341,0.000000,0.000000,44.214964,964.421967918788
305,19,21.812117,2.066861,0.000000,0.000000,44.563113,972.0158346402211
305,20,21.812117,2.092394,0.000000,0.000000,43.237899,943.110111822183
305,21,21.812117,1.425536,0.000000,0.000000,41.339924,901.7112590591081
305,22,13.983690,1.492107,0.000000,0.000000,39.374565,550.6017108448499
305,23,13.983690,1.521245,0.000000,0.000000,36.701677,513.2248736481299
