,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,30.171890,-0.000000,0.000000
C1-2,24.428962,-0.000000,0.000000
C1-3,19.842270,-0.000000,0.000000
C1-4,15.266521,-0.000000,0.000000
C1-5,16.858078,-0.000000,0.000000
C1-6,19.103636,-0.000000,0.000000
C1-7,17.586823,-0.000000,0.000000
C1-8,13.499438,-0.000000,0.000000
C1-9,9.946335,-0.000000,0.000000
C1-10,-7.573612,-0.000000,0.000000
C1-11,-20.947696,-0.000000,0.000000
C1-12,-22.041051,-0.000000,0.000000
C1-13,-21.144370,-0.000000,0.000000
C1-14,5.776485,-0.000000,0.000000
C1-15,11.171688,-0.000000,0.000000
C1-16,16.460824,-0.000000,0.000000
C1-17,18.914910,-0.000000,0.000000
C1-18,37.375469,-0.000000,0.000000
C1-19,45.231176,-0.000000,0.000000
C1-20,46.808436,-0.000000,0.000000
C1-21,28.633224,-0.000000,0.000000
C1-22,18.844837,-0.000000,0.000000
C1-23,23.188426,-0.000000,0.000000
C1-24,51.568723,-0.000000,0.000000
C2-1,-81.808279,-0.000000,0.000000
C2-2,-69.736784,-0.000000,0.000000
C2-3,-60.074974,-0.000000,0.000000
C2-4,-50.161101,-0.000000,0.000000
C2-5,-55.484280,-0.000000,0.000000
C2-6,-59.187557,-0.000000,0.000000
C2-7,-56.150958,-0.000000,0.000000
C2-8,-48.600463,-0.000000,0.000000
C2-9,-40.101844,-0.000000,0.000000
C2-10,-35.178234,-0.000000,0.000000
C2-11,-34.781071,-0.000000,0.000000
C2-12,-32.586049,-0.000000,0.000000
C2-13,-34.715731,-0.000000,0.000000
C2-14,-34.170972,-0.000000,0.000000
C2-15,-46.073382,-0.000000,0.000000
C2-16,-57.271319,-0.000000,0.000000
C2-17,-62.472087,-0.000000,0.000000
C2-18,-53.718048,-0.000000,0.000000
C2-19,-61.079885,-0.000000,0.000000
C2-20,-65.262632,-0.000000,0.000000
C2-21,-73.167963,-0.000000,0.000000
C2-22,-61.898544,-0.000000,0.000000
C2-23,-69.176072,-0.000000,0.000000
C2-24,-127.044310,-0.000000,0.000000
C3-1,-0.245294,-0.000000,0.000000
C3-2,-4.899707,-0.000000,0.000000
C3-3,-9.411080,-0.000000,0.000000
C3-4,-15.483781,-0.000000,0.000000
C3-5,-13.443396,-0.000000,0.000000
C3-6,-14.633573,-0.000000,0.000000
C3-7,-20.355827,-0.000000,0.000000
C3-8,-28.568067,-0.000000,0.000000
C3-9,-37.442720,-0.000000,0.000000
C3-10,-54.426113,-0.000000,0.000000
C3-11,-66.089012,-0.000000,0.000000
C3-12,-67.976507,-0.000000,0.000000
C3-13,-68.007663,-0.000000,0.000000
C3-14,-47.386596,-0.000000,0.000000
C3-15,-42.912289,-0.000000,0.000000
C3-16,-37.191404,-0.000000,0.000000
C3-17,-32.309321,-0.000000,0.000000
C3-18,-13.590975,-0.000000,0.000000
C3-19,-0.844109,-0.000000,0.000000
C3-20,-0.835270,-0.000000,0.000000
C3-21,-12.743980,-0.000000,0.000000
C3-22,-19.094980,-0.000000,0.000000
C3-23,-11.138580,-0.000000,0.000000
C3-24,22.227248,-0.000000,0.000000
C4-1,-18.476885,-0.000000,0.000000
C4-2,-19.725821,-0.000000,0.000000
C4-3,-20.932888,-0.000000,0.000000
C4-4,-22.324180,-0.000000,0.000000
C4-5,-23.685500,-0.000000,0.000000
