,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.840246,0.000000,0.000000
C1-2,49.597815,0.000000,0.000000
C1-3,49.526324,0.000000,0.000000
C1-4,47.540913,0.000000,0.000000
C1-5,45.230243,0.000000,0.000000
C1-6,36.691321,0.000000,0.000000
C1-7,44.272432,0.000000,0.000000
C1-8,32.585162,0.000000,0.000000
C1-9,0.346236,0.000000,0.000000
C1-10,-8.220173,0.000000,0.000000
C1-11,8.231247,0.000000,0.000000
C1-12,-12.212376,0.000000,0.000000
C1-13,14.454500,0.000000,0.000000
C1-14,15.521747,0.000000,0.000000
C1-15,11.798995,0.000000,0.000000
C1-16,23.845190,0.000000,0.000000
C1-17,48.013356,0.000000,0.000000
C1-18,52.280843,0.000000,0.000000
C1-19,55.808719,0.000000,0.000000
C1-20,32.448182,0.000000,0.000000
C1-21,37.857648,0.000000,0.000000
C1-22,48.675281,0.000000,0.000000
C1-23,41.317260,0.000000,0.000000
C1-24,30.186017,0.000000,0.000000
C2-1,-125.248428,0.000000,0.000000
C2-2,-121.500459,0.000000,0.000000
C2-3,-119.436876,0.000000,0.000000
C2-4,-115.073896,0.000000,0.000000
C2-5,-115.109808,0.000000,0.000000
C2-6,-132.587968,0.000000,0.000000
C2-7,-116.634060,0.000000,0.000000
C2-8,-88.949856,0.000000,0.000000
C2-9,-78.924862,0.000000,0.000000
C2-10,-62.855863,0.000000,0.000000
C2-11,-39.793165,0.000000,0.000000
C2-12,-55.034869,0.000000,0.000000
C2-13,-49.529692,0.000000,0.000000
C2-14,-50.238492,0.000000,0.000000
C2-15,-42.414516,0.000000,0.000000
C2-16,-69.029625,0.000000,0.000000
C2-17,-69.120070,0.000000,0.000000
C2-18,-81.498473,0.000000,0.000000
C2-19,-86.485416,0.000000,0.000000
C2-20,-94.521896,0.000000,0.000000
C2-21,-104.993464,0.000000,0.000000
C2-22,-124.207948,0.000000,0.000000
C2-23,-106.515368,0.000000,0.000000
C2-24,-81.227516,0.000000,0.000000
C3-1,28.053547,0.000000,0.000000
C3-2,26.717576,0.000000,0.000000
C3-3,25.733392,0.000000,0.000000
C3-4,23.953736,0.000000,0.000000
C3-5,25.770738,0.000000,0.000000
C3-6,22.840168,0.000000,0.000000
C3-7,20.514112,0.000000,0.000000
C3-8,1.015121,0.000000,0.000000
C3-9,-30.768416,0.000000,0.000000
C3-10,-41.021401,0.000000,0.000000
C3-11,-32.431755,0.000000,0.000000
C3-12,-47.583505,0.000000,0.000000
C3-13,-29.277229,0.000000,0.000000
C3-14,-29.806506,0.000000,0.000000
C3-15,-33.207321,0.000000,0.000000
C3-16,-17.698829,0.000000,0.000000
C3-17,6.942209,0.000000,0.000000
C3-18,7.639015,0.000000,0.000000
C3-19,10.191408,0.000000,0.000000
C3-20,-6.037010,0.000000,0.000000
C3-21,2.117150,0.000000,0.000000
C3-22,14.836052,0.000000,0.000000
C3-23,9.677703,0.000000,0.000000
C3-24,0.868136,0.000000,0.000000
C4-1,-12.665478,0.000000,0.000000
C4-2,-9.896588,0.000000,0.000000
C4-3,-8.318258,0.000000,0.000000
C4-4,-8.614787,0.000000,0.000000
C4-5,-12.811110,0.000000,0.000000
C4-6,-22.229067,0.000000,0.000000
C4-7,-17.757994,0.000000,0.000000
C4-8,-20.166541,0.000000,0.000000
C4-9,-36.345973,0.000000,0.000000
C4-10,-41.051889,0.000000,0.000000
C4-11,-31.408894,0.000000,0.000000
C4-12,-43.437661,0.000000,0.000000
C4-13,-27.347416,0.000000,0.000000
C4-14,-26.025432,0.000000,0.000000
C4-15,-26.947157,0.000000,0.000000
C4-16,-23.924693,0.000000,0.000000
C4-17,-16.515339,0.000000,0.000000
C4-18,-19.702852,0.000000,0.000000
C4-19,-16.661156,0.000000,0.000000
C4-20,-27.906778,0.000000,0.000000
C4-21,-24.764857,0.000000,0.000000
C4-22,-17.839946,0.000000,0.000000
C4-23,-17.040907,0.000000,0.000000
C4-24,-17.560965,0.000000,0.000000
C5-1,19.974247,0.000000,0.000000
C5-2,18.911518,0.000000,0.000000
C5-3,18.166949,0.000000,0.000000
C5-4,17.015080,0.000000,0.000000
C5-5,18.425092,0.000000,0.000000
