,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,-19.546215,0.000000,0.000000
C1-2,-11.675389,0.000000,0.000000
C1-3,-13.345220,0.000000,0.000000
C1-4,-7.661302,0.000000,0.000000
C1-5,13.872639,0.000000,0.000000
C1-6,14.044234,0.000000,0.000000
C1-7,14.817684,0.000000,0.000000
C1-8,25.736655,0.000000,0.000000
C1-9,37.775622,0.000000,0.000000
C1-10,47.553206,0.000000,0.000000
C1-11,48.010701,0.000000,0.000000
C1-12,38.578161,0.000000,0.000000
C1-13,52.889335,0.000000,0.000000
C1-14,49.973685,0.000000,0.000000
C1-15,54.189244,0.000000,0.000000
C1-16,39.411501,0.000000,0.000000
C1-17,55.149564,0.000000,0.000000
C1-18,41.928361,0.000000,0.000000
C1-19,47.476670,0.000000,0.000000
C1-20,54.868414,0.000000,0.000000
C1-21,51.476287,0.000000,0.000000
C1-22,37.096397,0.000000,0.000000
C1-23,22.787026,0.000000,0.000000
C1-24,9.884644,0.000000,0.000000
C2-1,-33.917619,0.000000,0.000000
C2-2,-45.931948,0.000000,0.000000
C2-3,-45.993535,0.000000,0.000000
C2-4,-28.005426,0.000000,0.000000
C2-5,-45.679171,0.000000,0.000000
C2-6,-50.182992,0.000000,0.000000
C2-7,-54.446146,0.000000,0.000000
C2-8,-78.459917,0.000000,0.000000
C2-9,-102.091621,0.000000,0.000000
C2-10,-123.496459,0.000000,0.000000
C2-11,-91.648972,0.000000,0.000000
C2-12,-114.357507,0.000000,0.000000
C2-13,-141.982332,0.000000,0.000000
C2-14,-132.884649,0.000000,0.000000
C2-15,-83.920925,0.000000,0.000000
C2-16,-88.512170,0.000000,0.000000
C2-17,-90.388451,0.000000,0.000000
C2-18,-120.089505,0.000000,0.000000
C2-19,-127.194605,0.000000,0.000000
C2-20,-139.964154,0.000000,0.000000
C2-21,-127.526137,0.000000,0.000000
C2-22,-102.098811,0.000000,0.000000
C2-23,-61.902851,0.000000,0.000000
C2-24,-33.635342,0.000000,0.000000
C3-1,-44.147049,0.000000,0.000000
C3-2,-39.286052,0.000000,0.000000
C3-3,-37.486301,0.000000,0.000000
C3-4,-38.295161,0.000000,0.000000
C3-5,-17.717669,0.000000,0.000000
C3-6,-16.033339,0.000000,0.000000
C3-7,-16.421522,0.000000,0.000000
C3-8,-7.495023,0.000000,0.000000
C3-9,0.732323,0.000000,0.000000
C3-10,9.626265,0.000000,0.000000
C3-11,5.167232,0.000000,0.000000
C3-12,4.781561,0.000000,0.000000
C3-13,15.464398,0.000000,0.000000
C3-14,6.224472,0.000000,0.000000
C3-15,1.541868,0.000000,0.000000
C3-16,-9.805072,0.000000,0.000000
C3-17,8.296147,0.000000,0.000000
C3-18,6.565447,0.000000,0.000000
