,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,43.148474,0.0
301,2,0.000000,0.000000,0.000000,0.000000,45.709185,0.0
301,3,0.000000,0.000000,0.000000,0.000000,50.723026,0.0
301,4,0.000000,0.000000,0.000000,0.000000,53.762189,0.0
301,5,0.000000,0.000000,0.000000,0.000000,57.855930,0.0
301,6,0.000000,0.000000,0.000000,0.000000,60.948883,0.0
301,7,0.000000,0.000000,0.000000,0.000000,63.547814,0.0
301,8,0.000000,0.000000,0.000000,0.000000,65.329978,0.0
301,9,0.000000,0.000000,0.000000,0.000000,66.092954,0.0
301,10,0.000000,0.000000,0.000000,0.000000,67.232463,0.0
301,11,0.000000,0.000000,0.000000,0.000000,67.180088,0.0
301,12,0.000000,0.000000,0.000000,0.000000,65.773042,0.0
301,13,0.000000,0.000000,0.000000,0.000000,65.380937,0.0
301,14,0.000000,0.000000,0.000000,0.000000,71.188896,0.0
301,15,0.000000,0.000000,0.000000,0.000000,70.120164,0.0
301,16,0.000000,0.000000,0.000000,0.000000,66.909720,0.0
301,17,0.000000,0.000000,0.000000,0.000000,63.884712,0.0
301,18,0.000000,0.000000,0.000000,0.000000,59.656496,0.0
301,19,0.000000,0.000000,0.000000,0.000000,54.203838,0.0
301,20,0.000000,0.000000,0.000000,0.000000,49.330135,0.0
301,21,0.000000,0.000000,0.000000,0.000000,45.966813,0.0
301,22,0.000000,0.000000,0.000000,0.000000,44.164832,0.0
301,23,0.000000,0.000000,0.000000,0.000000,43.263133,0.0
301,24,0.000000,0.000000,0.000000,0.000000,42.653036,0.0
302,1,0.000000,0.000000,0.000000,0.000000,38.753722,0.0
302,2,0.000000,0.000000,0.000000,0.000000,41.053620,0.0
302,3,0.000000,0.000000,0.000000,0.000000,45.556792,0.0
302,4,0.000000,0.000000,0.000000,0.000000,48.286411,0.0
302,5,0.000000,0.000000,0.000000,0.000000,51.963196,0.0
302,6,0.000000,0.000000,0.000000,0.000000,54.741127,0.0
302,7,0.000000,0.000000,0.000000,0.000000,57.075351,0.0
302,8,0.000000,0.000000,0.000000,0.000000,58.675999,0.0
302,9,0.000000,0.000000,0.000000,0.000000,59.361264,0.0
302,10,0.000000,0.000000,0.000000,0.000000,60.384712,0.0
302,11,0.000000,0.000000,0.000000,0.000000,60.337672,0.0
302,12,0.000000,0.000000,0.000000,0.000000,59.073936,0.0
302,13,0.000000,0.000000,0.000000,0.000000,58.721768,0.0
302,14,0.000000,0.000000,0.000000,0.000000,63.938175,0.0
302,15,0.000000,0.000000,0.000000,0.000000,62.978295,0.0
302,16,0.000000,0.000000,0.000000,0.000000,60.094841,0.0
302,17,0.000000,0.000000,0.000000,0.000000,57.377936,0.0
302,18,0.000000,0.000000,0.000000,0.000000,53.580371,0.0
302,19,0.000000,0.000000,0.000000,0.000000,48.683076,0.0
302,20,0.000000,0.000000,0.000000,0.000000,44.305770,0.0
302,21,0.000000,0.000000,0.000000,0.000000,41.285008,0.0
302,22,0.000000,0.000000,0.000000,0.000000,39.666562,0.0
302,23,0.000000,0.000000,0.000000,0.000000,38.856703,0.0
302,24,0.000000,0.000000,0.000000,0.000000,38.308745,0.0
303,1,0.000000,0.000000,0.000000,0.000000,71.914124,0.0
303,2,0.000000,0.000000,0.000000,0.000000,76.181975,0.0
303,3,0.000000,0.000000,0.000000,0.000000,84.538377,0.0
303,4,0.000000,0.000000,0.000000,0.000000,89.603649,0.0
303,5,0.000000,0.000000,0.000000,0.000000,96.426549,0.0
303,6,0.000000,0.000000,0.000000,0.000000,101.581472,0.0
303,7,0.000000,0.000000,0.000000,0.000000,105.913023,0.0
303,8,0.000000,0.000000,0.000000,0.000000,108.883297,0.0
303,9,0.000000,0.000000,0.000000,0.000000,110.154923,0.0
303,10,0.000000,0.000000,0.000000,0.000000,112.054105,0.0
303,11,0.000000,0.000000,0.000000,0.000000,111.966813,0.0
303,12,0.000000,0.000000,0.000000,0.000000,109.621736,0.0
303,13,0.000000,0.000000,0.000000,0.000000,108.968229,0.0
303,14,0.000000,0.000000,0.000000,0.000000,118.648160,0.0
303,15,0.000000,0.000000,0.000000,0.000000,116.866939,0.0
303,16,0.000000,0.000000,0.000000,0.000000,111.516200,0.0
303,17,0.000000,0.000000,0.000000,0.000000,106.474520,0.0
303,18,0.000000,0.000000,0.000000,0.000000,99.427493,0.0
303,19,0.000000,0.000000,0.000000,0.000000,90.339729,0.0
303,20,0.000000,0.000000,0.000000,0.000000,82.216892,0.0
303,21,0.000000,0.000000,0.000000,0.000000,76.611356,0.0
303,22,0.000000,0.000000,0.000000,0.000000,73.608053,0.0
303,23,0.000000,0.000000,0.000000,0.000000,72.105222,0.0
303,24,0.000000,0.000000,0.000000,0.000000,71.088393,0.0
304,1,0.000000,0.000000,0.000000,0.000000,29.564695,0.0
304,2,0.000000,0.000000,0.000000,0.000000,31.319257,0.0
304,3,0.000000,0.000000,0.000000,0.000000,34.754666,0.0
304,4,0.000000,0.000000,0.000000,0.000000,36.837056,0.0
304,5,0.000000,0.000000,0.000000,0.000000,39.642026,0.0
304,6,0.000000,0.000000,0.000000,0.000000,41.761272,0.0
304,7,0.000000,0.000000,0.000000,0.000000,43.542021,0.0
304,8,0.000000,0.000000,0.000000,0.000000,44.763133,0.0
304,9,0.000000,0.000000,0.000000,0.000000,45.285913,0.0
304,10,0.000000,0.000000,0.000000,0.000000,46.066688,0.0
304,11,0.000000,0.000000,0.000000,0.000000,46.030801,0.0
304,12,0.000000,0.000000,0.000000,0.000000,45.066714,0.0
304,13,0.000000,0.000000,0.000000,0.000000,44.798050,0.0
304,14,0.000000,0.000000,0.000000,0.000000,48.777577,0.0
304,15,0.000000,0.000000,0.000000,0.000000,48.045297,0.0
304,16,0.000000,0.000000,0.000000,0.000000,45.845549,0.0
304,17,0.000000,0.000000,0.000000,0.000000,43.772858,0.0
304,18,0.000000,0.000000,0.000000,0.000000,40.875747,0.0
304,19,0.000000,0.000000,0.000000,0.000000,37.139667,0.0
304,20,0.000000,0.000000,0.000000,0.000000,33.800278,0.0
304,21,0.000000,0.000000,0.000000,0.000000,31.495780,0.0
304,22,0.000000,0.000000,0.000000,0.000000,30.261088,0.0
304,23,0.000000,0.000000,0.000000,0.000000,29.643258,0.0
304,24,0.000000,0.000000,0.000000,0.000000,29.225228,0.0
305,1,0.000000,0.000000,0.000000,0.000000,28.366127,0.0
305,2,0.000000,0.000000,0.000000,0.000000,30.049557,0.0
305,3,0.000000,0.000000,0.000000,0.000000,33.345693,0.0
305,4,0.000000,0.000000,0.000000,0.000000,35.343662,0.0
305,5,0.000000,0.000000,0.000000,0.000000,38.034917,0.0
305,6,0.000000,0.000000,0.000000,0.000000,40.068247,0.0
305,7,0.000000,0.000000,0.000000,0.000000,41.776804,0.0
305,8,0.000000,0.000000,0.000000,0.000000,42.948411,0.0
305,9,0.000000,0.000000,0.000000,0.000000,43.449997,0.0
305,10,0.000000,0.000000,0.000000,0.000000,44.199119,0.0
305,11,0.000000,0.000000,0.000000,0.000000,44.164688,0.0
305,12,0.000000,0.000000,0.000000,0.000000,43.239685,0.0
305,13,0.000000,0.000000,0.000000,0.000000,42.981913,0.0
305,14,0.000000,0.000000,0.000000,0.000000,46.800107,0.0
305,15,0.000000,0.000000,0.000000,0.000000,46.097515,0.0
305,16,0.000000,0.000000,0.000000,0.000000,43.986946,0.0
305,17,0.000000,0.000000,0.000000,0.000000,41.998283,0.0
305,18,0.000000,0.000000,0.000000,0.000000,39.218622,0.0
305,19,0.000000,0.000000,0.000000,0.000000,35.634004,0.0
305,20,0.000000,0.000000,0.000000,0.000000,32.429996,0.0
305,21,0.000000,0.000000,0.000000,0.000000,30.218924,0.0
305,22,0.000000,0.000000,0.000000,0.000000,29.034288,0.0
305,23,0.000000,0.000000,0.000000,0.000000,28.441504,0.0
305,24,0.000000,0.000000,0.000000,0.000000,28.040422,0.0
306,1,0.000000,0.000000,0.000000,0.000000,54.335116,0.0
306,2,0.000000,0.000000,0.000000,0.000000,57.559715,0.0
306,3,0.000000,0.000000,0.000000,0.000000,63.873440,0.0
306,4,0.000000,0.000000,0.000000,0.000000,67.700535,0.0
306,5,0.000000,0.000000,0.000000,0.000000,72.855615,0.0
306,6,0.000000,0.000000,0.000000,0.000000,76.750446,0.0
306,7,0.000000,0.000000,0.000000,0.000000,80.023173,0.0
306,8,0.000000,0.000000,0.000000,0.000000,82.267380,0.0
306,9,0.000000,0.000000,0.000000,0.000000,83.228164,0.0
306,10,0.000000,0.000000,0.000000,0.000000,84.663102,0.0
306,11,0.000000,0.000000,0.000000,0.000000,84.597148,0.0
306,12,0.000000,0.000000,0.000000,0.000000,82.825312,0.0
306,13,0.000000,0.000000,0.000000,0.000000,82.331551,0.0
306,14,0.000000,0.000000,0.000000,0.000000,89.645276,0.0
306,15,0.000000,0.000000,0.000000,0.000000,88.299465,0.0
306,16,0.000000,0.000000,0.000000,0.000000,84.256685,0.0
306,17,0.000000,0.000000,0.000000,0.000000,80.447415,0.0
306,18,0.000000,0.000000,0.000000,0.000000,75.122995,0.0
306,19,0.000000,0.000000,0.000000,0.000000,68.256684,0.0
306,20,0.000000,0.000000,0.000000,0.000000,62.119430,0.0
306,21,0.000000,0.000000,0.000000,0.000000,57.884135,0.0
306,22,0.000000,0.000000,0.000000,0.000000,55.614973,0.0
306,23,0.000000,0.000000,0.000000,0.000000,54.479501,0.0
306,24,0.000000,0.000000,0.000000,0.000000,53.711230,0.0
307,1,0.000000,0.000000,0.000000,0.000000,49.940364,0.0
307,2,0.000000,0.000000,0.000000,0.000000,52.904150,0.0
307,3,0.000000,0.000000,0.000000,0.000000,58.707206,0.0
307,4,0.000000,0.000000,0.000000,0.000000,62.224756,0.0
307,5,0.000000,0.000000,0.000000,0.000000,66.962881,0.0
307,6,0.000000,0.000000,0.000000,0.000000,70.542689,0.0
307,7,0.000000,0.000000,0.000000,0.000000,73.550710,0.0
307,8,0.000000,0.000000,0.000000,0.000000,75.613400,0.0
307,9,0.000000,0.000000,0.000000,0.000000,76.496474,0.0
307,10,0.000000,0.000000,0.000000,0.000000,77.815351,0.0
307,11,0.000000,0.000000,0.000000,0.000000,77.754732,0.0
307,12,0.000000,0.000000,0.000000,0.000000,76.126206,0.0
307,13,0.000000,0.000000,0.000000,0.000000,75.672381,0.0
307,14,0.000000,0.000000,0.000000,0.000000,82.394555,0.0
307,15,0.000000,0.000000,0.000000,0.000000,81.157597,0.0
307,16,0.000000,0.000000,0.000000,0.000000,77.441806,0.0
307,17,0.000000,0.000000,0.000000,0.000000,73.940639,0.0
307,18,0.000000,0.000000,0.000000,0.000000,69.046870,0.0
307,19,0.000000,0.000000,0.000000,0.000000,62.735923,0.0
307,20,0.000000,0.000000,0.000000,0.000000,57.095064,0.0
307,21,0.000000,0.000000,0.000000,0.000000,53.202330,0.0
307,22,0.000000,0.000000,0.000000,0.000000,51.116703,0.0
307,23,0.000000,0.000000,0.000000,0.000000,50.073071,0.0
307,24,0.000000,0.000000,0.000000,0.000000,49.366939,0.0
308,1,0.000000,0.000000,0.000000,0.000000,68.318418,0.0
308,2,0.000000,0.000000,0.000000,0.000000,72.372877,0.0
308,3,0.000000,0.000000,0.000000,0.000000,80.311458,0.0
308,4,0.000000,0.000000,0.000000,0.000000,85.123467,0.0
308,5,0.000000,0.000000,0.000000,0.000000,91.605222,0.0
308,6,0.000000,0.000000,0.000000,0.000000,96.502399,0.0
308,7,0.000000,0.000000,0.000000,0.000000,100.617372,0.0
308,8,0.000000,0.000000,0.000000,0.000000,103.439132,0.0
308,9,0.000000,0.000000,0.000000,0.000000,104.647177,0.0
308,10,0.000000,0.000000,0.000000,0.000000,106.451400,0.0
308,11,0.000000,0.000000,0.000000,0.000000,106.368473,0.0
308,12,0.000000,0.000000,0.000000,0.000000,104.140650,0.0
308,13,0.000000,0.000000,0.000000,0.000000,103.519818,0.0
308,14,0.000000,0.000000,0.000000,0.000000,112.715752,0.0
308,15,0.000000,0.000000,0.000000,0.000000,111.023592,0.0
308,16,0.000000,0.000000,0.000000,0.000000,105.940390,0.0
308,17,0.000000,0.000000,0.000000,0.000000,101.150794,0.0
308,18,0.000000,0.000000,0.000000,0.000000,94.456118,0.0
308,19,0.000000,0.000000,0.000000,0.000000,85.822743,0.0
308,20,0.000000,0.000000,0.000000,0.000000,78.106048,0.0
308,21,0.000000,0.000000,0.000000,0.000000,72.780788,0.0
308,22,0.000000,0.000000,0.000000,0.000000,69.927650,0.0
308,23,0.000000,0.000000,0.000000,0.000000,68.499961,0.0
308,24,0.000000,0.000000,0.000000,0.000000,67.533973,0.0
309,1,0.000000,0.000000,0.000000,0.000000,69.916509,0.0
309,2,0.000000,0.000000,0.000000,0.000000,74.065809,0.0
309,3,0.000000,0.000000,0.000000,0.000000,82.190089,0.0
309,4,0.000000,0.000000,0.000000,0.000000,87.114659,0.0
309,5,0.000000,0.000000,0.000000,0.000000,93.748034,0.0
309,6,0.000000,0.000000,0.000000,0.000000,98.759765,0.0
309,7,0.000000,0.000000,0.000000,0.000000,102.970995,0.0
309,8,0.000000,0.000000,0.000000,0.000000,105.858761,0.0
309,9,0.000000,0.000000,0.000000,0.000000,107.095064,0.0
309,10,0.000000,0.000000,0.000000,0.000000,108.941491,0.0
309,11,0.000000,0.000000,0.000000,0.000000,108.856624,0.0
309,12,0.000000,0.000000,0.000000,0.000000,106.576688,0.0
309,13,0.000000,0.000000,0.000000,0.000000,105.941334,0.0
309,14,0.000000,0.000000,0.000000,0.000000,115.352378,0.0
309,15,0.000000,0.000000,0.000000,0.000000,113.620635,0.0
309,16,0.000000,0.000000,0.000000,0.000000,108.418528,0.0
309,17,0.000000,0.000000,0.000000,0.000000,103.516895,0.0
309,18,0.000000,0.000000,0.000000,0.000000,96.665618,0.0
309,19,0.000000,0.000000,0.000000,0.000000,87.830293,0.0
309,20,0.000000,0.000000,0.000000,0.000000,79.933090,0.0
309,21,0.000000,0.000000,0.000000,0.000000,74.483263,0.0
309,22,0.000000,0.000000,0.000000,0.000000,71.563385,0.0
309,23,0.000000,0.000000,0.000000,0.000000,70.102299,0.0
309,24,0.000000,0.000000,0.000000,0.000000,69.113715,0.0
310,1,0.000000,0.000000,0.000000,0.000000,77.906968,0.0
310,2,0.000000,0.000000,0.000000,0.000000,82.530473,0.0
310,3,0.000000,0.000000,0.000000,0.000000,91.583242,0.0
