,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,22.732463,0.000000,0.000000,0.000000,43.148474,980.871088711462
301,2,22.732463,0.000000,0.000000,0.000000,45.709185,1039.082356772655
301,3,23.334982,0.000000,0.000000,0.000000,50.723026,1183.6208986955319
301,4,22.732463,0.000000,0.000000,0.000000,53.762189,1222.146972241507
301,5,0.000000,0.000000,0.000000,0.000000,57.855930,0.0
301,6,0.000000,0.000000,0.000000,0.000000,60.948883,0.0
301,7,0.000000,0.000000,0.000000,0.000000,63.547814,0.0
301,8,0.000000,0.000000,0.000000,0.000000,65.329978,0.0
301,9,0.000000,0.000000,0.000000,0.000000,66.092954,0.0
301,10,0.000000,0.000000,0.000000,0.000000,67.232463,0.0
301,11,0.000000,0.000000,0.000000,0.000000,67.180088,0.0
301,12,0.000000,0.000000,0.000000,0.000000,65.773042,0.0
301,13,22.085094,0.000000,0.000000,0.000000,65.380937,1443.9441394530782
301,14,23.217425,0.000000,0.000000,0.000000,71.188896,1652.8228537128
301,15,23.217425,0.000000,0.000000,0.000000,70.120164,1628.0096486577
301,16,22.085094,0.000000,0.000000,0.000000,66.909720,1477.70745571368
301,17,21.184575,0.000000,0.000000,0.000000,63.884712,1353.3704727174
301,18,12.206793,0.000000,0.000000,0.000000,59.656496,728.2144977773279
301,19,12.455902,0.000000,0.000000,0.000000,54.203838,675.157694151876
301,20,12.455902,0.000000,0.000000,0.000000,49.330135,614.45132720677
301,21,0.000000,0.000000,0.000000,0.000000,45.966813,0.0
301,22,0.000000,0.000000,0.000000,0.000000,44.164832,0.0
301,23,0.000000,0.000000,0.000000,0.000000,43.263133,0.0
301,24,0.000000,0.000000,0.000000,0.000000,42.653036,0.0
302,1,22.732463,0.138865,0.000000,0.000000,38.753722,880.9675514772861
302,2,22.732463,0.152805,0.000000,0.000000,41.053620,933.2498976660601
302,3,23.334982,0.181552,0.000000,0.000000,45.556792,1063.066921297744
302,4,22.732463,0.186037,0.000000,0.000000,48.286411,1097.669051460293
302,5,0.000000,0.198746,0.000000,0.000000,51.963196,0.0
302,6,0.000000,0.183938,0.000000,0.000000,54.741127,0.0
302,7,0.000000,0.113398,0.000000,0.000000,57.075351,0.0
302,8,0.000000,0.150718,0.000000,0.000000,58.675999,0.0
302,9,0.000000,0.191397,0.000000,0.000000,59.361264,0.0
302,10,0.000000,0.154759,0.000000,0.000000,60.384712,0.0
302,11,0.000000,0.208581,0.000000,0.000000,60.337672,0.0
302,12,0.000000,0.439867,0.000000,0.000000,59.073936,0.0
302,13,23.104290,0.436662,0.000000,0.000000,58.721768,1356.72475718472
302,14,24.288876,0.446073,0.000000,0.000000,63.938175,1552.9864042412999
302,15,24.288876,0.443960,0.000000,0.000000,62.978295,1529.6719979464199
302,16,23.104290,0.437328,0.000000,0.000000,60.094841,1388.44863396789
302,17,22.162213,0.429698,0.000000,0.000000,57.377936,1271.622039132368
302,18,12.759976,0.420117,0.000000,0.000000,53.580371,683.684248031096
302,19,13.030724,0.410521,0.000000,0.000000,48.683076,634.375726827024
302,20,13.030724,0.404316,0.000000,0.000000,44.305770,577.33626047748
302,21,0.000000,0.394107,0.000000,0.000000,41.285008,0.0
302,22,0.000000,0.394011,0.000000,0.000000,39.666562,0.0
302,23,0.000000,0.388641,0.000000,0.000000,38.856703,0.0
302,24,0.000000,0.363644,0.000000,0.000000,38.308745,0.0
303,1,22.732463,-6.511849,0.000000,0.000000,71.914124,1634.785163007412
303,2,22.732463,-6.904320,0.000000,0.000000,76.181975,1731.8039279544248
303,3,23.334982,-7.982983,0.000000,0.000000,84.538377,1972.701505604214
303,4,22.732463,-8.098471,0.000000,0.000000,89.603649,2036.911635557487
303,5,0.000000,-8.491842,0.000000,0.000000,96.426549,0.0
303,6,0.000000,-8.118832,0.000000,0.000000,101.581472,0.0
303,7,0.000000,-5.635674,0.000000,0.000000,105.913023,0.0
303,8,0.000000,-6.893262,0.000000,0.000000,108.883297,0.0
303,9,0.000000,-8.570854,0.000000,0.000000,110.154923,0.0
303,10,0.000000,-7.140967,0.000000,0.000000,112.054105,0.0
303,11,0.000000,-9.196038,0.000000,0.000000,111.966813,0.0
303,12,0.000000,-16.204312,0.000000,0.000000,109.621736,0.0
303,13,0.000000,-16.459552,0.000000,0.000000,108.968229,0.0
303,14,0.000000,-17.175761,0.000000,0.000000,118.648160,0.0
303,15,0.000000,-17.088989,0.000000,0.000000,116.866939,0.0
303,16,0.000000,-16.862023,0.000000,0.000000,111.516200,0.0
303,17,0.000000,-16.811276,0.000000,0.000000,106.474520,0.0
303,18,0.000000,-16.612226,0.000000,0.000000,99.427493,0.0
303,19,0.000000,-16.029703,0.000000,0.000000,90.339729,0.0
303,20,0.000000,-15.228817,0.000000,0.000000,82.216892,0.0
303,21,0.000000,-15.376225,0.000000,0.000000,76.611356,0.0
303,22,0.000000,-14.820447,0.000000,0.000000,73.608053,0.0
303,23,0.000000,-14.689916,0.000000,0.000000,72.105222,0.0
303,24,0.000000,-13.922507,0.000000,0.000000,71.088393,0.0
304,1,22.732463,-1.258788,0.000000,0.000000,29.564695,672.0783351937849
304,2,22.732463,-1.240357,0.000000,0.000000,31.319257,711.963850939991
304,3,23.334982,-1.307593,0.000000,0.000000,34.754666,810.9995055260121
304,4,22.732463,-1.343859,0.000000,0.000000,36.837056,837.3970125489279
304,5,0.000000,-1.378734,0.000000,0.000000,39.642026,0.0
304,6,0.000000,-1.538739,0.000000,0.000000,41.761272,0.0
304,7,0.000000,-1.754863,0.000000,0.000000,43.542021,0.0
304,8,0.000000,-1.683869,0.000000,0.000000,44.763133,0.0
304,9,0.000000,-1.707941,0.000000,0.000000,45.285913,0.0
304,10,0.000000,-1.758081,0.000000,0.000000,46.066688,0.0
304,11,0.000000,-1.699850,0.000000,0.000000,46.030801,0.0
304,12,0.000000,-0.674497,0.000000,0.000000,45.066714,0.0
304,13,30.093902,-0.825069,0.000000,0.000000,44.798050,1348.1481264911001
304,14,31.636854,-1.084222,0.000000,0.000000,48.777577,1543.169082022758
304,15,31.636854,-1.061456,0.000000,0.000000,48.045297,1520.002046575638
304,16,30.093902,-1.011725,0.000000,0.000000,45.845549,1379.671458742198
304,17,28.866823,-1.055162,0.000000,0.000000,43.772858,1263.583344090134
304,18,16.463222,-1.044951,0.000000,0.000000,40.875747,672.9464972768338
304,19,16.972837,-0.851405,0.000000,0.000000,37.139667,630.365514225279
304,20,16.972837,-0.523284,0.000000,0.000000,33.800278,573.6866090486859
304,21,0.000000,-0.684419,0.000000,0.000000,31.495780,0.0
304,22,0.000000,-0.419353,0.000000,0.000000,30.261088,0.0
304,23,0.000000,-0.436727,0.000000,0.000000,29.643258,0.0
304,24,0.000000,-0.527396,0.000000,0.000000,29.225228,0.0
305,1,22.732463,-0.321244,0.000000,0.000000,28.366127,644.8319324808009
305,2,22.732463,-0.372487,0.000000,0.000000,30.049557,683.100442668891
305,3,23.334982,-0.356668,0.000000,0.000000,33.345693,778.1211459325259
305,4,22.732463,-0.485387,0.000000,0.000000,35.343662,803.448488699506
305,5,0.000000,-0.603451,0.000000,0.000000,38.034917,0.0
