,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,15.731579,0.000000,0.000000,0.000000,45.577982,717.0136244935779
301,2,15.731579,0.000000,0.000000,0.000000,43.715913,687.720338916627
301,3,23.334982,0.000000,0.000000,0.000000,42.895919,1000.975497738458
301,4,23.334982,0.000000,0.000000,0.000000,42.708004,996.5905045959281
301,5,22.732463,0.000000,0.000000,0.000000,43.340082,985.226810481966
301,6,22.732463,0.000000,0.000000,0.000000,45.885479,1043.0899536047768
301,7,23.334982,0.000000,0.000000,0.000000,52.137931,1216.6376814022422
301,8,25.908321,0.000000,0.000000,0.000000,55.469155,1437.112673338755
301,9,26.429209,0.000000,0.000000,0.000000,58.612464,1549.081061060976
301,10,26.401998,0.000000,0.000000,0.000000,61.533692,1624.612413116616
301,11,26.429209,0.000000,0.000000,0.000000,63.481177,1677.7572944989931
301,12,26.895675,0.000000,0.000000,0.000000,64.608668,1737.6937367108999
301,13,26.755735,0.000000,0.000000,0.000000,64.215755,1718.1397236049252
301,14,26.845141,0.000000,0.000000,0.000000,64.181588,1722.9637794639082
301,15,26.429209,0.000000,0.000000,0.000000,63.669092,1682.723739308228
301,16,26.401998,0.000000,0.000000,0.000000,62.900348,1660.694862095304
301,17,26.401998,0.000000,0.000000,0.000000,62.746599,1656.635581304802
301,18,26.380972,0.000000,0.000000,0.000000,69.169883,1824.768746666276
301,19,15.731579,0.000000,0.000000,0.000000,69.238216,1089.226464823064
301,20,0.000000,0.000000,0.000000,0.000000,66.761152,0.0
301,21,0.000000,0.000000,0.000000,0.000000,64.267004,0.0
301,22,0.000000,0.000000,0.000000,0.000000,59.637456,0.0
301,23,0.000000,0.000000,0.000000,0.000000,54.444163,0.0
301,24,0.000000,0.000000,0.000000,0.000000,49.609617,0.0
302,1,15.731579,0.070988,0.000000,0.000000,40.935780,643.98445699662
302,2,15.731579,0.115011,0.000000,0.000000,39.263366,617.6747440349139
302,3,23.334982,0.221074,0.000000,0.000000,38.526890,899.0242846659801
302,4,23.334982,0.298554,0.000000,0.000000,38.358115,895.0859230789299
302,5,22.732463,0.312417,0.000000,0.000000,38.925815,884.879649232345
302,6,22.732463,0.295632,0.000000,0.000000,41.211958,936.849310392554
302,7,23.334982,0.338189,0.000000,0.000000,46.827586,1092.7208764134518
302,8,25.908321,0.338241,0.000000,0.000000,49.819519,1290.740090317599
302,9,26.429209,0.270210,0.000000,0.000000,52.642676,1391.304286323284
302,10,26.401998,0.227512,0.000000,0.000000,55.266371,1459.1426166092579
302,11,26.429209,0.183367,0.000000,0.000000,57.015501,1506.8745921687091
302,12,26.895675,0.158452,0.000000,0.000000,58.028156,1560.7064246253
302,13,26.755735,0.196984,0.000000,0.000000,57.675261,1543.143999371835
302,14,26.845141,0.191462,0.000000,0.000000,57.644574,1547.476716914934
