,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,40.267056,0.000000,0.000000
C1-2,37.356730,0.000000,0.000000
C1-3,37.112687,0.000000,0.000000
C1-4,33.761496,0.000000,0.000000
C1-5,25.909722,0.000000,0.000000
C1-6,22.105276,0.000000,0.000000
C1-7,21.623723,0.000000,0.000000
C1-8,18.655001,0.000000,0.000000
C1-9,19.295482,0.000000,0.000000
C1-10,21.638153,0.000000,0.000000
C1-11,24.235512,0.000000,0.000000
C1-12,26.816356,0.000000,0.000000
C1-13,27.321023,0.000000,0.000000
C1-14,27.646499,0.000000,0.000000
C1-15,24.038058,0.000000,0.000000
C1-16,23.857489,0.000000,0.000000
C1-17,22.026437,0.000000,0.000000
C1-18,33.548374,0.000000,0.000000
C1-19,28.892620,0.000000,0.000000
C1-20,22.523484,0.000000,0.000000
C1-21,6.177799,0.000000,0.000000
C1-22,52.607957,0.000000,0.000000
C1-23,51.784432,0.000000,0.000000
C1-24,50.709218,0.000000,0.000000
C2-1,-103.617149,0.000000,0.000000
C2-2,-97.223888,0.000000,0.000000
C2-3,-94.099714,0.000000,0.000000
C2-4,-86.238464,0.000000,0.000000
C2-5,-69.874365,0.000000,0.000000
C2-6,-62.867837,0.000000,0.000000
C2-7,-63.939715,0.000000,0.000000
C2-8,-60.398820,0.000000,0.000000
C2-9,-63.360230,0.000000,0.000000
C2-10,-70.004146,0.000000,0.000000
C2-11,-75.956421,0.000000,0.000000
C2-12,-80.406858,0.000000,0.000000
C2-13,-81.045246,0.000000,0.000000
C2-14,-80.324767,0.000000,0.000000
C2-15,-68.527263,0.000000,0.000000
C2-16,-72.489572,0.000000,0.000000
C2-17,-68.640518,0.000000,0.000000
C2-18,-94.402220,0.000000,0.000000
C2-19,-84.631851,0.000000,0.000000
C2-20,-70.314845,0.000000,0.000000
C2-21,-29.662543,0.000000,0.000000
C2-22,-130.817866,0.000000,0.000000
C2-23,-126.287584,0.000000,0.000000
C2-24,-123.907855,0.000000,0.000000
C3-1,17.720862,0.000000,0.000000
C3-2,15.843748,0.000000,0.000000
C3-3,13.629862,0.000000,0.000000
C3-4,9.461467,0.000000,0.000000
C3-5,0.692893,0.000000,0.000000
C3-6,-5.140001,0.000000,0.000000
C3-7,-9.241110,0.000000,0.000000
C3-8,-13.793669,0.000000,0.000000
C3-9,-14.991880,0.000000,0.000000
C3-10,-13.902276,0.000000,0.000000
C3-11,-12.494846,0.000000,0.000000
C3-12,-11.650244,0.000000,0.000000
C3-13,-11.414025,0.000000,0.000000
C3-14,-12.220814,0.000000,0.000000
C3-15,-19.521550,0.000000,0.000000
