,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,4,50.000000,0.000000,0.000000,42.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,42.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,42.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,21.116646,0.171233,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,21.116646,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,42.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,21.287879,0.000000,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,21.287879,0.0
313_STORAGE_1,8,26.470588,0.000000,0.000000,65.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,9,50.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,12,0.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,13,0.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,16,0.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,17,0.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,18,50.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5.114119,0.000000,0.000000,21.287879,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,19,0.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,18.987981,3.067017,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,23.334982,0.0
313_STORAGE_1,20,0.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,18.987981,3.067017,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,23.334982,0.0
313_STORAGE_1,21,0.000000,8.722166,8.722166,141.277834,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,22.054997,0.000000,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,26.401998,230.28260928766798
313_STORAGE_1,22,0.000000,50.000000,50.000000,91.277834,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,22.054997,0.000000,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,26.401998,1320.0999
313_STORAGE_1,23,0.000000,41.277834,41.277834,50.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,22.054997,0.000000,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,26.401998,1089.817290712332
313_STORAGE_1,24,0.000000,50.000000,50.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000544,0.000000,0.000000,22.109418,0.000000,5.114119,0.000000,0.000000,21.287879,0.000000,0.000000,303,26.429209,1321.46045
