,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,-0.000000,0.000000,5000.000000,0.000000,46.056311,-0.0
301,2,-0.000000,0.000000,5000.000000,0.000000,44.296742,-0.0
301,3,-0.000000,0.000000,0.000000,5000.000000,43.374249,-0.0
301,4,-0.000000,0.000000,1172.142246,0.000000,43.066751,-0.0
301,5,-0.000000,0.000000,5000.000000,0.000000,43.271749,-0.0
301,6,-0.000000,0.000000,0.000000,5000.000000,45.834230,-0.0
301,7,12.455902,0.000000,0.000000,5000.000000,51.574185,642.40299408987
301,8,-0.000000,0.000000,0.000000,5000.000000,56.049984,-0.0
301,9,-0.000000,0.000000,0.000000,5000.000000,59.090794,-0.0
301,10,-0.000000,0.000000,0.000000,5000.000000,61.584941,-0.0
301,11,-0.000000,0.000000,0.000000,5000.000000,63.395761,-0.0
301,12,-0.000000,0.000000,0.000000,5000.000000,64.249921,-0.0
301,13,-0.000000,0.000000,0.000000,5000.000000,64.335337,-0.0
301,14,-0.000000,0.000000,0.000000,5000.000000,64.523252,-0.0
301,15,-0.000000,0.000000,0.000000,5000.000000,64.301171,-0.0
301,16,8.736652,0.000000,0.000000,5000.000000,63.019930,550.58319747436
301,17,26.429209,0.000000,0.000000,5000.000000,62.234103,1644.798115114527
301,18,23.217425,0.000000,0.000000,5000.000000,67.136982,1558.74784431135
301,19,24.201927,0.000000,0.000000,5000.000000,70.263208,1700.5050308018162
301,20,23.003747,0.000000,0.000000,5000.000000,68.469472,1575.054411111584
301,21,19.429035,0.000000,0.000000,5000.000000,63.720342,1238.02475492997
301,22,12.455902,0.000000,0.000000,5000.000000,59.295792,738.582574164384
301,23,12.455902,0.000000,0.000000,5000.000000,54.153749,674.533790476598
301,24,-0.000000,0.000000,0.000000,5000.000000,48.943372,-0.0
302,1,-0.000000,0.391395,5000.000000,0.000000,41.365391,-0.0
302,2,-0.000000,0.395933,5000.000000,0.000000,39.785036,-0.0
302,3,-0.000000,0.385816,0.000000,5000.000000,38.956501,-0.0
302,4,-0.000000,0.385399,5000.000000,0.000000,38.680323,-0.0
302,5,-0.000000,0.385911,5000.000000,0.000000,38.864442,-0.0
302,6,-0.000000,0.397425,0.000000,5000.000000,41.165928,-0.0
302,7,13.030724,0.403075,0.000000,5000.000000,46.321259,603.5995413615159
302,8,-0.000000,0.418650,0.000000,5000.000000,50.341190,-0.0
302,9,-0.000000,0.419214,0.000000,5000.000000,53.072287,-0.0
302,10,-0.000000,0.433991,0.000000,5000.000000,55.312401,-0.0
302,11,-0.000000,0.318029,0.000000,5000.000000,56.938785,-0.0
302,12,-0.000000,0.430098,0.000000,5000.000000,57.705947,-0.0
302,13,-0.000000,0.422756,0.000000,5000.000000,57.782664,-0.0
302,14,-0.000000,0.414745,0.000000,5000.000000,57.951439,-0.0
302,15,-0.000000,0.237861,0.000000,5000.000000,57.751977,-0.0
302,16,8.736652,0.267863,0.000000,5000.000000,56.601234,494.505284228568
302,17,26.429209,0.309209,0.000000,5000.000000,55.895444,1477.272371623796
302,18,24.288876,0.431067,0.000000,5000.000000,60.298956,1464.5938652134557
302,19,24.915628,0.436050,0.000000,5000.000000,63.106770,1572.34480560156
302,20,23.662153,0.434449,0.000000,5000.000000,61.495729,1455.121348444537
302,21,20.325657,0.424456,0.000000,5000.000000,57.230307,1163.243590086699
302,22,13.030724,0.414860,0.000000,5000.000000,53.256406,693.9695278179439
302,23,13.030724,0.405366,0.000000,5000.000000,48.638089,633.7895136464359
302,24,-0.000000,0.395685,0.000000,5000.000000,43.958399,-0.0
303,1,0.000000,-15.724774,5000.000000,0.000000,76.760519,0.0
303,2,0.000000,-14.634879,0.000000,5000.000000,73.827903,0.0
303,3,0.000000,-15.539626,0.000000,5000.000000,72.290414,0.0
303,4,0.000000,-15.492084,0.000000,5000.000000,71.777918,0.0
303,5,0.000000,-15.496203,0.000000,5000.000000,72.119582,0.0
303,6,0.000000,-14.942545,0.000000,5000.000000,76.390383,0.0
303,7,0.000000,-16.081613,0.000000,5000.000000,85.956976,0.0
303,8,0.000000,-15.650437,5000.000000,0.000000,93.416640,0.0
303,9,0.000000,-16.540937,0.000000,5000.000000,98.484657,0.0
303,10,0.000000,-15.580301,0.000000,5000.000000,102.641569,0.0
303,11,0.000000,-13.329249,0.000000,5000.000000,105.659601,0.0
303,12,0.000000,-16.878881,0.000000,5000.000000,107.083202,0.0
303,13,-0.000000,-16.740202,0.000000,5000.000000,107.225562,-0.0
303,14,-0.000000,-15.082306,0.000000,5000.000000,107.538754,-0.0
303,15,-0.000000,-10.516870,0.000000,5000.000000,107.168618,-0.0
303,16,8.736652,-11.115480,0.000000,5000.000000,105.033217,917.6386653694839
303,17,26.429209,-12.527800,0.000000,5000.000000,103.723505,2741.3301918575453
303,18,-0.000000,-17.673048,2973.149344,0.000000,111.894970,-0.0
303,19,8.736652,-18.068423,0.000000,5000.000000,117.105346,1023.1086553415919
303,20,8.736652,-17.692901,5000.000000,0.000000,114.115786,996.9899099884719
303,21,0.000000,-17.378681,0.000000,5000.000000,106.200569,0.0
303,22,0.000000,-17.119731,0.000000,5000.000000,98.826321,0.0
303,23,0.000000,-16.622912,5000.000000,0.000000,90.256248,0.0
303,24,0.000000,-16.126650,0.000000,5000.000000,81.572287,0.0
304,1,0.000000,-0.875257,0.000000,0.000000,31.557102,0.0
304,2,-0.000000,-0.313505,0.000000,0.000000,30.351471,-0.0
304,3,0.000000,-0.836181,0.000000,0.000000,29.719393,0.0
304,4,0.000000,-0.817134,0.000000,0.000000,29.508700,0.0
304,5,0.000000,-0.814566,0.000000,0.000000,29.649162,0.0
304,6,-0.000000,-0.447471,0.000000,0.000000,31.404935,-0.0
304,7,16.972837,-0.942324,0.000000,0.000000,35.337868,599.7838734915159
304,8,-0.000000,-0.597791,0.000000,0.000000,38.404619,-0.0
304,9,0.000000,-1.018863,0.000000,0.000000,40.488137,0.0
304,10,-0.000000,-0.428082,0.000000,0.000000,42.197090,-0.0
304,11,0.000000,-1.485162,0.000000,0.000000,43.437836,0.0
304,12,-0.000000,-1.083952,0.000000,0.000000,44.023094,-0.0
304,13,0.000000,-1.151848,0.000000,0.000000,44.081620,0.0
304,14,0.000000,-0.607855,0.000000,0.000000,44.210376,0.0
304,15,0.000000,-1.691641,0.000000,0.000000,44.058209,0.0
304,16,8.736652,-1.407727,0.000000,0.000000,43.180323,377.251455298596
304,17,26.429209,-1.278811,0.000000,0.000000,42.641885,1126.9912908189651
304,18,31.636854,-1.455330,0.000000,0.000000,46.001265,1455.33530462031
304,19,29.810163,-1.600284,0.000000,0.000000,48.143309,1435.159888649367
304,20,28.177482,-1.434812,0.000000,0.000000,46.914268,1321.925942113176
304,21,26.474665,-1.373161,0.000000,0.000000,43.660234,1155.8900689716102
304,22,16.972837,-1.334432,0.000000,0.000000,40.628599,689.582588365363
304,23,16.972837,-1.180987,0.000000,0.000000,37.105346,629.7829894866019
304,24,0.000000,-1.029465,0.000000,0.000000,33.535274,0.0
305,1,0.000000,1.715293,0.000000,0.000000,30.277760,0.0
305,2,0.000000,1.334374,0.000000,0.000000,29.121006,0.0
305,3,0.000000,1.805197,0.000000,0.000000,28.514552,0.0
305,4,0.000000,1.803551,0.000000,0.000000,28.312401,0.0
305,5,0.000000,1.792122,0.000000,0.000000,28.447169,0.0
305,6,0.000000,1.374380,0.000000,0.000000,30.131762,0.0
305,7,13.983690,1.519397,0.000000,0.000000,33.905252,474.12053333987996
305,8,0.000000,1.033159,0.000000,0.000000,36.847675,0.0
305,9,0.000000,1.240381,0.000000,0.000000,38.846726,0.0
305,10,0.000000,0.642205,0.000000,0.000000,40.486397,0.0
305,11,0.000000,0.351251,0.000000,0.000000,41.676843,0.0
305,12,0.000000,1.059176,0.000000,0.000000,42.238374,0.0
305,13,0.000000,1.043728,0.000000,0.000000,42.294527,0.0
