,hour,dispatch,dual,offer,lmp,capacity
320_PV_1-1,1,0.000000,0.000000,,0.000000,29.333333
314_PV_1-1,1,0.000000,0.000000,,0.000000,28.150000
314_PV_2-1,1,0.000000,0.000000,,0.000000,25.225000
313_PV_1-1,1,0.000000,0.000000,,0.000000,44.966667
314_PV_3-1,1,0.000000,0.000000,,0.000000,46.258333
314_PV_4-1,1,0.000000,0.000000,,0.000000,26.483333
313_PV_2-1,1,0.000000,0.000000,,0.000000,44.700000
310_PV_1-1,1,0.000000,0.000000,,0.000000,28.516667
324_PV_1-1,1,0.000000,0.000000,,0.000000,29.066667
312_PV_1-1,1,0.000000,0.000000,,0.000000,43.683333
310_PV_2-1,1,0.000000,0.000000,,0.000000,28.650000
324_PV_2-1,1,0.000000,0.000000,,0.000000,29.583333
324_PV_3-1,1,0.000000,0.000000,,0.000000,27.783333
319_PV_1-1,1,0.000000,0.000000,,0.000000,111.200000
308_RTPV_1-1,1,0.000000,0.000000,,0.000000,28.641667
313_RTPV_1-1,1,0.000000,0.000000,,0.000000,30.733333
313_RTPV_2-1,1,0.000000,0.000000,,0.000000,19.100000
313_RTPV_3-1,1,0.000000,0.000000,,0.000000,15.675000
313_RTPV_4-1,1,0.000000,0.000000,,0.000000,17.933333
313_RTPV_5-1,1,0.000000,0.000000,,0.000000,18.866667
313_RTPV_6-1,1,0.000000,0.000000,,0.000000,18.716667
313_RTPV_7-1,1,0.000000,0.000000,,0.000000,19.200000
313_RTPV_8-1,1,0.000000,0.000000,,0.000000,19.566667
313_RTPV_9-1,1,0.000000,0.000000,,0.000000,19.191667
313_RTPV_10-1,1,0.000000,0.000000,,0.000000,18.700000
313_RTPV_11-1,1,0.000000,0.000000,,0.000000,20.333333
313_RTPV_12-1,1,0.000000,0.000000,,0.000000,9.350000
320_RTPV_1-1,1,0.000000,0.000000,,0.000000,9.058333
320_RTPV_2-1,1,0.000000,0.000000,,0.000000,9.091667
320_RTPV_3-1,1,0.000000,0.000000,,0.000000,9.075000
313_RTPV_13-1,1,0.000000,0.000000,,0.000000,8.825000
320_RTPV_4-1,1,0.000000,0.000000,,0.000000,9.241667
320_RTPV_5-1,1,0.000000,0.000000,,0.000000,8.808333
320_RTPV_6-1,1,0.000000,0.000000,,0.000000,3.183333
309_WIND_1-1,1,0.000000,0.000000,,0.000000,144.875000
317_WIND_1-1,1,0.000000,0.000000,,0.000000,758.775000
303_WIND_1-1,1,0.000000,0.000000,,0.000000,628.975000
320_PV_1-2,2,0.000000,0.000000,,0.000000,34.716667
314_PV_1-2,2,0.000000,0.000000,,0.000000,33.600000
314_PV_2-2,2,0.000000,0.000000,,0.000000,28.175000
313_PV_1-2,2,0.000000,0.000000,,0.000000,57.216667
314_PV_3-2,2,0.000000,0.000000,,0.000000,60.775000
314_PV_4-2,2,0.000000,0.000000,,0.000000,33.008333
313_PV_2-2,2,0.000000,0.000000,,0.000000,56.041667
310_PV_1-2,2,0.000000,0.000000,,0.000000,31.825000
324_PV_1-2,2,0.000000,0.000000,,0.000000,32.733333
312_PV_1-2,2,0.000000,0.000000,,0.000000,55.375000
310_PV_2-2,2,0.000000,0.000000,,0.000000,30.200000
324_PV_2-2,2,0.000000,0.000000,,0.000000,35.650000
324_PV_3-2,2,0.000000,0.000000,,0.000000,32.000000
319_PV_1-2,2,0.000000,0.000000,,0.000000,133.716667
308_RTPV_1-2,2,0.000000,0.000000,,0.000000,37.516667
313_RTPV_1-2,2,0.000000,0.000000,,0.000000,49.658333
313_RTPV_2-2,2,0.000000,0.000000,,0.000000,32.583333
313_RTPV_3-2,2,0.000000,0.000000,,0.000000,28.666667
313_RTPV_4-2,2,0.000000,0.000000,,0.000000,30.650000
313_RTPV_5-2,2,0.000000,0.000000,,0.000000,29.458333
313_RTPV_6-2,2,0.000000,0.000000,,0.000000,29.591667
313_RTPV_7-2,2,0.000000,0.000000,,0.000000,30.600000
313_RTPV_8-2,2,0.000000,0.000000,,0.000000,31.341667
313_RTPV_9-2,2,0.000000,0.000000,,0.000000,31.175000
313_RTPV_10-2,2,0.000000,0.000000,,0.000000,30.816667
313_RTPV_11-2,2,0.000000,0.000000,,0.000000,33.500000
313_RTPV_12-2,2,0.000000,0.000000,,0.000000,15.100000
320_RTPV_1-2,2,0.000000,0.000000,,0.000000,14.533333
320_RTPV_2-2,2,0.000000,0.000000,,0.000000,14.808333
320_RTPV_3-2,2,0.000000,0.000000,,0.000000,14.783333
313_RTPV_13-2,2,0.000000,0.000000,,0.000000,14.400000
320_RTPV_4-2,2,0.000000,0.000000,,0.000000,14.983333
320_RTPV_5-2,2,0.000000,0.000000,,0.000000,14.683333
320_RTPV_6-2,2,0.000000,0.000000,,0.000000,5.158333
309_WIND_1-2,2,0.000000,0.000000,,0.000000,142.958333
317_WIND_1-2,2,0.000000,0.000000,,0.000000,701.283333
303_WIND_1-2,2,0.000000,0.000000,,0.000000,361.650000
320_PV_1-3,3,0.000000,0.000000,,0.000000,36.408333
314_PV_1-3,3,0.000000,0.000000,,0.000000,35.625000
314_PV_2-3,3,0.000000,0.000000,,0.000000,26.483333
313_PV_1-3,3,0.000000,0.000000,,0.000000,58.691667
314_PV_3-3,3,0.000000,0.000000,,0.000000,62.525000
314_PV_4-3,3,0.000000,0.000000,,0.000000,32.716667
313_PV_2-3,3,0.000000,0.000000,,0.000000,54.100000
310_PV_1-3,3,0.000000,0.000000,,0.000000,32.316667
324_PV_1-3,3,0.000000,0.000000,,0.000000,31.850000
312_PV_1-3,3,0.000000,0.000000,,0.000000,47.266667
310_PV_2-3,3,0.000000,0.000000,,0.000000,24.725000
324_PV_2-3,3,0.000000,0.000000,,0.000000,24.566667
324_PV_3-3,3,0.000000,0.000000,,0.000000,32.908333
319_PV_1-3,3,0.000000,0.000000,,0.000000,143.275000
308_RTPV_1-3,3,0.000000,0.000000,,0.000000,22.300000
313_RTPV_1-3,3,0.000000,0.000000,,0.000000,32.233333
313_RTPV_2-3,3,0.000000,0.000000,,0.000000,30.208333
313_RTPV_3-3,3,0.000000,0.000000,,0.000000,27.383333
313_RTPV_4-3,3,0.000000,0.000000,,0.000000,22.583333
313_RTPV_5-3,3,0.000000,0.000000,,0.000000,24.925000
313_RTPV_6-3,3,0.000000,0.000000,,0.000000,30.383333
313_RTPV_7-3,3,0.000000,0.000000,,0.000000,30.933333
313_RTPV_8-3,3,0.000000,0.000000,,0.000000,40.925000
313_RTPV_9-3,3,0.000000,0.000000,,0.000000,36.866667
313_RTPV_10-3,3,0.000000,0.000000,,0.000000,37.600000
313_RTPV_11-3,3,0.000000,0.000000,,0.000000,40.358333
313_RTPV_12-3,3,0.000000,0.000000,,0.000000,18.500000
320_RTPV_1-3,3,0.000000,0.000000,,0.000000,18.016667
320_RTPV_2-3,3,0.000000,0.000000,,0.000000,17.925000
320_RTPV_3-3,3,0.000000,0.000000,,0.000000,17.891667
313_RTPV_13-3,3,0.000000,0.000000,,0.000000,17.100000
320_RTPV_4-3,3,0.000000,0.000000,,0.000000,17.800000
320_RTPV_5-3,3,0.000000,0.000000,,0.000000,17.683333
320_RTPV_6-3,3,0.000000,0.000000,,0.000000,6.033333
309_WIND_1-3,3,0.000000,0.000000,,0.000000,127.500000
317_WIND_1-3,3,0.000000,0.000000,,0.000000,591.450000
303_WIND_1-3,3,0.000000,0.000000,,0.000000,168.791667
320_PV_1-4,4,0.000000,0.000000,,0.000000,35.591667
314_PV_1-4,4,0.000000,0.000000,,0.000000,34.550000
314_PV_2-4,4,0.000000,0.000000,,0.000000,27.250000
313_PV_1-4,4,0.000000,0.000000,,0.000000,59.133333
314_PV_3-4,4,0.000000,0.000000,,0.000000,53.150000
314_PV_4-4,4,0.000000,0.000000,,0.000000,30.225000
313_PV_2-4,4,0.000000,0.000000,,0.000000,54.883333
310_PV_1-4,4,0.000000,0.000000,,0.000000,21.016667
324_PV_1-4,4,0.000000,0.000000,,0.000000,19.991667
312_PV_1-4,4,0.000000,0.000000,,0.000000,44.633333
310_PV_2-4,4,0.000000,0.000000,,0.000000,18.825000
324_PV_2-4,4,0.000000,0.000000,,0.000000,23.850000
324_PV_3-4,4,0.000000,0.000000,,0.000000,19.900000
319_PV_1-4,4,0.000000,0.000000,,0.000000,140.400000
308_RTPV_1-4,4,0.000000,0.000000,,0.000000,49.583333
313_RTPV_1-4,4,0.000000,0.000000,,0.000000,36.208333
313_RTPV_2-4,4,0.000000,0.000000,,0.000000,25.850000
313_RTPV_3-4,4,0.000000,0.000000,,0.000000,32.016667
313_RTPV_4-4,4,0.000000,0.000000,,0.000000,7.566667
313_RTPV_5-4,4,0.000000,0.000000,,0.000000,25.700000
313_RTPV_6-4,4,0.000000,0.000000,,0.000000,20.583333
313_RTPV_7-4,4,0.000000,0.000000,,0.000000,27.383333
313_RTPV_8-4,4,0.000000,0.000000,,0.000000,19.491667
313_RTPV_9-4,4,0.000000,0.000000,,0.000000,24.950000
313_RTPV_10-4,4,0.000000,0.000000,,0.000000,40.600000
313_RTPV_11-4,4,0.000000,0.000000,,0.000000,27.916667
313_RTPV_12-4,4,0.000000,0.000000,,0.000000,19.775000
320_RTPV_1-4,4,0.000000,0.000000,,0.000000,19.500000
320_RTPV_2-4,4,0.000000,0.000000,,0.000000,19.700000
320_RTPV_3-4,4,0.000000,0.000000,,0.000000,18.975000
313_RTPV_13-4,4,0.000000,0.000000,,0.000000,18.233333
320_RTPV_4-4,4,0.000000,0.000000,,0.000000,18.683333
320_RTPV_5-4,4,0.000000,0.000000,,0.000000,17.850000
320_RTPV_6-4,4,0.000000,0.000000,,0.000000,6.475000
309_WIND_1-4,4,0.000000,0.000000,,0.000000,23.150000
317_WIND_1-4,4,0.000000,0.000000,,0.000000,408.275000
303_WIND_1-4,4,0.000000,0.000000,,0.000000,146.758333
320_PV_1-5,5,0.000000,0.000000,,0.000000,35.350000
314_PV_1-5,5,0.000000,0.000000,,0.000000,25.875000
314_PV_2-5,5,0.000000,0.000000,,0.000000,20.616667
313_PV_1-5,5,0.000000,0.000000,,0.000000,62.591667
