,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,-0.000000,0.000000,0.000000,2059.141412,47.086505,-0.0
301,2,-0.000000,0.000000,5000.000000,0.000000,44.927807,-0.0
301,3,-0.000000,0.000000,0.000000,5000.000000,43.928437,-0.0
301,4,-0.000000,0.000000,0.000000,5000.000000,43.332494,-0.0
301,5,-0.000000,0.000000,0.000000,5000.000000,43.860491,-0.0
301,6,-0.000000,0.000000,0.000000,5000.000000,46.320698,-0.0
301,7,-0.000000,0.000000,0.000000,5000.000000,51.553948,-0.0
301,8,-0.000000,0.000000,0.000000,5000.000000,55.037590,-0.0
301,9,-0.000000,0.000000,0.000000,5000.000000,59.012425,-0.0
301,10,-0.000000,0.000000,0.000000,5000.000000,61.747248,-0.0
301,11,-0.000000,0.000000,0.000000,5000.000000,63.632746,-0.0
301,12,-0.000000,0.000000,0.000000,5000.000000,64.463668,-0.0
301,13,15.731579,0.000000,0.000000,5000.000000,63.986631,1006.610740520349
301,14,21.287879,0.000000,0.000000,5000.000000,64.159327,1365.8159898974332
301,15,22.732463,0.000000,0.000000,5000.000000,63.461466,1442.635427770758
301,16,26.311255,0.000000,0.000000,5000.000000,62.527210,1645.16936674855
301,17,26.414875,0.000000,0.000000,5000.000000,63.799780,1685.2632137274998
301,18,26.414875,0.000000,0.000000,5000.000000,71.174740,1880.0718602574998
301,19,26.414875,0.000000,0.000000,5000.000000,70.084775,1851.2805710281248
301,20,26.414875,0.000000,0.000000,5000.000000,67.725071,1788.949284831125
301,21,26.414875,0.000000,0.000000,5000.000000,64.651935,1707.7727815331248
301,22,26.311255,0.000000,0.000000,5000.000000,60.351526,1587.9243902251299
301,23,26.311255,0.000000,0.000000,5000.000000,55.206040,1452.5401959802
301,24,25.908321,0.000000,0.000000,5000.000000,49.889273,1292.5472993406331
302,1,-0.000000,0.306428,0.000000,5000.000000,42.290657,-0.0
302,2,-0.000000,0.388436,5000.000000,0.000000,40.351827,-0.0
302,3,-0.000000,0.386601,0.000000,5000.000000,39.454244,-0.0
302,4,-0.000000,0.385543,0.000000,5000.000000,38.919000,-0.0
302,5,-0.000000,0.386513,5000.000000,0.000000,39.393219,-0.0
302,6,-0.000000,0.390953,0.000000,5000.000000,41.602849,-0.0
302,7,-0.000000,0.400423,0.000000,5000.000000,46.303083,-0.0
302,8,-0.000000,0.407666,0.000000,5000.000000,49.431910,-0.0
302,9,-0.000000,0.266572,0.000000,5000.000000,53.001900,-0.0
302,10,-0.000000,0.159241,0.000000,5000.000000,55.458176,-0.0
302,11,-0.000000,0.169470,0.000000,5000.000000,57.151633,-0.0
302,12,-0.000000,0.149903,0.000000,5000.000000,57.897924,-0.0
302,13,15.731579,0.128174,0.000000,5000.000000,57.469474,904.085570319446
302,14,21.287879,0.080665,0.000000,5000.000000,57.624581,1226.705107753699
302,15,22.732463,0.133005,0.000000,5000.000000,56.997798,1295.700334116474
302,16,26.311255,0.226742,0.000000,5000.000000,56.158698,1477.60582354599
302,17,26.419656,0.433231,0.000000,5000.000000,57.301654,1513.889986911024
302,18,26.419656,0.445531,0.000000,5000.000000,63.925461,1688.888689261416
302,19,26.419656,0.441772,0.000000,5000.000000,62.946511,1663.025167020216
302,20,26.419656,0.437283,0.000000,5000.000000,60.827147,1607.032299201432
302,21,26.419656,0.433636,0.000000,5000.000000,58.067015,1534.11056124684
302,22,26.311255,0.405179,0.000000,5000.000000,54.204611,1426.191342196805
302,23,26.311255,0.332505,0.000000,5000.000000,49.583202,1304.5962715385099
302,24,25.908321,0.195298,0.000000,5000.000000,44.807958,1160.898959218518
303,1,0.000000,-13.227902,5000.000000,0.000000,78.477509,0.0
303,2,0.000000,-15.719115,5000.000000,0.000000,74.879679,0.0
303,3,0.000000,-15.621341,5000.000000,0.000000,73.214061,0.0
303,4,0.000000,-15.558718,5000.000000,0.000000,72.220824,0.0
303,5,0.000000,-15.610356,0.000000,5000.000000,73.100818,0.0
303,6,0.000000,-15.860142,0.000000,5000.000000,77.201164,0.0
303,7,0.000000,-16.388491,0.000000,5000.000000,85.923246,0.0
303,8,0.000000,-16.629380,5000.000000,0.000000,91.729317,0.0
303,9,-0.000000,-11.905047,0.000000,5000.000000,98.354042,-0.0
303,10,-0.000000,-8.576999,0.000000,5000.000000,102.912079,-0.0
303,11,-0.000000,-8.869868,0.000000,5000.000000,106.054577,-0.0
303,12,-0.000000,-7.376780,0.000000,215.059388,107.439446,-0.0
303,13,15.731579,-6.280505,0.000000,5000.000000,106.644385,1677.684567533915
303,14,21.287879,-4.703136,0.000000,5000.000000,106.932211,2276.359968970469
303,15,22.732463,-6.372930,5000.000000,0.000000,105.769110,2404.3923796179297
303,16,26.311255,-9.401308,0.000000,5000.000000,104.212016,2741.94892704008
303,17,26.311255,-16.367124,0.000000,5000.000000,106.332966,2797.75378333233
303,18,26.311255,-17.235353,0.000000,5000.000000,118.624567,3121.161231601585
303,19,26.311255,-17.336300,5000.000000,0.000000,116.807958,3073.36396896729
303,20,26.311255,-17.123875,0.000000,5000.000000,112.875118,2969.88601285309
303,21,26.311255,-16.587562,0.000000,5000.000000,107.753224,2835.12255373612
303,22,26.311255,-15.414193,0.000000,5000.000000,100.585876,2646.5406328343797
303,23,26.311255,-12.894228,0.000000,5000.000000,92.010066,2420.90030909283
303,24,25.908321,-8.340972,5000.000000,0.000000,83.148789,2154.2455161732687
304,1,0.000000,-1.294735,0.000000,0.000000,32.262976,0.0
304,2,0.000000,-0.898810,0.000000,0.000000,30.783868,0.0
304,3,0.000000,-0.868314,0.000000,0.000000,30.099114,0.0
304,4,0.000000,-0.847738,0.000000,0.000000,29.690783,0.0
304,5,0.000000,-0.863839,0.000000,0.000000,30.052558,0.0
304,6,0.000000,-0.943945,0.000000,0.000000,31.738256,0.0
304,7,0.000000,-1.112689,0.000000,0.000000,35.324001,0.0
304,8,0.000000,-1.163667,0.000000,0.000000,37.710942,0.0
304,9,0.000000,-1.669982,0.000000,0.000000,40.434440,0.0
304,10,0.000000,-2.158444,0.000000,0.000000,42.308299,0.0
304,11,0.000000,-2.147073,0.000000,0.000000,43.600215,0.0
304,12,0.000000,-1.878307,0.000000,0.000000,44.169550,0.0
304,13,15.731579,-1.781609,0.000000,0.000000,43.842692,689.714772770668
304,14,21.287879,-1.933066,0.000000,0.000000,43.961020,935.83687447658
304,15,22.732463,-1.727543,0.000000,0.000000,43.482856,988.4724151543279
304,16,26.311255,-1.381706,0.000000,0.000000,42.842718,1127.2456781910898
304,17,26.452451,-0.811290,0.000000,0.000000,43.714664,1156.360007441464
304,18,26.452451,-1.117546,0.000000,0.000000,48.767878,1290.029903168978
304,19,26.452451,-1.199203,0.000000,0.000000,48.021050,1270.27447209355
