,hour,dispatch,dual,offer,lmp,capacity
320_PV_1-1,1,37.483333,2000.000000,0.000000,0.000000,37.483333
314_PV_1-1,1,35.258333,2000.000000,0.000000,0.000000,35.258333
314_PV_2-1,1,31.475000,2000.000000,0.000000,0.000000,31.475000
313_PV_1-1,1,66.291667,2000.000000,0.000000,0.000000,66.291667
314_PV_3-1,1,66.391667,2000.000000,0.000000,0.000000,66.391667
314_PV_4-1,1,32.766667,2000.000000,0.000000,0.000000,32.766667
313_PV_2-1,1,66.016667,2000.000000,0.000000,0.000000,66.016667
310_PV_1-1,1,34.525000,2000.000000,0.000000,0.000000,34.525000
324_PV_1-1,1,0.000000,2000.000000,0.000000,0.000000,32.950000
312_PV_1-1,1,71.583333,636.798230,0.000000,0.000000,71.583333
310_PV_2-1,1,33.791667,2000.000000,0.000000,0.000000,33.791667
324_PV_2-1,1,0.000000,2000.000000,0.000000,0.000000,32.975000
324_PV_3-1,1,0.000000,2000.000000,0.000000,0.000000,36.600000
319_PV_1-1,1,135.983333,2000.000000,0.000000,0.000000,135.983333
308_RTPV_1-1,1,64.816667,2000.000000,0.000000,-0.000000,64.816667
313_RTPV_1-1,1,67.833333,2000.000000,0.000000,0.000000,67.833333
313_RTPV_2-1,1,39.625000,2000.000000,0.000000,0.000000,39.625000
313_RTPV_3-1,1,40.125000,2000.000000,0.000000,0.000000,40.125000
313_RTPV_4-1,1,40.908333,2000.000000,0.000000,0.000000,40.908333
313_RTPV_5-1,1,42.566667,2000.000000,0.000000,0.000000,42.566667
313_RTPV_6-1,1,41.891667,2000.000000,0.000000,0.000000,41.891667
313_RTPV_7-1,1,43.175000,2000.000000,0.000000,0.000000,43.175000
313_RTPV_8-1,1,41.650000,2000.000000,0.000000,0.000000,41.650000
313_RTPV_9-1,1,42.083333,2000.000000,0.000000,0.000000,42.083333
313_RTPV_10-1,1,39.891667,2000.000000,0.000000,0.000000,39.891667
313_RTPV_11-1,1,43.216667,2000.000000,0.000000,0.000000,43.216667
313_RTPV_12-1,1,16.491667,2000.000000,0.000000,0.000000,16.491667
320_RTPV_1-1,1,18.841667,2000.000000,0.000000,0.000000,18.841667
320_RTPV_2-1,1,16.866667,2000.000000,0.000000,0.000000,16.866667
320_RTPV_3-1,1,18.100000,2000.000000,0.000000,0.000000,18.100000
313_RTPV_13-1,1,21.091667,2000.000000,0.000000,0.000000,21.091667
320_RTPV_4-1,1,17.391667,2000.000000,0.000000,0.000000,17.391667
320_RTPV_5-1,1,18.758333,2000.000000,0.000000,0.000000,18.758333
320_RTPV_6-1,1,6.375000,2000.000000,0.000000,0.000000,6.375000
309_WIND_1-1,1,0.775000,2000.000000,0.000000,0.000000,0.775000
317_WIND_1-1,1,188.394613,2000.000000,0.000000,0.000000,496.191667
303_WIND_1-1,1,117.200000,2000.000000,0.000000,-0.000000,117.200000
320_PV_1-2,2,38.050000,2000.000000,0.000000,0.000000,38.050000
314_PV_1-2,2,35.266667,2000.000000,0.000000,0.000000,35.266667
314_PV_2-2,2,31.983333,2000.000000,0.000000,0.000000,31.983333
313_PV_1-2,2,63.658333,2000.000000,0.000000,0.000000,63.658333
314_PV_3-2,2,61.491667,2000.000000,0.000000,0.000000,61.491667
