,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.608201,-0.000000,0.000000
C1-2,48.145233,-0.000000,0.000000
C1-3,47.942057,-0.000000,0.000000
C1-4,47.847017,-0.000000,0.000000
C1-5,47.804592,-0.000000,0.000000
C1-6,47.978074,-0.000000,0.000000
C1-7,48.123474,-0.000000,0.000000
C1-8,49.453044,-0.000000,0.000000
C1-9,28.222636,-0.000000,0.000000
C1-10,49.690904,-0.000000,0.000000
C1-11,14.990780,-0.000000,0.000000
C1-12,9.653127,-0.000000,0.000000
C1-13,24.773688,-0.000000,0.000000
C1-14,12.912777,-0.000000,0.000000
C1-15,22.543223,-0.000000,0.000000
C1-16,43.673038,-0.000000,0.000000
C1-17,42.122888,-0.000000,0.000000
C1-18,51.615086,-0.000000,0.000000
C1-19,52.440760,-0.000000,0.000000
C1-20,52.539229,-0.000000,0.000000
C1-21,51.906362,-0.000000,0.000000
C1-22,51.157735,-0.000000,0.000000
C1-23,50.033975,-0.000000,0.000000
C1-24,49.005813,-0.000000,0.000000
C2-1,-130.724373,-0.000000,0.000000
C2-2,-129.105163,-0.000000,0.000000
C2-3,-128.385001,-0.000000,0.000000
C2-4,-127.973598,-0.000000,0.000000
C2-5,-127.816914,-0.000000,0.000000
C2-6,-128.236130,-0.000000,0.000000
C2-7,-128.964397,-0.000000,0.000000
C2-8,-119.166239,-0.000000,0.000000
C2-9,-69.778065,-0.000000,0.000000
C2-10,-127.530745,-0.000000,0.000000
C2-11,-60.121514,-0.000000,0.000000
C2-12,-44.188238,-0.000000,0.000000
C2-13,-74.915839,-0.000000,0.000000
C2-14,-49.037800,-0.000000,0.000000
C2-15,-69.040056,-0.000000,0.000000
C2-16,-114.059045,-0.000000,0.000000
C2-17,-112.467060,-0.000000,0.000000
C2-18,-132.017691,-0.000000,0.000000
C2-19,-135.952978,-0.000000,0.000000
C2-20,-134.113854,-0.000000,0.000000
C2-21,-136.361227,-0.000000,0.000000
C2-22,-136.002530,-0.000000,0.000000
C2-23,-134.359079,-0.000000,0.000000
C2-24,-131.699520,-0.000000,0.000000
C3-1,36.367359,-0.000000,0.000000
C3-2,37.226933,-0.000000,0.000000
C3-3,37.598275,-0.000000,0.000000
C3-4,37.726075,-0.000000,0.000000
C3-5,37.799731,-0.000000,0.000000
C3-6,37.362137,-0.000000,0.000000
C3-7,37.227509,-0.000000,0.000000
C3-8,25.860616,-0.000000,0.000000
C3-9,-4.466716,-0.000000,0.000000
C3-10,30.058126,-0.000000,0.000000
C3-11,-3.778473,-0.000000,0.000000
C3-12,-14.698675,-0.000000,0.000000
C3-13,0.891281,-0.000000,0.000000
C3-14,-12.869599,-0.000000,0.000000
C3-15,-2.412373,-0.000000,0.000000
C3-16,21.425551,-0.000000,0.000000
C3-17,19.829145,-0.000000,0.000000
C3-18,25.104281,-0.000000,0.000000
C3-19,24.216425,-0.000000,0.000000
C3-20,22.688829,-0.000000,0.000000
C3-21,26.611144,-0.000000,0.000000
C3-22,29.392723,-0.000000,0.000000
C3-23,32.887584,-0.000000,0.000000
C3-24,35.373238,-0.000000,0.000000
C4-1,-18.088013,-0.000000,0.000000
C4-2,-17.202778,-0.000000,0.000000
C4-3,-16.806687,-0.000000,0.000000
C4-4,-16.562160,-0.000000,0.000000
C4-5,-16.474438,-0.000000,0.000000
C4-6,-16.657079,-0.000000,0.000000
C4-7,-17.109770,-0.000000,0.000000
C4-8,-8.166739,-0.000000,0.000000
C4-9,-11.945497,-0.000000,0.000000
C4-10,-14.609396,-0.000000,0.000000
C4-11,-29.189568,-0.000000,0.000000
C4-12,-27.671262,-0.000000,0.000000
C4-13,-22.390938,-0.000000,0.000000
C4-14,-25.249215,-0.000000,0.000000
C4-15,-22.153335,-0.000000,0.000000
C4-16,-16.204392,-0.000000,0.000000
C4-17,-18.261462,-0.000000,0.000000
C4-18,-16.505742,-0.000000,0.000000
C4-19,-18.917206,-0.000000,0.000000
C4-20,-17.369758,-0.000000,0.000000
C4-21,-19.705659,-0.000000,0.000000
