,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.725260,-0.000000,0.000000
C1-2,43.986774,-0.000000,0.000000
C1-3,32.855895,-0.000000,0.000000
C1-4,25.373096,-0.000000,0.000000
C1-5,27.038829,-0.000000,0.000000
C1-6,23.800123,-0.000000,0.000000
C1-7,21.020615,-0.000000,0.000000
C1-8,16.392977,-0.000000,0.000000
C1-9,1.144683,-0.000000,0.000000
C1-10,-6.944434,-0.000000,0.000000
C1-11,5.842738,-0.000000,0.000000
C1-12,-26.571434,-0.000000,0.000000
C1-13,-27.351529,-0.000000,0.000000
C1-14,-14.657289,-0.000000,0.000000
C1-15,-8.516402,-0.000000,0.000000
C1-16,8.303088,-0.000000,0.000000
C1-17,45.437212,-0.000000,0.000000
C1-18,26.249382,-0.000000,0.000000
C1-19,53.192165,-0.000000,0.000000
C1-20,31.268510,-0.000000,0.000000
C1-21,25.034453,-0.000000,0.000000
C1-22,23.290672,-0.000000,0.000000
C1-23,50.604400,-0.000000,0.000000
C1-24,28.731470,-0.000000,0.000000
C2-1,-127.661732,-0.000000,0.000000
C2-2,-114.360266,-0.000000,0.000000
C2-3,-88.224897,-0.000000,0.000000
C2-4,-71.039078,-0.000000,0.000000
C2-5,-74.646563,-0.000000,0.000000
C2-6,-67.775054,-0.000000,0.000000
C2-7,-62.953210,-0.000000,0.000000
C2-8,-50.045349,-0.000000,0.000000
C2-9,-16.639254,-0.000000,0.000000
C2-10,0.355311,-0.000000,0.000000
C2-11,-26.382031,-0.000000,0.000000
C2-12,41.184866,-0.000000,0.000000
C2-13,37.116468,-0.000000,0.000000
C2-14,17.502961,-0.000000,0.000000
C2-15,4.729241,-0.000000,0.000000
C2-16,-31.086690,-0.000000,0.000000
C2-17,-112.787143,-0.000000,0.000000
C2-18,-76.000682,-0.000000,0.000000
C2-19,-133.176796,-0.000000,0.000000
C2-20,-86.665811,-0.000000,0.000000
C2-21,-73.293799,-0.000000,0.000000
C2-22,-68.838789,-0.000000,0.000000
C2-23,-125.047982,-0.000000,0.000000
C2-24,-78.568660,-0.000000,0.000000
C3-1,30.001009,-0.000000,0.000000
C3-2,24.829677,-0.000000,0.000000
C3-3,11.055178,-0.000000,0.000000
C3-4,1.898819,-0.000000,0.000000
C3-5,3.772239,-0.000000,0.000000
