,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,8.108108,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,8.108108,405.405405,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5000.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,8,7.615025,0.000000,0.000000,6.472771,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5000.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,6.472771,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,6.472771,5000.000000,5000.000000,5000.000000,5000.000000,15.000000,5000.000000,0.000000,5000.000000,750.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,6.472771,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,12,50.000000,0.000000,0.000000,48.972771,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,13,50.000000,0.000000,0.000000,91.472771,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,5000.000000,0.000000,4250.000000,0.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,91.472771,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,15,50.000000,0.000000,0.000000,133.972771,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,2941.176471,0.000000,5000.000000,0.000000,0.000000,0.000000,4647.058824,0.000000,0.000000,303,-0.000000,0.0
