,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,107.489689,0.000000,0.000000,91.366236,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,24.843113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,91.366236,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,24.843113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,3,300.000000,0.000000,0.000000,346.366236,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,24.843113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,346.366236,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,24.843113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,5,300.000000,0.000000,0.000000,601.366236,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,24.843113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,6,230.087541,0.000000,0.000000,796.940646,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,24.843113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,7,86.069519,0.000000,0.000000,870.099737,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,24.843113,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,8,35.176780,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,3.726467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-742.81561067988
313_STORAGE_1,9,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,3.726467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,24.843113,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,-0.046767,3.318226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,24.843113,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,-0.005183,0.000000,-1.252452,0.623685,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,23.334982,0.0
313_STORAGE_1,12,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.511480,3.409869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,13,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,2.726697,0.000000,3.409869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,-2.492686,0.000000,0.683173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,3.175859,3.886248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,25.908321,0.0
313_STORAGE_1,16,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,2.903356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,17,0.000000,0.000000,0.000000,900.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.027211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,18,0.000000,194.625227,194.625227,705.374773,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,4.663978,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,5143.790801055443
313_STORAGE_1,19,0.000000,300.000000,300.000000,405.374773,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,7928.7627
313_STORAGE_1,20,0.000000,300.000000,300.000000,105.374773,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,2.821689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,7928.7627
313_STORAGE_1,21,0.000000,105.374773,105.374773,-0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.097180,-0.069970,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.499179,2792.3449718113675
313_STORAGE_1,22,0.000000,0.000000,0.000000,-0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,7.726193,0.000000,4.659176,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,23,0.000000,-0.000000,-0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,1.050236,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,23.334982,-0.0
313_STORAGE_1,24,0.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,22.732463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
