,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,20.260919,0.000000,0.000000
C1-2,18.348882,0.000000,0.000000
C1-3,17.433779,0.000000,0.000000
C1-4,22.717433,0.000000,0.000000
C1-5,18.146624,0.000000,0.000000
C1-6,22.278429,0.000000,0.000000
C1-7,-3.390129,0.000000,0.000000
C1-8,29.110960,0.000000,0.000000
C1-9,29.174084,0.000000,0.000000
C1-10,43.872593,0.000000,0.000000
C1-11,54.166234,0.000000,0.000000
C1-12,54.120803,0.000000,0.000000
C1-13,53.998406,0.000000,0.000000
C1-14,53.846262,0.000000,0.000000
C1-15,53.369737,0.000000,0.000000
C1-16,52.878852,0.000000,0.000000
C1-17,52.993904,0.000000,0.000000
C1-18,54.901325,0.000000,0.000000
C1-19,54.870060,0.000000,0.000000
C1-20,54.802088,0.000000,0.000000
C1-21,54.158587,0.000000,0.000000
C1-22,53.136672,0.000000,0.000000
C1-23,51.655815,0.000000,0.000000
C1-24,50.386399,0.000000,0.000000
C2-1,-59.554480,0.000000,0.000000
C2-2,-53.709336,0.000000,0.000000
C2-3,-52.309278,0.000000,0.000000
C2-4,-63.222559,0.000000,0.000000
C2-5,-51.049131,0.000000,0.000000
C2-6,-60.704707,0.000000,0.000000
C2-7,-6.343576,0.000000,0.000000
C2-8,-75.922248,0.000000,0.000000
C2-9,-82.880539,0.000000,0.000000
C2-10,-109.944337,0.000000,0.000000
C2-11,-135.148494,0.000000,0.000000
C2-12,-136.571925,0.000000,0.000000
C2-13,-136.374935,0.000000,0.000000
C2-14,-136.989249,0.000000,0.000000
C2-15,-138.322572,0.000000,0.000000
C2-16,-139.279238,0.000000,0.000000
C2-17,-139.311422,0.000000,0.000000
C2-18,-142.640021,0.000000,0.000000
C2-19,-148.444191,0.000000,0.000000
C2-20,-143.640174,0.000000,0.000000
C2-21,-142.012799,0.000000,0.000000
C2-22,-138.681658,0.000000,0.000000
C2-23,-135.167363,0.000000,0.000000
C2-24,-130.974261,0.000000,0.000000
C3-1,-7.223997,0.000000,0.000000
C3-2,-9.670865,0.000000,0.000000
C3-3,-9.011246,0.000000,0.000000
C3-4,-2.988705,0.000000,0.000000
C3-5,-11.155070,0.000000,0.000000
C3-6,-8.296278,0.000000,0.000000
C3-7,-43.121721,0.000000,0.000000
C3-8,-10.349104,0.000000,0.000000
C3-9,-6.580163,0.000000,0.000000
C3-10,3.598476,0.000000,0.000000
C3-11,16.800672,0.000000,0.000000
C3-12,17.859537,0.000000,0.000000
C3-13,18.229107,0.000000,0.000000
C3-14,19.217647,0.000000,0.000000
C3-15,21.949988,0.000000,0.000000
C3-16,24.507947,0.000000,0.000000
C3-17,24.066331,0.000000,0.000000
C3-18,18.466314,0.000000,0.000000
C3-19,22.166349,0.000000,0.000000
C3-20,19.480288,0.000000,0.000000
C3-21,21.058894,0.000000,0.000000
C3-22,23.105885,0.000000,0.000000
C3-23,26.880735,0.000000,0.000000
C3-24,29.389507,0.000000,0.000000
C4-1,-18.944456,0.000000,0.000000
C4-2,-17.842883,0.000000,0.000000
C4-3,-18.145882,0.000000,0.000000
C4-4,-16.305688,0.000000,0.000000
C4-5,-16.093893,0.000000,0.000000
C4-6,-16.281570,0.000000,0.000000
C4-7,-25.524975,0.000000,0.000000
C4-8,-17.824308,0.000000,0.000000
C4-9,-23.377004,0.000000,0.000000
C4-10,-16.953066,0.000000,0.000000
C4-11,-16.779771,0.000000,0.000000
C4-12,-17.950731,0.000000,0.000000
C4-13,-17.900395,0.000000,0.000000
C4-14,-18.520809,0.000000,0.000000
C4-15,-19.994384,0.000000,0.000000
C4-16,-21.181012,0.000000,0.000000
C4-17,-21.106716,0.000000,0.000000
C4-18,-22.096815,0.000000,0.000000
C4-19,-26.737833,0.000000,0.000000
