,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,5000.000000,5000,5000.000000,5000,9.819820,2945.945946,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,2,100.277182,0.000000,0.000000,85.235605,5000.000000,5000,-450.000000,5000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,85.235605,5000.000000,5000,-450.000000,5000,0.000000,0.000000,2945.945946,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,85.235605,5000.000000,5000,5000.000000,5000,9.819820,2945.945946,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,5,180.017083,0.000000,0.000000,238.250126,5000.000000,5000,-450.000000,5000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,6,56.050111,0.000000,0.000000,285.892720,0.000000,5000,-4700.000000,5000,0.000000,0.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,285.892720,5000.000000,5000,-450.000000,5000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,0.0
313_STORAGE_1,8,9.486270,0.000000,0.000000,293.956049,5000.000000,5000,-4700.000000,5000,0.000000,0.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,9,203.797501,0.000000,0.000000,467.183925,5000.000000,5000,-450.000000,5000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,10,238.617621,0.000000,0.000000,670.008903,5000.000000,5000,-450.000000,5000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,11,173.078077,0.000000,0.000000,817.125269,5000.000000,5000,-450.000000,5000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,12,74.388548,0.000000,0.000000,880.355534,5000.000000,5000,-450.000000,5000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,13,23.111136,0.000000,0.000000,900.000000,5000.000000,5000,-450.000000,5000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,900.000000,5000.000000,5000,-450.000000,5000,0.000000,2054.054054,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,900.000000,5000.000000,5000,-2364.996799,5000,0.000000,0.000000,5000.000000,5000.000000,2223.104907,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,16,0.000000,12.023400,12.023400,887.976600,5000.000000,5000,5000.000000,5000,9.819820,2945.945946,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,317.7689514906
313_STORAGE_1,17,0.000000,300.000000,300.000000,587.976600,5000.000000,5000,-450.000000,5000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,7928.7627
313_STORAGE_1,18,0.000000,300.000000,300.000000,287.976600,5000.000000,5000,-450.000000,5000,0.000000,0.000000,2945.945946,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,7928.7627
313_STORAGE_1,19,0.000000,287.976600,287.976600,0.000000,5000.000000,5000,5000.000000,5000,9.819820,1407.356254,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,7610.993748509401
313_STORAGE_1,20,0.000000,0.000000,0.000000,0.000000,5000.000000,5000,-680.788454,5000,0.000000,1369.538839,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,21,0.000000,0.000000,0.000000,0.000000,5000.000000,5000,-475.357628,5000,0.000000,169.050853,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,25.964511,0.0
313_STORAGE_1,22,0.000000,0.000000,0.000000,0.000000,5000.000000,5000,-450.000000,5000,0.000000,0.000000,169.050853,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,23,0.000000,0.000000,0.000000,0.000000,5000.000000,5000,-475.357628,5000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,0.0
313_STORAGE_1,24,0.000000,0.000000,0.000000,0.000000,5000.000000,5000,-4556.306775,5000,0.000000,0.000000,1830.949147,5000.000000,4830.949147,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
