,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,300.000000,0.000000,0.000000,255.000000,16.247766,31.093187,16.247766,26.429209,0.000000,0.000000,0.000000,0.000000,15.726878,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,26.429209,-7928.7627
313_STORAGE_1,2,0.000000,0.000000,0.000000,255.000000,16.247766,26.429209,16.247766,22.464828,0.000000,0.000000,0.000000,0.000000,15.726878,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,3,0.000000,118.372414,118.372414,136.627586,0.520887,26.429209,0.000000,22.464828,0.000000,0.000000,0.000000,16.247766,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,26.429209,3128.489269440526
313_STORAGE_1,4,0.000000,47.130465,47.130465,89.497121,0.520887,31.061174,0.000000,26.401998,0.000000,0.000000,0.000000,16.247766,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,26.429209,1245.620909752185
313_STORAGE_1,5,0.000000,7.205298,7.205298,82.291824,0.493677,26.429209,0.000000,22.464828,0.000000,0.000000,0.000000,16.220555,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,26.401998,190.234263385404
313_STORAGE_1,6,145.904291,0.000000,0.000000,206.310471,16.247766,26.429209,16.247766,22.464828,0.000000,0.000000,0.000000,0.000000,15.726878,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,26.429209,-3856.135000835819
313_STORAGE_1,7,0.000000,206.310471,206.310471,0.000000,0.000000,22.211575,0.000000,18.879839,0.000000,0.000000,3.175859,15.726878,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,25.908321,5345.157908329192
313_STORAGE_1,8,0.000000,-0.000000,-0.000000,0.000000,0.000000,15.731579,0.000000,13.371842,0.000000,0.000000,7.000883,15.250499,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,22.732463,-0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,1.801426,14.200367,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,15.731579,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,12,300.000000,0.000000,0.000000,255.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,13,0.000000,0.000000,0.000000,255.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,14,300.000000,0.000000,0.000000,510.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,15,12.919238,0.000000,0.000000,520.981353,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,0.000000,13.930153,0.000000,0.000000,303,0.000000,0.0
