,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,4.684695,0.000000,0.000000
C1-2,22.029279,0.000000,0.000000
C1-3,26.697029,0.000000,0.000000
C1-4,21.182864,0.000000,0.000000
C1-5,25.699275,0.000000,0.000000
C1-6,10.353737,0.000000,0.000000
C1-7,33.501613,0.000000,0.000000
C1-8,15.455109,0.000000,0.000000
C1-9,13.861013,0.000000,0.000000
C1-10,6.692502,0.000000,0.000000
C1-11,3.979460,0.000000,0.000000
C1-12,-18.642375,0.000000,0.000000
C1-13,4.451548,0.000000,0.000000
C1-14,12.431418,0.000000,0.000000
C1-15,48.937199,0.000000,0.000000
C1-16,45.484347,0.000000,0.000000
C1-17,51.021405,0.000000,0.000000
C1-18,52.422439,0.000000,0.000000
C1-19,52.211048,0.000000,0.000000
C1-20,51.625198,0.000000,0.000000
C1-21,51.194476,0.000000,0.000000
C1-22,47.335228,0.000000,0.000000
C1-23,40.045629,0.000000,0.000000
C1-24,39.581486,0.000000,0.000000
C2-1,-28.933727,0.000000,0.000000
C2-2,-64.694623,0.000000,0.000000
C2-3,-73.316250,0.000000,0.000000
C2-4,-63.497822,0.000000,0.000000
C2-5,-72.397588,0.000000,0.000000
C2-6,-39.104295,0.000000,0.000000
C2-7,-87.593794,0.000000,0.000000
C2-8,-46.435720,0.000000,0.000000
C2-9,-40.899596,0.000000,0.000000
C2-10,-26.310973,0.000000,0.000000
C2-11,-21.294311,0.000000,0.000000
C2-12,25.529379,0.000000,0.000000
C2-13,-25.875815,0.000000,0.000000
C2-14,-46.642325,0.000000,0.000000
C2-15,-121.637060,0.000000,0.000000
C2-16,-116.317789,0.000000,0.000000
C2-17,-128.799066,0.000000,0.000000
C2-18,-133.961869,0.000000,0.000000
C2-19,-140.021515,0.000000,0.000000
C2-20,-141.010925,0.000000,0.000000
C2-21,-139.983971,0.000000,0.000000
C2-22,-131.400714,0.000000,0.000000
C2-23,-114.963936,0.000000,0.000000
C2-24,-112.946147,0.000000,0.000000
C3-1,-21.790197,0.000000,0.000000
C3-2,-1.597231,0.000000,0.000000
C3-3,3.791635,0.000000,0.000000
C3-4,0.375698,0.000000,0.000000
C3-5,4.912802,0.000000,0.000000
C3-6,-13.974529,0.000000,0.000000
C3-7,9.932105,0.000000,0.000000
C3-8,-14.016541,0.000000,0.000000
C3-9,-21.153128,0.000000,0.000000
C3-10,-31.819048,0.000000,0.000000
C3-11,-36.155570,0.000000,0.000000
C3-12,-61.228668,0.000000,0.000000
C3-13,-32.866148,0.000000,0.000000
C3-14,-19.174098,0.000000,0.000000
C3-15,20.237349,0.000000,0.000000
C3-16,19.208006,0.000000,0.000000
C3-17,25.503064,0.000000,0.000000
C3-18,23.063631,0.000000,0.000000
C3-19,27.643432,0.000000,0.000000
C3-20,30.602431,0.000000,0.000000
C3-21,31.697436,0.000000,0.000000
C3-22,29.399241,0.000000,0.000000
C3-23,23.600370,0.000000,0.000000
C3-24,25.036284,0.000000,0.000000
