timepoint,Storage_Index,discharge_offer,charge_offer,soc,charge,discharge
1,313_STORAGE_1,15.731579,15.731579,17.142446,20.167583999999998,0.0
2,313_STORAGE_1,15.731579,15.731579,32.713105999999996,18.318423000000003,0.0
3,313_STORAGE_1,0.0,0.0,112.285661,93.61477099999999,0.0
4,313_STORAGE_1,15.731579,15.731579,219.241619,125.83053899999999,0.0
5,313_STORAGE_1,0.0,0.0,219.241619,0.0,0.0
6,313_STORAGE_1,3.175859,0.0,219.241619,0.0,0.0
7,313_STORAGE_1,0.6025189999999999,0.0,219.241619,0.0,0.0
8,313_STORAGE_1,15.731579,15.731579,293.346946,87.182738,0.0
9,313_STORAGE_1,0.0,0.0,446.19948,179.826511,0.0
10,313_STORAGE_1,15.731579,15.731579,696.3417969999999,294.285079,0.0
11,313_STORAGE_1,21.116646,21.116646,753.708205,67.489892,0.0
12,313_STORAGE_1,0.0,0.0,753.708205,0.0,0.0
13,313_STORAGE_1,15.731579,15.731579,781.266338,32.421333000000004,0.0
14,313_STORAGE_1,15.731579,15.731579,900.0,139.68666100000002,0.0
15,313_STORAGE_1,0.0,0.0,900.0,0.0,0.0
16,313_STORAGE_1,0.0,0.0,900.0,0.0,0.0
17,313_STORAGE_1,0.32652600000000004,0.0,854.78316,0.0,45.216840000000005
18,313_STORAGE_1,0.84549,0.0,630.689878,0.0,224.093282
19,313_STORAGE_1,1.465482,0.0,481.088255,0.0,149.601623
20,313_STORAGE_1,1.465482,0.0,399.576983,0.0,81.51127199999999
21,313_STORAGE_1,0.8474139999999999,0.0,312.63381,0.0,86.943173
22,313_STORAGE_1,0.32652600000000004,0.0,83.581538,0.0,229.05227200000002
23,313_STORAGE_1,0.415933,0.0,40.456514,0.0,43.125023999999996
24,313_STORAGE_1,0.0,0.0,-0.0,0.0,40.456514
