,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,Commitment,Startup,Shutdown,MaxDual,MinDual,DMaxDual,DMinDual,RampMaxDual,RampMinDual,StartShutDual,Zone,LMP,MarginalCost,Profit,PreviousOffer,AvailableSegmentCapacity
301_CT_1-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,1472.397635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,87.255791,-0.0,87.255791,8.000000
301_CT_1-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,1472.397635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,87.255791,-0.0,87.255791,4.000000
301_CT_1-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,1459.957656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,99.695770,-0.0,99.695770,4.000000
301_CT_1-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,1454.286185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,105.367241,-0.0,105.367241,4.000000
301_CT_2-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,1472.397635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,87.255791,-0.0,87.255791,8.000000
301_CT_2-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,1472.397635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,87.255791,-0.0,87.255791,4.000000
301_CT_2-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,1459.957656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,99.695770,-0.0,99.695770,4.000000
301_CT_2-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,1454.286185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,105.367241,-0.0,105.367241,4.000000
301_CT_3-0,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,1531.183427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,28.469999,-0.0,28.469999,22.000000
301_CT_3-1,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,1531.183427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,28.469999,-0.0,28.469999,11.000000
301_CT_3-2,1,29.286315,0.000000,0.000000,1.000000,0.000000,0.000000,1530.367111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,29.286315,-0.0,29.286315,11.000000
301_CT_3-3,1,43.742887,0.000000,0.000000,1.000000,0.000000,0.000000,1515.910539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,43.742887,-0.0,43.742887,11.000000
301_CT_4-0,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,1531.183427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,28.469999,-0.0,28.469999,22.000000
301_CT_4-1,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,1531.183427,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,28.469999,-0.0,28.469999,11.000000
301_CT_4-2,1,29.286315,0.000000,0.000000,1.000000,0.000000,0.000000,1530.367111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,29.286315,-0.0,29.286315,11.000000
301_CT_4-3,1,43.742887,0.000000,0.000000,1.000000,0.000000,0.000000,1515.910539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,301,22.732463,43.742887,-0.0,43.742887,11.000000
302_CT_1-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,600.136973,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,87.255791,-0.0,87.255791,8.000000
302_CT_1-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,600.136973,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,87.255791,-0.0,87.255791,4.000000
302_CT_1-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,612.576952,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,99.695770,-0.0,99.695770,4.000000
302_CT_1-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,618.248423,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,105.367241,-0.0,105.367241,4.000000
302_CT_2-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,600.136973,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,87.255791,-0.0,87.255791,8.000000
302_CT_2-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,600.136973,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,87.255791,-0.0,87.255791,4.000000
302_CT_2-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,612.576952,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,99.695770,-0.0,99.695770,4.000000
302_CT_2-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,618.248423,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,105.367241,-0.0,105.367241,4.000000
302_CT_3-0,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,546.672785,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,33.791603,-0.0,33.791603,22.000000
302_CT_3-1,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,546.672785,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,33.791603,-0.0,33.791603,11.000000
302_CT_3-2,1,38.382410,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,551.263592,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,38.382410,-0.0,38.382410,11.000000
302_CT_3-3,1,38.635080,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,551.516261,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,38.635080,-0.0,38.635080,11.000000
302_CT_4-0,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,546.672785,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,33.791603,-0.0,33.791603,22.000000
302_CT_4-1,1,33.791603,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,546.672785,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,33.791603,-0.0,33.791603,11.000000
302_CT_4-2,1,38.382410,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,551.263592,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,38.382410,-0.0,38.382410,11.000000
302_CT_4-3,1,38.635080,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,551.516261,0.000000,0.000000,0.000000,0.000000,0.000000,302,22.732463,38.635080,-0.0,38.635080,11.000000
307_CT_1-0,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,1972.105309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,27.894691,-0.0,27.894691,22.000000
307_CT_1-1,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,1972.105309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,27.894691,-0.0,27.894691,11.000000
307_CT_1-2,1,29.220233,0.000000,0.000000,1.000000,0.000000,0.000000,1970.779767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,29.220233,-0.0,29.220233,11.000000
307_CT_1-3,1,35.474770,0.000000,0.000000,1.000000,0.000000,0.000000,1964.525230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,35.474770,-0.0,35.474770,11.000000
307_CT_2-0,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,1972.105309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,27.894691,-0.0,27.894691,22.000000
307_CT_2-1,1,27.894691,0.000000,0.000000,1.000000,0.000000,0.000000,1972.105309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,27.894691,-0.0,27.894691,11.000000
307_CT_2-2,1,29.220233,0.000000,0.000000,1.000000,0.000000,0.000000,1970.779767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,29.220233,-0.0,29.220233,11.000000
307_CT_2-3,1,35.474770,0.000000,0.000000,1.000000,0.000000,0.000000,1964.525230,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,307,22.732463,35.474770,-0.0,35.474770,11.000000
313_CC_1-0,1,15.731579,170.000000,36.823878,1.000000,0.000000,0.000000,0.000000,1395.766760,0.000000,0.000000,0.000000,0.000000,0.000000,313,22.732463,15.731579,1190.1502799999998,15.731579,170.000000
313_CC_1-1,1,15.731579,61.666667,13.357681,1.000000,0.000000,0.000000,0.000000,1395.766760,0.000000,0.000000,0.000000,0.000000,0.000000,313,22.732463,15.731579,431.72118233362795,15.731579,61.666667
313_CC_1-2,1,26.755735,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1406.790916,0.000000,0.000000,0.000000,0.000000,0.000000,313,22.732463,26.755735,-0.0,26.755735,61.666667
313_CC_1-3,1,33.752731,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1413.787912,0.000000,0.000000,0.000000,0.000000,0.000000,313,22.732463,33.752731,-0.0,33.752731,61.666667
315_STEAM_1-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,5.000000
315_STEAM_1-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,2.333333
315_STEAM_1-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2059.155051,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,100.399529,-0.0,100.399529,2.333333
315_STEAM_1-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2082.855177,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,124.099655,-0.0,124.099655,2.333333
315_STEAM_2-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,5.000000
315_STEAM_2-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,2.333333
315_STEAM_2-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2059.155051,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,100.399529,-0.0,100.399529,2.333333
315_STEAM_2-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2082.855177,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,124.099655,-0.0,124.099655,2.333333
315_STEAM_3-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,5.000000
315_STEAM_3-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,2.333333
315_STEAM_3-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2059.155051,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,100.399529,-0.0,100.399529,2.333333
315_STEAM_3-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2082.855177,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,124.099655,-0.0,124.099655,2.333333
315_STEAM_4-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,5.000000
315_STEAM_4-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,2.333333
315_STEAM_4-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2059.155051,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,100.399529,-0.0,100.399529,2.333333
315_STEAM_4-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2082.855177,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,124.099655,-0.0,124.099655,2.333333
315_STEAM_5-0,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,5.000000
315_STEAM_5-1,1,75.436777,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2034.192298,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,75.436777,-0.0,75.436777,2.333333
315_STEAM_5-2,1,100.399529,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2059.155051,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,100.399529,-0.0,100.399529,2.333333
315_STEAM_5-3,1,124.099655,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,2082.855177,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,124.099655,-0.0,124.099655,2.333333
315_CT_6-0,1,26.401998,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1985.157520,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,26.401998,-0.0,26.401998,22.000000
315_CT_6-1,1,26.401998,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1985.157520,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,26.401998,-0.0,26.401998,11.000000
315_CT_6-2,1,26.895675,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1985.651197,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,26.895675,-0.0,26.895675,11.000000
315_CT_6-3,1,31.855768,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1990.611289,0.000000,0.000000,0.000000,0.000000,0.000000,315,22.732463,31.855768,-0.0,31.855768,11.000000
