,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,15.731579,5000,15.731579,5000,2.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,15.731579,5000,15.731579,5000,2.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,2.000000,1632.490164,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,23.334982,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,0.000000,15.731579,5000,15.731579,5000,1.591877,0.000000,1632.490164,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,2.000000,0.000000,21.172393,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,6,115.967848,0.000000,0.000000,98.572671,3.175859,5000,0.000000,5000,2.000000,3140.354240,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,7,256.160470,0.000000,0.000000,316.309070,0.602519,5000,0.000000,5000,1.219200,0.000000,16.681426,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,8,0.000000,0.000000,0.000000,316.309070,15.731579,5000,15.731579,5000,1.224375,17.007112,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,9,9.429711,24.324324,24.324324,300.000000,0.000000,5000,0.000000,5000,1.220123,0.000000,17.007112,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,300.000000,15.731579,5000,15.731579,5000,1.224375,0.000000,5.821694,0.000000,5000.000000,0.000000,0.000000,0.000000,3850.390200,0.000000,0.000000,303,-0.000000,0.0
