,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,17.311798,-0.000000,0.000000
C1-2,19.049685,-0.000000,0.000000
C1-3,22.633402,-0.000000,0.000000
C1-4,23.192550,-0.000000,0.000000
C1-5,20.266042,-0.000000,0.000000
C1-6,9.277430,-0.000000,0.000000
C1-7,-2.822610,-0.000000,0.000000
C1-8,11.194035,-0.000000,0.000000
C1-9,13.461871,-0.000000,0.000000
C1-10,18.284874,-0.000000,0.000000
C1-11,22.982679,-0.000000,0.000000
C1-12,47.804233,-0.000000,0.000000
C1-13,54.437010,-0.000000,0.000000
C1-14,55.610273,-0.000000,0.000000
C1-15,55.346868,-0.000000,0.000000
C1-16,54.520043,-0.000000,0.000000
C1-17,53.568835,-0.000000,0.000000
C1-18,52.374492,-0.000000,0.000000
C1-19,51.178154,-0.000000,0.000000
C1-20,50.404574,-0.000000,0.000000
C1-21,41.187838,-0.000000,0.000000
C1-22,46.244895,-0.000000,0.000000
C1-23,46.840489,-0.000000,0.000000
C1-24,45.334232,-0.000000,0.000000
C2-1,-53.864080,-0.000000,0.000000
C2-2,-57.110479,-0.000000,0.000000
C2-3,-66.032859,-0.000000,0.000000
C2-4,-66.988141,-0.000000,0.000000
C2-5,-61.389806,-0.000000,0.000000
C2-6,-35.657736,-0.000000,0.000000
C2-7,-11.080417,-0.000000,0.000000
C2-8,-47.075077,-0.000000,0.000000
C2-9,-52.059737,-0.000000,0.000000
C2-10,-57.098678,-0.000000,0.000000
C2-11,-66.808658,-0.000000,0.000000
C2-12,-119.175496,-0.000000,0.000000
C2-13,-136.148517,-0.000000,0.000000
C2-14,-142.072789,-0.000000,0.000000
C2-15,-141.355031,-0.000000,0.000000
C2-16,-139.477637,-0.000000,0.000000
C2-17,-139.057875,-0.000000,0.000000
C2-18,-137.411396,-0.000000,0.000000
C2-19,-132.592940,-0.000000,0.000000
C2-20,-125.968247,-0.000000,0.000000
C2-21,-110.597174,-0.000000,0.000000
C2-22,-116.586171,-0.000000,0.000000
C2-23,-118.148242,-0.000000,0.000000
C2-24,-115.162838,-0.000000,0.000000
C3-1,-6.596193,-0.000000,0.000000
C3-2,-7.648392,-0.000000,0.000000
C3-3,-7.323569,-0.000000,0.000000
C3-4,-9.966599,-0.000000,0.000000
C3-5,-16.732166,-0.000000,0.000000
C3-6,-34.568577,-0.000000,0.000000
C3-7,-49.644787,-0.000000,0.000000
C3-8,-29.448936,-0.000000,0.000000
C3-9,-27.495088,-0.000000,0.000000
C3-10,-28.418659,-0.000000,0.000000
C3-11,-23.354109,-0.000000,0.000000
C3-12,5.598221,-0.000000,0.000000
C3-13,16.330569,-0.000000,0.000000
C3-14,15.273621,-0.000000,0.000000
C3-15,15.888000,-0.000000,0.000000
C3-16,18.047874,-0.000000,0.000000
C3-17,21.604328,-0.000000,0.000000
C3-18,25.380409,-0.000000,0.000000
C3-19,27.210948,-0.000000,0.000000
C3-20,26.233538,-0.000000,0.000000
C3-21,23.442523,-0.000000,0.000000
C3-22,26.176444,-0.000000,0.000000
C3-23,28.044620,-0.000000,0.000000
C3-24,27.175570,-0.000000,0.000000
C4-1,-19.207602,-0.000000,0.000000
C4-2,-19.145888,-0.000000,0.000000
C4-3,-20.464947,-0.000000,0.000000
C4-4,-21.024980,-0.000000,0.000000
C4-5,-23.470792,-0.000000,0.000000
C4-6,-25.880786,-0.000000,0.000000
C4-7,-30.870385,-0.000000,0.000000
C4-8,-31.622151,-0.000000,0.000000
C4-9,-31.307305,-0.000000,0.000000
C4-10,-26.694741,-0.000000,0.000000
C4-11,-25.149124,-0.000000,0.000000
C4-12,-17.382291,-0.000000,0.000000
C4-13,-17.339645,-0.000000,0.000000
C4-14,-21.030452,-0.000000,0.000000
C4-15,-20.688558,-0.000000,0.000000
C4-16,-19.913961,-0.000000,0.000000
C4-17,-20.406052,-0.000000,0.000000
C4-18,-20.134068,-0.000000,0.000000
C4-19,-17.342334,-0.000000,0.000000
C4-20,-12.747771,-0.000000,0.000000
C4-21,-17.293194,-0.000000,0.000000
C4-22,-12.072229,-0.000000,0.000000
C4-23,-11.843683,-0.000000,0.000000
C4-24,-12.245352,-0.000000,0.000000
C5-1,-2.234322,-0.000000,0.000000
C5-2,-2.858047,-0.000000,0.000000
C5-3,-2.458443,-0.000000,0.000000
C5-4,-4.068881,-0.000000,0.000000
C5-5,-8.226362,-0.000000,0.000000
C5-6,-19.582911,-0.000000,0.000000
C5-7,-29.027576,-0.000000,0.000000
C5-8,-15.859812,-0.000000,0.000000
C5-9,-14.592088,-0.000000,0.000000
C5-10,-15.405097,-0.000000,0.000000
C5-11,-12.205869,-0.000000,0.000000
C5-12,6.112588,-0.000000,0.000000
C5-13,13.054887,-0.000000,0.000000
C5-14,12.702549,-0.000000,0.000000
C5-15,13.057130,-0.000000,0.000000
C5-16,14.339163,-0.000000,0.000000
C5-17,16.596951,-0.000000,0.000000
C5-18,18.928189,-0.000000,0.000000
C5-19,19.837412,-0.000000,0.000000
C5-20,18.846575,-0.000000,0.000000
C5-21,17.196023,-0.000000,0.000000
C5-22,18.650562,-0.000000,0.000000
C5-23,19.827469,-0.000000,0.000000
C5-24,19.270839,-0.000000,0.000000
C6-1,34.420181,-0.000000,0.000000
C6-2,38.967258,-0.000000,0.000000
C6-3,49.646327,-0.000000,0.000000
C6-4,48.498902,-0.000000,0.000000
C6-5,31.028992,-0.000000,0.000000
C6-6,-22.419896,-0.000000,0.000000
C6-7,-78.663679,-0.000000,0.000000
C6-8,-15.718698,-0.000000,0.000000
C6-9,-6.459258,-0.000000,0.000000
C6-10,11.314189,-0.000000,0.000000
C6-11,32.115408,-0.000000,0.000000
C6-12,143.807071,-0.000000,0.000000
C6-13,175.000000,-0.000000,-65.041009
C6-14,175.000000,-0.000000,-68.375744
C6-15,175.000000,-0.000000,-68.375744
C6-16,175.000000,-0.000000,-65.041009
C6-17,175.000000,-0.000000,-62.388963
C6-18,175.000000,-0.000000,-36.682861
C6-19,175.000000,-0.000000,-36.682861
C6-20,175.000000,-0.000000,-36.682861
C6-21,139.851636,-0.000000,0.000000
C6-22,162.279601,-0.000000,0.000000
C6-23,166.102995,-0.000000,0.000000
C6-24,160.217966,-0.000000,0.000000
C7-1,-132.648384,-0.000000,0.000000
C7-2,-150.151379,-0.000000,0.000000
C7-3,-171.417563,-0.000000,0.000000
