,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,2.000000,0.000000,450.909802,1177.636470,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,978.038145,5000,978.038145,5000,2.000000,0.000000,5000.000000,1110.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,2.000000,5000.000000,0.000000,360.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,23.334982,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,0.000000,640.240513,5000,640.240513,5000,2.000000,0.000000,108.694099,1110.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,0.000000,436.577950,5000,436.577950,5000,2.000000,0.000000,5000.000000,1093.695885,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,0.000000,108.694099,5000,108.694099,5000,2.000000,5000.000000,0.000000,343.695885,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,7,151.315355,0.000000,0.000000,128.618052,0.000000,5000,0.000000,5000,2.000000,2108.694099,0.000000,1093.695885,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,8,211.003068,88.996932,88.996932,218.973728,0.000000,5000,0.000000,5000,2.000000,0.000000,0.000000,1410.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,9,49.922054,0.000000,0.000000,261.407474,0.000000,5000,0.000000,5000,2.000000,0.000000,0.000000,1410.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,10,0.000000,157.506664,157.506664,103.900810,0.000000,5000,0.000000,5000,2.000000,0.000000,0.000000,1410.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,11,75.742120,0.000000,0.000000,168.281612,0.000000,5000,0.000000,5000,2.000000,0.000000,2499.950720,1410.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,12,0.000000,42.152493,42.152493,126.129119,0.000000,5000,0.000000,5000,2.000000,950.860522,0.000000,1035.007392,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,13,0.000000,126.129119,126.129119,0.000000,0.000000,5000,0.000000,5000,2.000000,1549.090198,0.000000,1177.636470,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,2.000000,0.000000,2905.684838,1410.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,0.000000,359.682502,5000,359.682502,5000,2.000000,0.000000,5000.000000,974.147274,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,16,181.076952,0.000000,0.000000,153.915409,905.684838,5000,905.684838,5000,2.000000,5000.000000,0.000000,224.147274,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,17,138.623121,0.000000,0.000000,271.745063,0.000000,5000,0.000000,5000,2.000000,1438.766830,0.000000,974.147274,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,-0.000000,0.0
313_STORAGE_1,18,0.000000,0.000000,0.000000,271.745063,0.000000,5000,0.000000,5000,2.000000,0.000000,234.431724,1189.962299,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,19,0.000000,0.000000,0.000000,271.745063,0.000000,5000,0.000000,5000,2.000000,1701.349732,0.000000,1154.797540,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,20,0.000000,0.000000,0.000000,271.745063,0.000000,5000,0.000000,5000,2.000000,0.000000,0.000000,1410.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,21,0.000000,271.745063,271.745063,0.000000,0.000000,5000,0.000000,5000,2.000000,0.000000,2213.765481,1410.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,22,251.140859,0.000000,0.000000,213.469730,0.000000,5000,0.000000,5000,2.000000,813.765481,0.000000,1077.935178,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,23,0.000000,0.000000,0.000000,213.469730,1400.000000,5000,1400.000000,5000,2.000000,0.000000,5000.000000,1200.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,24,0.000000,213.469730,213.469730,0.000000,842.327278,5000,842.327278,5000,2.000000,5000.000000,0.000000,5000.000000,450.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,303,0.000000,0.0
