,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,17.311798,-0.000000,0.000000
C1-2,19.049685,-0.000000,0.000000
C1-3,22.633402,-0.000000,0.000000
C1-4,23.192550,-0.000000,0.000000
C1-5,20.266042,-0.000000,0.000000
C1-6,16.231753,-0.000000,0.000000
C1-7,4.683487,-0.000000,0.000000
C1-8,10.054003,-0.000000,0.000000
C1-9,6.316000,-0.000000,0.000000
C1-10,32.185620,-0.000000,0.000000
C1-11,22.982679,-0.000000,0.000000
C1-12,47.804233,-0.000000,0.000000
C1-13,54.437010,-0.000000,0.000000
C1-14,55.610273,-0.000000,0.000000
C1-15,55.346868,-0.000000,0.000000
C1-16,54.520043,-0.000000,0.000000
C1-17,53.568835,-0.000000,0.000000
C1-18,52.374492,-0.000000,0.000000
C1-19,51.178154,-0.000000,0.000000
C1-20,50.404574,-0.000000,0.000000
C1-21,49.689117,-0.000000,0.000000
C1-22,46.244895,-0.000000,0.000000
C1-23,46.840489,-0.000000,0.000000
C1-24,48.675181,-0.000000,0.000000
C2-1,-53.864080,-0.000000,0.000000
C2-2,-57.110479,-0.000000,0.000000
C2-3,-66.032859,-0.000000,0.000000
C2-4,-66.988141,-0.000000,0.000000
C2-5,-61.389806,-0.000000,0.000000
C2-6,-50.181212,-0.000000,0.000000
C2-7,-26.756223,-0.000000,0.000000
C2-8,-38.775740,-0.000000,0.000000
C2-9,-37.177133,-0.000000,0.000000
C2-10,-85.867801,-0.000000,0.000000
C2-11,-66.808658,-0.000000,0.000000
C2-12,-119.175496,-0.000000,0.000000
C2-13,-136.148517,-0.000000,0.000000
C2-14,-142.072789,-0.000000,0.000000
C2-15,-141.355031,-0.000000,0.000000
C2-16,-139.477637,-0.000000,0.000000
C2-17,-139.057875,-0.000000,0.000000
C2-18,-137.411396,-0.000000,0.000000
C2-19,-132.592940,-0.000000,0.000000
C2-20,-125.968247,-0.000000,0.000000
C2-21,-122.819995,-0.000000,0.000000
C2-22,-116.586171,-0.000000,0.000000
C2-23,-118.148242,-0.000000,0.000000
C2-24,-122.140108,-0.000000,0.000000
C3-1,-6.596193,-0.000000,0.000000
C3-2,-7.648392,-0.000000,0.000000
C3-3,-7.323569,-0.000000,0.000000
C3-4,-9.966599,-0.000000,0.000000
C3-5,-16.732166,-0.000000,0.000000
C3-6,-26.999425,-0.000000,0.000000
C3-7,-41.475078,-0.000000,0.000000
C3-8,-36.608241,-0.000000,0.000000
C3-9,-35.231821,-0.000000,0.000000
C3-10,-13.550282,-0.000000,0.000000
C3-11,-23.354109,-0.000000,0.000000
C3-12,5.598221,-0.000000,0.000000
C3-13,16.330569,-0.000000,0.000000
C3-14,15.273621,-0.000000,0.000000
C3-15,15.888000,-0.000000,0.000000
C3-16,18.047874,-0.000000,0.000000
C3-17,21.604328,-0.000000,0.000000
C3-18,25.380409,-0.000000,0.000000
C3-19,27.210948,-0.000000,0.000000
C3-20,26.233538,-0.000000,0.000000
C3-21,27.164065,-0.000000,0.000000
C3-22,26.176444,-0.000000,0.000000
C3-23,28.044620,-0.000000,0.000000
C3-24,30.811891,-0.000000,0.000000
C4-1,-19.207602,-0.000000,0.000000
C4-2,-19.145888,-0.000000,0.000000
C4-3,-20.464947,-0.000000,0.000000
C4-4,-21.024980,-0.000000,0.000000
C4-5,-23.470792,-0.000000,0.000000
C4-6,-23.717383,-0.000000,0.000000
C4-7,-28.535332,-0.000000,0.000000
C4-8,-27.929775,-0.000000,0.000000
C4-9,-33.558265,-0.000000,0.000000
C4-10,-22.191698,-0.000000,0.000000
C4-11,-25.149124,-0.000000,0.000000
C4-12,-17.382291,-0.000000,0.000000
C4-13,-17.339645,-0.000000,0.000000
C4-14,-21.030452,-0.000000,0.000000
C4-15,-20.688558,-0.000000,0.000000
C4-16,-19.913961,-0.000000,0.000000
C4-17,-20.406052,-0.000000,0.000000
C4-18,-20.134068,-0.000000,0.000000
C4-19,-17.342334,-0.000000,0.000000
C4-20,-12.747771,-0.000000,0.000000
C4-21,-10.866257,-0.000000,0.000000
C4-22,-12.072229,-0.000000,0.000000
C4-23,-11.843683,-0.000000,0.000000
C4-24,-11.206024,-0.000000,0.000000
C5-1,-2.234322,-0.000000,0.000000
C5-2,-2.858047,-0.000000,0.000000
C5-3,-2.458443,-0.000000,0.000000
C5-4,-4.068881,-0.000000,0.000000
C5-5,-8.226362,-0.000000,0.000000
C5-6,-14.791990,-0.000000,0.000000
C5-7,-23.856532,-0.000000,0.000000
C5-8,-20.692221,-0.000000,0.000000
C5-9,-19.486999,-0.000000,0.000000
C5-10,-6.007394,-0.000000,0.000000
C5-11,-12.205869,-0.000000,0.000000
C5-12,6.112588,-0.000000,0.000000
C5-13,13.054887,-0.000000,0.000000
C5-14,12.702549,-0.000000,0.000000
C5-15,13.057130,-0.000000,0.000000
C5-16,14.339163,-0.000000,0.000000
C5-17,16.596951,-0.000000,0.000000
C5-18,18.928189,-0.000000,0.000000
C5-19,19.837412,-0.000000,0.000000
C5-20,18.846575,-0.000000,0.000000
C5-21,19.270366,-0.000000,0.000000
C5-22,18.650562,-0.000000,0.000000
C5-23,19.827469,-0.000000,0.000000
C5-24,21.572461,-0.000000,0.000000
C6-1,34.420181,-0.000000,0.000000
C6-2,38.967258,-0.000000,0.000000
C6-3,49.646327,-0.000000,0.000000
C6-4,48.498902,-0.000000,0.000000
C6-5,31.028992,-0.000000,0.000000
C6-6,8.349516,-0.000000,0.000000
C6-7,-45.452942,-0.000000,0.000000
C6-8,-23.400896,-0.000000,0.000000
C6-9,-38.057943,-0.000000,0.000000
C6-10,72.701570,-0.000000,0.000000
C6-11,32.115408,-0.000000,0.000000
C6-12,143.807071,-0.000000,0.000000
C6-13,175.000000,-0.000000,-65.041009
C6-14,175.000000,-0.000000,-68.375744
C6-15,175.000000,-0.000000,-68.375744
C6-16,175.000000,-0.000000,-65.041009
C6-17,175.000000,-0.000000,-62.388963
C6-18,175.000000,-0.000000,-36.682861
C6-19,175.000000,-0.000000,-36.682861
C6-20,175.000000,-0.000000,-36.682861
C6-21,175.000000,-0.000000,0.000000
C6-22,162.279601,-0.000000,0.000000
C6-23,166.102995,-0.000000,0.000000
C6-24,175.000000,-0.000000,0.000000
C7-1,-132.648384,-0.000000,0.000000
C7-2,-150.151379,-0.000000,0.000000
C7-3,-171.417563,-0.000000,0.000000
