,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,44.897561,0.000000,0.000000
C1-2,45.302935,0.000000,0.000000
C1-3,46.279376,0.000000,0.000000
C1-4,40.893646,0.000000,0.000000
C1-5,45.046741,0.000000,0.000000
C1-6,42.234888,0.000000,0.000000
C1-7,36.357505,0.000000,0.000000
C1-8,42.603702,0.000000,0.000000
C1-9,41.726989,0.000000,0.000000
C1-10,53.471132,0.000000,0.000000
C1-11,19.043880,0.000000,0.000000
C1-12,-0.299081,0.000000,0.000000
C1-13,-8.125254,0.000000,0.000000
C1-14,1.181783,0.000000,0.000000
C1-15,10.441964,0.000000,0.000000
C1-16,16.422748,0.000000,0.000000
C1-17,26.045677,0.000000,0.000000
C1-18,34.710916,0.000000,0.000000
C1-19,50.601522,0.000000,0.000000
C1-20,43.945897,0.000000,0.000000
C1-21,37.367651,0.000000,0.000000
C1-22,32.215863,0.000000,0.000000
C1-23,22.096761,0.000000,0.000000
C1-24,20.080104,0.000000,0.000000
C2-1,-119.462757,0.000000,0.000000
C2-2,-116.272136,0.000000,0.000000
C2-3,-119.296859,0.000000,0.000000
C2-4,-109.131666,0.000000,0.000000
C2-5,-120.741303,0.000000,0.000000
C2-6,-115.584457,0.000000,0.000000
C2-7,-102.870267,0.000000,0.000000
C2-8,-108.523677,0.000000,0.000000
C2-9,-106.507784,0.000000,0.000000
C2-10,-132.991622,0.000000,0.000000
C2-11,-61.450154,0.000000,0.000000
C2-12,-18.290323,0.000000,0.000000
C2-13,-1.698152,0.000000,0.000000
C2-14,-23.894286,0.000000,0.000000
C2-15,-43.981701,0.000000,0.000000
C2-16,-56.317716,0.000000,0.000000
C2-17,-79.430665,0.000000,0.000000
C2-18,-98.519466,0.000000,0.000000
C2-19,-131.928327,0.000000,0.000000
C2-20,-116.575322,0.000000,0.000000
C2-21,-101.459443,0.000000,0.000000
C2-22,-88.883184,0.000000,0.000000
C2-23,-66.043391,0.000000,0.000000
C2-24,-61.841924,0.000000,0.000000
C3-1,29.875541,0.000000,0.000000
C3-2,27.424120,0.000000,0.000000
C3-3,30.053231,0.000000,0.000000
