,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.943981,0.000000,0.000000
C1-2,48.732031,0.000000,0.000000
C1-3,48.452397,0.000000,0.000000
C1-4,40.190717,0.000000,0.000000
C1-5,38.917096,0.000000,0.000000
C1-6,46.272733,0.000000,0.000000
C1-7,50.943660,0.000000,0.000000
C1-8,52.052707,0.000000,0.000000
C1-9,52.677634,0.000000,0.000000
C1-10,53.412180,0.000000,0.000000
C1-11,42.885759,0.000000,0.000000
C1-12,52.995011,0.000000,0.000000
C1-13,21.038787,0.000000,0.000000
C1-14,15.791640,0.000000,0.000000
C1-15,5.232619,0.000000,0.000000
C1-16,24.033190,0.000000,0.000000
C1-17,45.211172,0.000000,0.000000
C1-18,38.267958,0.000000,0.000000
C1-19,57.744055,0.000000,0.000000
C1-20,53.885256,0.000000,0.000000
C1-21,52.963386,0.000000,0.000000
C1-22,55.660683,0.000000,0.000000
C1-23,45.543837,0.000000,0.000000
C1-24,41.975453,0.000000,0.000000
C2-1,-127.781319,0.000000,0.000000
C2-2,-125.262060,0.000000,0.000000
C2-3,-125.719302,0.000000,0.000000
C2-4,-108.333079,0.000000,0.000000
C2-5,-103.842151,0.000000,0.000000
C2-6,-117.279674,0.000000,0.000000
C2-7,-127.540547,0.000000,0.000000
C2-8,-129.210371,0.000000,0.000000
C2-9,-133.473807,0.000000,0.000000
C2-10,-136.077577,0.000000,0.000000
C2-11,-144.824539,0.000000,0.000000
C2-12,-134.812153,0.000000,0.000000
C2-13,-126.105939,0.000000,0.000000
C2-14,-111.485187,0.000000,0.000000
C2-15,-95.971384,0.000000,0.000000
C2-16,-76.594596,0.000000,0.000000
C2-17,-66.012809,0.000000,0.000000
C2-18,-66.934235,0.000000,0.000000
C2-19,-87.135134,0.000000,0.000000
C2-20,-136.817044,0.000000,0.000000
C2-21,-137.415916,0.000000,0.000000
C2-22,-119.790388,0.000000,0.000000
C2-23,-119.328801,0.000000,0.000000
C2-24,-110.641199,0.000000,0.000000
C3-1,33.208107,0.000000,0.000000
C3-2,32.506619,0.000000,0.000000
C3-3,33.909740,0.000000,0.000000
C3-4,25.126860,0.000000,0.000000
C3-5,21.653306,0.000000,0.000000
C3-6,25.104378,0.000000,0.000000
C3-7,25.039785,0.000000,0.000000
C3-8,21.620176,0.000000,0.000000
C3-9,21.739545,0.000000,0.000000
C3-10,20.397127,0.000000,0.000000
C3-11,11.252438,0.000000,0.000000
C3-12,16.576395,0.000000,0.000000
C3-13,-10.071095,0.000000,0.000000
C3-14,-19.205536,0.000000,0.000000
C3-15,-23.271990,0.000000,0.000000
C3-16,-9.758114,0.000000,0.000000
