,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
301_STORAGE_1,1,25.146502,0.000000,0.000000,21.374527,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5.312563,0.000000,0.000000,0.000000,1.586096,0.000000,0.000000,301,21.116646,-531.009780872292
313_STORAGE_1,1,48.091249,0.000000,0.000000,40.877562,-849978.883354,5000.000000,-849978.883354,5000.000000,0.000000,0.000000,0.000000,0.000000,150000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,-1015.5258808308539
301_STORAGE_1,2,0.000000,0.000000,0.000000,21.374527,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.171233,5.141329,0.000000,0.000000,0.000000,1.586096,0.000000,0.000000,301,21.287879,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,40.877562,-999978.712121,5000.000000,-999978.712121,5000.000000,0.000000,0.000000,0.000000,150000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,0.0
301_STORAGE_1,3,1.324086,0.000000,0.000000,22.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5.312563,0.000000,0.000000,0.000000,1.586096,0.000000,0.000000,301,21.116646,-27.960255335556003
313_STORAGE_1,3,0.000000,0.000000,0.000000,40.877562,-999978.883354,5000.000000,-999978.883354,5000.000000,0.000000,0.000000,0.000000,150000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.116646,0.0
301_STORAGE_1,4,50.000000,0.000000,0.000000,65.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.107701,0.000000,0.000000,0.000000,16.082696,0.000000,0.000000,0.000000,1.586096,0.000000,0.000000,301,15.731579,-786.57895
313_STORAGE_1,4,50.000000,0.000000,0.000000,83.377562,15.731579,5000.000000,-849984.268421,5000.000000,0.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,-786.57895
301_STORAGE_1,5,0.000000,0.000000,0.000000,65.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.171233,5.141329,0.000000,0.000000,0.000000,1.586096,0.000000,0.000000,301,21.287879,0.0
313_STORAGE_1,5,0.082597,0.000000,0.000000,83.447769,-849978.712121,5000.000000,-849978.712121,5000.000000,0.000000,0.000000,0.000000,0.000000,150000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,-1.7583149417630002
