,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
301_STORAGE_1,1,26.470588,0.000000,0.000000,22.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,4.160806,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,15.731579,-416.424146298452
313_STORAGE_1,1,50.000000,0.000000,0.000000,42.500000,15.731579,5000.000000,15.731579,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,-786.57895
301_STORAGE_1,2,50.000000,0.000000,0.000000,65.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.314632,0.000000,0.000000,0.000000,35.623965,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,0.000000,0.0
313_STORAGE_1,2,21.605500,0.000000,0.000000,60.864675,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
301_STORAGE_1,3,50.000000,0.000000,0.000000,107.500000,5000.000000,5000.000000,5000.000000,5000.000000,0.314632,0.000000,0.000000,0.000000,35.623965,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,0.000000,0.0
313_STORAGE_1,3,45.552828,0.000000,0.000000,99.584579,5000.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
301_STORAGE_1,4,50.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.065514,0.000000,0.000000,0.000000,10.712161,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,12.455902,-622.7951
313_STORAGE_1,4,50.000000,0.000000,0.000000,142.084579,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
301_STORAGE_1,5,0.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,2.840077,0.000000,0.000000,4.160806,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,15.731579,0.0
313_STORAGE_1,5,1.770536,0.000000,0.000000,143.589535,15.731579,5000.000000,15.731579,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,-27.853326956344002
301_STORAGE_1,6,0.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,3.648510,0.000000,4.586818,0.000000,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,22.732463,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,143.589535,5000.000000,5000.000000,-999977.267537,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4977.267537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
301_STORAGE_1,7,0.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,2.088104,3.045990,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,23.334982,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,143.589535,5000.000000,5000.000000,-999976.665018,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4976.665018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,23.334982,0.0
301_STORAGE_1,8,0.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.048237,0.000000,5.134094,0.000000,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.380972,0.0
313_STORAGE_1,8,0.000000,0.000000,0.000000,143.589535,5000.000000,5000.000000,-999973.667376,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4973.667376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.332624,0.0
301_STORAGE_1,9,0.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,5.093093,0.048237,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.380972,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,143.589535,5000.000000,5000.000000,-999973.667376,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4973.667376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.332624,0.0
301_STORAGE_1,10,0.000000,0.000000,0.000000,150.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,5.093093,0.048237,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.380972,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,143.589535,5000.000000,5000.000000,-999973.667376,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4973.667376,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.332624,0.0
301_STORAGE_1,11,0.000000,50.000000,50.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.003888,0.000000,0.000000,5.530114,0.000000,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.623601,1331.18005
313_STORAGE_1,11,0.000000,23.833368,23.833368,119.756167,26.550434,5000.000000,-999973.449566,5000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.550434,632.786264081712
301_STORAGE_1,12,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,5.134587,0.006742,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.422466,0.0
313_STORAGE_1,12,0.000000,0.000000,0.000000,119.756167,5000.000000,5000.000000,-999973.584292,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4973.584292,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.415708,0.0
301_STORAGE_1,13,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,1.444583,3.696746,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,22.732463,0.0
313_STORAGE_1,13,0.000000,0.000000,0.000000,119.756167,5000.000000,5000.000000,-999977.267537,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4977.267537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
301_STORAGE_1,14,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5.141329,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,21.287879,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,119.756167,5000.000000,5000.000000,-999978.712121,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4978.712121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,0.0
301_STORAGE_1,15,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5.141329,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,21.287879,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,119.756167,5000.000000,5000.000000,-999978.712121,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4978.712121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,0.0
301_STORAGE_1,16,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5.141329,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,21.287879,0.0
313_STORAGE_1,16,0.000000,0.000000,0.000000,119.756167,5000.000000,5000.000000,-999978.712121,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4978.712121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,0.0
301_STORAGE_1,17,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5.141329,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,21.287879,0.0
313_STORAGE_1,17,5.094693,0.000000,0.000000,124.086656,5000.000000,5000.000000,21.287879,5000.000000,0.000000,0.000000,0.000000,0.000000,4978.712121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,-108.45520812614701
301_STORAGE_1,18,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5.141329,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,21.287879,0.0
313_STORAGE_1,18,0.000000,0.000000,0.000000,124.086656,5000.000000,5000.000000,-999978.712121,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4978.712121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,0.0
301_STORAGE_1,19,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,1.444583,3.696746,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,22.732463,0.0
313_STORAGE_1,19,0.000000,0.000000,0.000000,124.086656,5000.000000,5000.000000,-999977.267537,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4977.267537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
301_STORAGE_1,20,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,5.114119,0.027211,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.401998,0.0
313_STORAGE_1,20,0.000000,0.000000,0.000000,124.086656,5000.000000,5000.000000,-999973.598002,5000.000000,0.000000,0.000000,0.000000,1000000.000000,4973.598002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
301_STORAGE_1,21,0.000000,0.000000,0.000000,100.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,5.141329,0.000000,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.429209,0.0
313_STORAGE_1,21,0.000000,24.086656,24.086656,100.000000,26.429209,5000.000000,-999973.570791,5000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,636.5912655351041
301_STORAGE_1,22,0.000000,50.000000,50.000000,50.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,5.141329,0.000000,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.429209,1321.46045
313_STORAGE_1,22,0.000000,50.000000,50.000000,50.000000,26.429209,5000.000000,-999973.570791,5000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,1321.46045
301_STORAGE_1,23,0.000000,15.669360,15.669360,34.330640,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,5.141329,0.000000,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.429209,414.12879033624
313_STORAGE_1,23,0.000000,50.000000,50.000000,0.000000,26.429209,5000.000000,-999973.570791,5000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,1321.46045
301_STORAGE_1,24,0.000000,34.330640,34.330640,0.000000,5000.000000,5000.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,5.141329,0.000000,25.044564,0.000000,0.000000,1.384645,0.000000,0.000000,301,26.429209,907.3316596637601
313_STORAGE_1,24,0.000000,0.000000,0.000000,0.000000,26.429209,5000.000000,-999973.570791,5000.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
