,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,26.401998,0.000000,0.000000,0.000000,46.432142,1225.901320219716
301,2,25.908321,0.000000,0.000000,0.000000,45.526732,1179.5211867369721
301,3,23.334982,0.000000,0.000000,0.000000,44.860487,1046.818656656234
301,4,23.334982,0.000000,0.000000,0.000000,44.740905,1044.02821283871
301,5,23.334982,0.000000,0.000000,0.000000,44.655489,1042.035032016198
301,6,22.742375,0.000000,0.000000,0.000000,45.048402,1024.50765143475
301,7,22.732463,0.000000,0.000000,0.000000,45.082569,1024.837831737447
301,8,22.732463,0.000000,0.000000,0.000000,46.705473,1061.7304368699988
301,9,22.732463,0.000000,0.000000,0.000000,48.806707,1109.496661029341
301,10,22.732463,0.000000,0.000000,0.000000,51.625435,1173.573290996405
301,11,22.732463,0.000000,0.000000,0.000000,53.419171,1214.349328248173
301,12,22.732463,0.000000,0.000000,0.000000,54.068333,1229.106379394179
301,13,22.732463,0.000000,0.000000,0.000000,54.273331,1233.766488844253
301,14,26.401998,0.000000,0.000000,0.000000,54.427080,1436.9836573058399
301,15,26.429209,0.000000,0.000000,0.000000,54.307498,1435.304214909082
301,16,26.429209,0.000000,0.000000,0.000000,54.512496,1440.722149895664
301,17,26.429209,0.000000,0.000000,0.000000,54.700411,1445.688594704899
301,18,26.755735,0.000000,0.000000,0.000000,57.092059,1527.540001208365
301,19,26.845141,0.000000,0.000000,0.000000,60.269535,1617.9441650794352
301,20,26.755735,0.000000,0.000000,0.000000,59.347042,1587.87372878587
301,21,26.755735,0.000000,0.000000,0.000000,56.340399,1507.428785438265
301,22,26.429209,0.000000,0.000000,0.000000,52.992091,1400.539048386019
301,23,26.429209,0.000000,0.000000,0.000000,49.507118,1308.4339686096619
301,24,26.429209,0.000000,0.000000,0.000000,47.200886,1247.482081079174
302,1,26.401998,0.172337,0.000000,0.000000,41.702942,1101.040991278116
302,2,25.908321,0.166710,0.000000,0.000000,40.889750,1059.38476860975
302,3,23.334982,0.157354,0.000000,0.000000,40.291363,940.1982303604659
302,4,23.334982,0.145911,0.000000,0.000000,40.183961,937.6920066237019
302,5,23.334982,0.141801,0.000000,0.000000,40.107245,935.90184014459
302,6,22.742375,0.142800,0.000000,0.000000,40.460139,920.159653690125
302,7,22.732463,0.116545,0.000000,0.000000,40.490826,920.456203884438
302,8,22.732463,0.124293,0.000000,0.000000,41.948434,953.591223812942
302,9,22.732463,0.010468,0.000000,0.000000,43.835653,996.492359903339
302,10,22.732463,0.110195,0.000000,0.000000,46.367289,1054.0426816028069
302,11,22.732463,0.075398,0.000000,0.000000,47.978330,1090.66561152679
302,12,22.732463,-0.113441,0.000000,0.000000,48.561373,1103.919614951699
302,13,22.732463,0.108829,0.000000,0.000000,48.745492,1108.1050933067959
302,14,26.401998,0.156436,0.000000,0.000000,48.883581,1290.624207794838
302,15,26.429209,0.150167,0.000000,0.000000,48.776178,1289.1158025832021
302,16,26.429209,0.166200,0.000000,0.000000,48.960297,1293.9819221150728
302,17,26.429209,0.195231,0.000000,0.000000,49.129073,1298.442538293257
302,18,26.755735,0.264855,0.000000,0.000000,51.277127,1371.9572215733451
302,19,26.845141,0.269111,0.000000,0.000000,54.130971,1453.1535489619112
302,20,26.755735,0.191753,0.000000,0.000000,53.302436,1426.14585247046
302,21,26.755735,0.163396,0.000000,0.000000,50.602025,1353.894371363375
302,22,26.429209,0.156644,0.000000,0.000000,47.594748,1257.891542194332
302,23,26.429209,0.151575,0.000000,0.000000,44.464726,1175.1675365817339
302,24,26.429209,0.117843,0.000000,0.000000,42.393388,1120.423711670092
303,1,26.401998,-7.610030,0.000000,0.000000,77.386903,2043.168858232194
303,2,25.908321,-7.285358,0.000000,0.000000,75.877887,1965.868653197727
303,3,23.334982,-6.942818,0.000000,0.000000,74.767479,1744.6977766503778
303,4,23.334982,-6.593131,0.000000,0.000000,74.568175,1740.04702139785
303,5,23.334982,-6.450598,0.000000,0.000000,74.425815,1736.72505336033
303,6,22.742375,-6.482503,0.000000,0.000000,75.080671,1707.512775133625
303,7,22.732463,-5.282617,0.000000,0.000000,75.137615,1708.063052895745
303,8,22.732463,-5.603412,0.000000,0.000000,77.842455,1769.550728116665
303,9,22.732463,-6.124779,0.000000,0.000000,81.344511,1849.1610865605928
303,10,22.732463,-5.344009,0.000000,0.000000,86.042392,1955.955492571496
303,11,22.732463,-4.320951,0.000000,0.000000,89.031952,2023.915554657776
303,12,22.732463,-5.361829,0.000000,0.000000,90.113888,2048.510624746144
303,13,22.732463,-5.403145,0.000000,0.000000,90.455552,2056.277488984576
303,14,26.401998,-7.047146,0.000000,0.000000,90.711800,2394.9727621764
303,15,26.429209,-7.057818,0.000000,0.000000,90.512496,2392.173673895664
303,16,26.429209,-7.312187,0.000000,0.000000,90.854160,2401.20358315944
303,17,26.429209,-8.347985,0.000000,0.000000,91.167352,2409.480999984568
303,18,26.755735,-6.881285,0.000000,0.000000,95.153432,2545.90001093252
303,19,26.845141,-7.128856,0.000000,0.000000,100.449225,2696.573608465725
303,20,26.755735,-7.422685,0.000000,0.000000,98.911737,2646.456223561695
303,21,26.755735,-7.610691,0.000000,0.000000,93.900664,2512.38128230804
303,22,26.429209,-7.287127,0.000000,0.000000,88.320152,2334.231756119768
303,23,26.429209,-6.969694,0.000000,0.000000,82.511863,2180.7232722063673
303,24,26.429209,-5.776578,0.000000,0.000000,78.668143,2079.136792988887
304,1,26.401998,-1.218359,0.000000,0.000000,31.814616,839.969428002768
304,2,25.908321,-1.160068,0.000000,0.000000,31.194242,808.190435087682
304,3,23.334982,-1.162031,0.000000,0.000000,30.737741,717.264632955662
304,4,23.334982,-1.207560,0.000000,0.000000,30.655805,715.35265787051
304,5,23.334982,-1.216049,0.000000,0.000000,30.597279,713.986954713978
304,6,22.742375,-1.220685,0.000000,0.000000,30.866498,701.97747245275
304,7,22.732463,-1.168030,0.000000,0.000000,30.889908,702.2036906834039
304,8,22.732463,-1.204239,0.000000,0.000000,32.001898,727.481962214774
304,9,22.732463,-2.000615,0.000000,0.000000,33.441632,760.2106620996159
304,10,22.732463,-1.437566,0.000000,0.000000,35.372983,804.115027247129
304,11,22.732463,-1.638029,0.000000,0.000000,36.602025,832.054179037575
304,12,22.732463,-2.760296,0.000000,0.000000,37.046821,842.165487650123
304,13,22.732463,-1.540572,0.000000,0.000000,37.187282,845.358512135566
304,14,26.401998,-1.421750,0.000000,0.000000,37.292629,984.5999162727419
304,15,26.429209,-1.528808,0.000000,0.000000,37.210693,983.4491823318369
304,16,26.429209,-1.368840,0.000000,0.000000,37.351155,987.161481886395
304,17,26.429209,-1.312063,0.000000,0.000000,37.479911,990.564401120399
304,18,26.755735,-1.001950,0.000000,0.000000,39.118633,1046.647778110255
304,19,26.845141,-1.108451,0.000000,0.000000,41.295792,1108.591358946672
304,20,26.755735,-1.536688,0.000000,0.000000,40.663714,1087.98755589979
304,21,26.755735,-1.577207,0.000000,0.000000,38.603606,1032.86785218041
304,22,26.429209,-1.486827,0.000000,0.000000,36.309396,959.628615547764
304,23,26.429209,-1.367857,0.000000,0.000000,33.921544,896.5195759786959
304,24,26.429209,-1.394151,0.000000,0.000000,32.341348,854.7562456337321
305,1,26.401998,-0.241990,0.000000,0.000000,30.524834,805.9166062183319
305,2,25.908321,-0.294525,0.000000,0.000000,29.929611,775.4259691931311
305,3,23.334982,-0.343261,0.000000,0.000000,29.491617,688.186351845894
305,4,23.334982,-0.408832,0.000000,0.000000,29.413002,686.3518722359639
305,5,23.334982,-0.437138,0.000000,0.000000,29.356849,685.041542991718
305,6,22.742375,-0.449489,0.000000,0.000000,29.615153,673.518915208375
305,7,22.732463,-0.775112,0.000000,0.000000,29.637615,673.7359863957449
305,8,22.732463,-0.771963,0.000000,0.000000,30.704524,697.989455762612
305,9,22.732463,-1.316105,0.000000,0.000000,32.085891,729.3913299795329
305,10,22.732463,-1.030474,0.000000,0.000000,33.938943,771.515766006609
305,11,22.732463,-1.318697,0.000000,0.000000,35.118159,798.3222500956169
305,12,22.732463,-2.219549,0.000000,0.000000,35.544922,808.0236242028859
305,13,22.732463,-1.127311,0.000000,0.000000,35.679690,811.08723277647
305,14,26.401998,-0.761570,0.000000,0.000000,35.780766,944.683712370468
305,15,26.429209,-0.713381,0.000000,0.000000,35.702151,943.579610528559
305,16,26.429209,-0.718237,0.000000,0.000000,35.836919,947.141422167071
305,17,26.429209,-0.486385,0.000000,0.000000,35.960456,950.406407359304
305,18,26.755735,-0.235128,0.000000,0.000000,37.532743,1004.2161255311051
305,19,26.845141,-0.307054,0.000000,0.000000,39.621639,1063.648485606099
305,20,26.755735,-0.624559,0.000000,0.000000,39.015185,1043.879950835975
305,21,26.755735,-0.669987,0.000000,0.000000,37.038595,990.9948325923251
305,22,26.429209,-0.596270,0.000000,0.000000,34.837393,920.724740612137
305,23,26.429209,-0.523647,0.000000,0.000000,32.546346,860.174180620314
305,24,26.429209,-0.687169,0.000000,0.000000,31.030212,820.103958262308
306,1,26.401998,0.050631,0.000000,0.000000,58.470104,1543.727568867792
306,2,25.908321,-0.039336,0.000000,0.000000,57.329959,1485.3229806888392
306,3,23.334982,-0.122361,0.000000,0.000000,56.490984,1318.216094802288
306,4,23.334982,-0.227386,0.000000,0.000000,56.340399,1314.702196537818
306,5,23.334982,-0.272801,0.000000,0.000000,56.232838,1312.192262538916
306,6,22.742375,-0.288397,0.000000,0.000000,56.727618,1290.12076141275
306,7,22.732463,-0.797394,0.000000,0.000000,56.770642,1290.536518751246
306,8,22.732463,-0.777280,0.000000,0.000000,58.814299,1336.9938758884368
306,9,22.732463,-1.627865,0.000000,0.000000,61.460297,1397.143927521511
306,10,22.732463,-1.139402,0.000000,0.000000,65.009807,1477.833032264641
306,11,22.732463,-1.578183,0.000000,0.000000,67.268586,1529.1806423073178
306,12,22.732463,-3.009789,0.000000,0.000000,68.086049,1547.763589708687
306,13,22.732463,-1.267470,0.000000,0.000000,68.344195,1553.6318841022849
306,14,26.401998,-0.689810,0.000000,0.000000,68.537805,1809.53499053439
306,15,26.429209,-0.617877,0.000000,0.000000,68.387219,1807.420103879771
306,16,26.429209,-0.619821,0.000000,0.000000,68.645365,1814.242698466285
306,17,26.429209,-0.253160,0.000000,0.000000,68.881999,1820.496747908791
306,18,26.755735,0.171431,0.000000,0.000000,71.893705,1923.568919148175
306,19,26.845141,0.087561,0.000000,0.000000,75.894970,2037.4111708407702
306,20,26.755735,-0.429106,0.000000,0.000000,74.733312,1999.5446915443201
306,21,26.755735,-0.530901,0.000000,0.000000,70.947169,1898.243652764215
306,22,26.429209,-0.446275,0.000000,0.000000,66.730781,1763.6417577822288
306,23,26.429209,-0.364060,0.000000,0.000000,62.342297,1647.6575969530732
306,24,26.429209,-0.643780,0.000000,0.000000,59.438152,1570.9033417817682
307,1,26.401998,4.751377,0.000000,0.000000,53.740905,1418.86726632819
307,2,25.908321,4.632797,0.000000,0.000000,52.692977,1365.186562561617
307,3,23.334982,4.496626,0.000000,0.000000,51.921860,1211.59566850652
307,4,23.334982,4.377270,0.000000,0.000000,51.783455,1208.36599032281
307,5,23.334982,4.331065,0.000000,0.000000,51.684593,1206.059047332326
307,6,22.742375,4.366136,0.000000,0.000000,52.139355,1185.772763668125
