,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,32.294801,0.000000,0.000000
C1-2,48.393531,0.000000,0.000000
C1-3,47.969276,0.000000,0.000000
C1-4,18.899442,0.000000,0.000000
C1-5,47.944821,0.000000,0.000000
C1-6,48.911511,0.000000,0.000000
C1-7,50.793043,0.000000,0.000000
C1-8,40.917256,0.000000,0.000000
C1-9,53.555533,0.000000,0.000000
C1-10,34.220581,0.000000,0.000000
C1-11,55.356738,0.000000,0.000000
C1-12,55.738038,0.000000,0.000000
C1-13,35.837161,0.000000,0.000000
C1-14,54.166867,0.000000,0.000000
C1-15,35.394713,0.000000,0.000000
C1-16,55.835015,0.000000,0.000000
C1-17,75.898254,0.000000,0.000000
C1-18,75.876301,0.000000,0.000000
C1-19,75.543162,0.000000,0.000000
C1-20,54.218051,0.000000,0.000000
C1-21,53.719167,0.000000,0.000000
C1-22,52.817418,0.000000,0.000000
C1-23,51.608686,0.000000,0.000000
C1-24,50.636523,0.000000,0.000000
C2-1,-97.713720,0.000000,0.000000
C2-2,-130.183245,0.000000,0.000000
C2-3,-128.616400,0.000000,0.000000
C2-4,-67.576162,0.000000,0.000000
C2-5,-128.274398,0.000000,0.000000
C2-6,-131.904954,0.000000,0.000000
C2-7,-133.079392,0.000000,0.000000
C2-8,-146.244093,0.000000,0.000000
C2-9,-139.979464,0.000000,0.000000
C2-10,-153.745914,0.000000,0.000000
C2-11,-144.763164,0.000000,0.000000
C2-12,-146.800094,0.000000,0.000000
C2-13,-156.819075,0.000000,0.000000
C2-14,-141.790484,0.000000,0.000000
C2-15,-162.065772,0.000000,0.000000
C2-16,-149.064186,0.000000,0.000000
C2-17,-138.350808,0.000000,0.000000
C2-18,-139.679168,0.000000,0.000000
C2-19,-138.821322,0.000000,0.000000
C2-20,-151.375267,0.000000,0.000000
C2-21,-148.347588,0.000000,0.000000
C2-22,-146.209322,0.000000,0.000000
C2-23,-141.362707,0.000000,0.000000
C2-24,-132.705121,0.000000,0.000000
C3-1,17.346790,0.000000,0.000000
C3-2,36.895061,0.000000,0.000000
C3-3,37.631623,0.000000,0.000000
C3-4,6.429963,0.000000,0.000000
C3-5,37.519074,0.000000,0.000000
C3-6,35.877973,0.000000,0.000000
C3-7,29.055094,0.000000,0.000000
C3-8,20.021703,0.000000,0.000000
C3-9,22.225260,0.000000,0.000000
C3-10,1.055861,0.000000,0.000000
C3-11,17.947394,0.000000,0.000000
C3-12,17.672622,0.000000,0.000000
C3-13,-3.535011,0.000000,0.000000
C3-14,12.611279,0.000000,0.000000
C3-15,1.470806,0.000000,0.000000
C3-16,18.678080,0.000000,0.000000
C3-17,38.806871,0.000000,0.000000
C3-18,39.713022,0.000000,0.000000
C3-19,40.520805,0.000000,0.000000
C3-20,26.586510,0.000000,0.000000
C3-21,26.722696,0.000000,0.000000
C3-22,29.022400,0.000000,0.000000
C3-23,30.885309,0.000000,0.000000
C3-24,29.452337,0.000000,0.000000
C4-1,-24.558791,0.000000,0.000000
C4-2,-17.844218,0.000000,0.000000
C4-3,-16.967002,0.000000,0.000000
C4-4,-25.561856,0.000000,0.000000
C4-5,-16.716366,0.000000,0.000000
C4-6,-18.763173,0.000000,0.000000
C4-7,-18.063353,0.000000,0.000000
C4-8,-27.761208,0.000000,0.000000
C4-9,-21.150193,0.000000,0.000000
C4-10,-31.235464,0.000000,0.000000
C4-11,-23.389196,0.000000,0.000000
C4-12,-24.677384,0.000000,0.000000
C4-13,-32.274996,0.000000,0.000000
C4-14,-24.453829,0.000000,0.000000
C4-15,-36.829825,0.000000,0.000000
C4-16,-26.392978,0.000000,0.000000
C4-17,-18.102421,0.000000,0.000000
C4-18,-19.177425,0.000000,0.000000
C4-19,-18.784710,0.000000,0.000000
C4-20,-29.633843,0.000000,0.000000
C4-21,-27.660163,0.000000,0.000000
C4-22,-26.743236,0.000000,0.000000
C4-23,-23.939879,0.000000,0.000000
C4-24,-17.901714,0.000000,0.000000
C5-1,13.677697,0.000000,0.000000
C5-2,25.915699,0.000000,0.000000
C5-3,26.301985,0.000000,0.000000
C5-4,6.517451,0.000000,0.000000
C5-5,26.211013,0.000000,0.000000
C5-6,25.358012,0.000000,0.000000
C5-7,21.046842,0.000000,0.000000
C5-8,15.836325,0.000000,0.000000
C5-9,17.045809,0.000000,0.000000
C5-10,3.960316,0.000000,0.000000
C5-11,14.565138,0.000000,0.000000
C5-12,14.500839,0.000000,0.000000
C5-13,1.184919,0.000000,0.000000
C5-14,11.248503,0.000000,0.000000
C5-15,4.683569,0.000000,0.000000
C5-16,15.270068,0.000000,0.000000
C5-17,27.855943,0.000000,0.000000
C5-18,28.510069,0.000000,0.000000
C5-19,28.980988,0.000000,0.000000
C5-20,20.468946,0.000000,0.000000
C5-21,20.389928,0.000000,0.000000
C5-22,21.747304,0.000000,0.000000
C5-23,22.675739,0.000000,0.000000
C5-24,21.281040,0.000000,0.000000
C6-1,100.597119,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,175.000000,0.000000,0.000000
C6-4,47.125219,0.000000,0.000000
C6-5,175.000000,0.000000,0.000000
C6-6,175.000000,0.000000,0.000000
C6-7,175.000000,0.000000,0.000000
C6-8,175.000000,0.000000,0.000000
C6-9,175.000000,0.000000,0.000000
C6-10,175.000000,0.000000,0.000000
C6-11,175.000000,0.000000,0.000000
C6-12,175.000000,0.000000,0.000000
C6-13,175.000000,0.000000,0.000000
C6-14,165.394707,0.000000,0.000000
C6-15,175.000000,0.000000,0.000000
C6-16,175.000000,0.000000,0.000000
C6-17,175.000000,0.000000,68.375744
C6-18,175.000000,0.000000,68.375744
C6-19,175.000000,0.000000,62.388963
C6-20,175.000000,0.000000,59.937878
C6-21,175.000000,0.000000,57.218865
C6-22,175.000000,0.000000,36.682861
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,0.000000
C7-1,-50.497375,0.000000,0.000000
C7-2,97.615149,0.000000,0.000000
C7-3,110.031015,0.000000,0.000000
C7-4,-102.301101,0.000000,0.000000
C7-5,109.710246,0.000000,0.000000
C7-6,81.668679,0.000000,0.000000
C7-7,20.879955,0.000000,0.000000
C7-8,75.933420,0.000000,0.000000
C7-9,69.845692,0.000000,0.000000
C7-10,48.878013,0.000000,0.000000
C7-11,65.679540,0.000000,0.000000
C7-12,109.498218,0.000000,0.000000
C7-13,79.315061,0.000000,0.000000
C7-14,185.094246,0.000000,0.000000
C7-15,31.862936,0.000000,0.000000
C7-16,2.094295,0.000000,0.000000
C7-17,48.603482,0.000000,0.000000
C7-18,72.989070,0.000000,0.000000
C7-19,69.868044,0.000000,0.000000
C7-20,44.239620,0.000000,0.000000
C7-21,41.912057,0.000000,0.000000
C7-22,29.983951,0.000000,0.000000
C7-23,25.343260,0.000000,0.000000
C7-24,6.206806,0.000000,0.000000
C8-1,-57.497101,0.000000,0.000000
C8-2,-48.605370,0.000000,0.000000
C8-3,-46.440587,0.000000,0.000000
C8-4,-54.508708,0.000000,0.000000
C8-5,-46.049489,0.000000,0.000000
C8-6,-51.045995,0.000000,0.000000
C8-7,-54.536621,0.000000,0.000000
C8-8,-68.073767,0.000000,0.000000
C8-9,-65.138172,0.000000,0.000000
C8-10,-78.149731,0.000000,0.000000
C8-11,-72.351866,0.000000,0.000000
C8-12,-74.962737,0.000000,0.000000
C8-13,-83.332890,0.000000,0.000000
C8-14,-75.851171,0.000000,0.000000
C8-15,-88.355924,0.000000,0.000000
C8-16,-77.474281,0.000000,0.000000
C8-17,-68.563351,0.000000,0.000000
