,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,-8189.544975,0.000000,400287.117321,0.000000,45.577982,-373262.9334587404
301,2,1028.469999,0.000000,0.000000,39407.836064,43.715913,44960.504999394085
301,3,1028.469999,0.000000,0.000000,147026.484426,42.895919,44117.16577103407
301,4,-5978.429569,0.000000,379023.105352,0.000000,42.708004,-255326.79394657028
301,5,-8037.358547,0.000000,394072.784835,0.000000,43.340082,-348339.77849038085
301,6,-7867.757632,0.000000,385986.965903,0.000000,45.885479,-361015.8276002257
301,7,1028.469999,0.000000,0.000000,178637.645111,52.137931,53622.29784343207
301,8,-7867.757632,0.000000,385986.965903,0.000000,55.469155,-436417.867591841
301,9,-7867.757632,0.000000,385986.965903,0.000000,58.612464,-461148.66096632526
301,10,-7867.757632,0.000000,385986.965903,0.000000,61.533692,-484132.1748581373
301,11,1028.469999,0.000000,0.000000,178637.645111,63.481177,65288.48604570882
301,12,-7867.757632,0.000000,385986.965903,0.000000,64.608668,-508325.3407503541
301,13,1028.469999,0.000000,0.000000,180508.242604,64.215755,66043.97748063425
301,14,-7867.757632,0.000000,385986.965903,0.000000,64.181588,-504965.17882087966
301,15,1028.469999,0.000000,0.000000,44871.425491,63.669092,65481.7509855709
301,16,-7867.757632,0.000000,385986.965903,0.000000,62.900348,-494884.6930324559
301,17,1028.469999,0.000000,0.000000,178637.645111,62.746599,64532.9946107834
301,18,-7867.757632,0.000000,391501.434314,0.000000,69.169883,-544211.8748777971
301,19,1028.469999,0.000000,0.000000,26312.892630,69.238216,71209.42794028178
301,20,-7867.757632,0.000000,385986.965903,0.000000,66.761152,-525260.563169112
301,21,-7988.969754,0.000000,391765.821909,0.000000,64.267004,-513427.151136197
301,22,-7867.757632,0.000000,385986.965903,0.000000,59.637456,-469213.0495970642
301,23,1028.469999,0.000000,0.000000,44871.425491,54.444163,55994.18826616584
301,24,1028.469999,0.000000,0.000000,178637.645111,49.609617,51022.00274638038
302,1,1033.791603,-0.104044,0.000000,1000000.000000,40.935780,42319.06562625534
302,2,1033.791603,-0.050815,164287.588659,0.000000,39.263366,40590.13807631569
302,3,-147.540984,0.220772,315657.725328,0.000000,38.526890,-5684.29526105976
302,4,1033.791603,0.298554,0.000000,1000000.000000,38.358115,39654.297193908336
302,5,1033.791603,0.312417,0.000000,1000000.000000,38.925815,40241.18068693144
302,6,1033.791603,0.222566,0.000000,1000000.000000,41.211958,42604.576123588675
302,7,1033.791603,0.338189,123231.386137,0.000000,46.827586,48409.96519556035
302,8,1033.791603,0.338241,0.000000,1000000.000000,49.819519,51503.00040769895
302,9,1033.791603,0.270210,0.000000,1000000.000000,52.642676,54421.55640824963
302,10,1033.791603,0.227512,0.000000,1000000.000000,55.266371,57133.910268082705
302,11,1033.791603,0.183367,123231.386137,0.000000,57.015501,58942.146174638096
302,12,1033.791603,0.249789,0.000000,1000000.000000,58.028156,59989.02041037406
302,13,1033.791603,0.310719,123231.386137,0.000000,57.675261,59624.20052263338
302,14,1033.791603,0.346698,0.000000,1000000.000000,57.644574,59592.476559712115
302,15,1033.791603,0.193948,123231.386137,0.000000,57.184277,59116.62538622603
302,16,1033.791603,0.213159,0.000000,1000000.000000,56.493831,58402.84810910109
302,17,1033.791603,0.217165,123231.386137,0.000000,56.355742,58260.09286043442
302,18,1033.791603,0.232428,0.000000,1000000.000000,62.124802,64224.098645637605
302,19,-894.632759,0.186581,185827.251366,0.000000,62.186175,-55633.789311906825
302,20,1033.791603,0.181763,0.000000,1000000.000000,59.961405,61987.59699308221
302,21,1033.791603,0.103871,0.000000,1000000.000000,57.721291,59671.78595011947
302,22,1033.791603,0.078749,0.000000,1000000.000000,53.563271,55373.259789013406
302,23,1033.791603,0.127554,123231.386137,0.000000,48.898924,50551.297026935164
302,24,1033.791603,0.080534,123231.386137,0.000000,44.556786,46062.43122346795
303,1,2000.000000,-5.101994,0.000000,111150.484735,75.963303,151926.606
303,2,2000.000000,-6.814729,0.000000,34901.806155,72.859855,145719.71
303,3,-20897.564401,-8.764315,1000000.000000,0.000000,71.493198,-1494033.7094384446
303,4,2000.000000,-11.362357,0.000000,51919.457339,71.180006,142360.01200000002
303,5,2000.000000,-12.093393,0.000000,884917.897160,72.233470,144466.94
303,6,2000.000000,-13.052603,0.000000,858084.012881,76.475799,152951.598
303,7,-48514.638096,-13.035221,1000000.000000,0.000000,86.896552,-4215754.772070245
303,8,2000.000000,-13.093468,0.000000,108488.755529,92.448592,184897.184
303,9,2000.000000,-11.082684,0.000000,108488.755529,97.687441,195374.882
303,10,2000.000000,-9.864951,0.000000,108488.755529,102.556153,205112.30599999998
303,11,-48514.638096,-8.564276,1000000.000000,0.000000,105.801961,-5132943.847762107
303,12,2000.000000,-8.629051,0.000000,108488.755529,107.681114,215362.22799999997
303,13,-49193.070668,-7.037977,1000000.000000,0.000000,107.026258,-5264950.2731256
303,14,2000.000000,-7.022641,0.000000,108488.755529,106.969313,213938.626
303,15,2000.000000,-9.144432,0.000000,34901.806155,106.115153,212230.306
303,16,2000.000000,-9.556954,0.000000,108488.755529,104.833913,209667.826
303,17,-48514.638096,-9.630545,1000000.000000,0.000000,104.577665,-5073547.570399726
303,18,2000.000000,-10.233503,0.000000,95698.896022,115.283138,230566.27599999998
303,19,2000.000000,-8.317146,0.000000,10503.873081,115.397026,230794.052
303,20,2000.000000,-7.957144,0.000000,108488.755529,111.268586,222537.172
303,21,2000.000000,-5.367305,0.000000,109491.386149,107.111674,214223.348
303,22,2000.000000,-4.383576,0.000000,108488.755529,99.395761,198791.522
303,23,2000.000000,-5.707209,0.000000,34901.806155,90.740272,181480.544
303,24,-48514.638096,-4.032822,1000000.000000,0.000000,82.682695,-4011321.0247269487
304,1,564.997086,-2.316971,0.000000,0.000000,31.229358,17644.49626765079
304,2,1664.564185,-2.089699,0.000000,0.000000,29.953496,49859.51665714076
304,3,2000.000000,-0.806414,0.000000,0.000000,29.391648,58783.296
304,4,1465.429986,-0.566850,0.000000,0.000000,29.262891,42882.71794844953
304,5,2000.000000,-0.648450,0.000000,0.000000,29.695982,59391.964
304,6,1465.429986,-1.304337,0.000000,0.000000,31.440051,46073.19349676929
304,7,2000.000000,-0.788941,0.000000,0.000000,35.724138,71448.27600000001
304,8,1465.429986,-0.882159,0.000000,0.000000,38.006643,55696.074319397
304,9,1465.429986,-1.262065,0.000000,0.000000,40.160392,58852.242686314516
304,10,1465.429986,-1.538697,0.000000,0.000000,42.161974,61785.42096855237
304,11,2000.000000,-1.784961,0.000000,0.000000,43.496362,86992.724
304,12,1465.429986,-1.513875,0.000000,0.000000,44.268902,64872.97643809537
304,13,2000.000000,-1.089280,0.000000,0.000000,43.999684,87999.368
304,14,1465.429986,-0.912946,0.000000,0.000000,43.976273,64444.14912672218
304,15,2000.000000,-1.850178,0.000000,0.000000,43.625119,87250.238
304,16,1465.429986,-1.681493,0.000000,0.000000,43.098387,63157.66865803259
304,17,2000.000000,-1.641346,0.000000,0.000000,42.993040,85986.08
304,18,1465.429986,-1.768665,0.000000,0.000000,47.394179,69452.8510684515
304,19,796.355814,-1.750535,0.000000,0.000000,47.441000,37779.916171974
304,20,1465.429986,-1.631044,0.000000,0.000000,45.743752,67034.26585294747
304,21,564.997086,-1.819381,0.000000,0.000000,44.034799,24879.53311759571
304,22,1465.429986,-1.738491,0.000000,0.000000,40.862702,59881.42881978217
304,23,2000.000000,-1.355175,0.000000,0.000000,37.304334,74608.66799999999
304,24,2000.000000,-1.353091,0.000000,0.000000,33.991775,67983.54999999999
305,1,-2335.250869,-1.967783,0.000000,0.000000,29.963303,-69971.8293688603
305,2,321.405938,-1.510309,0.000000,0.000000,28.739165,9236.93828416177
305,3,2000.000000,0.101152,0.000000,0.000000,28.200095,56400.19
305,4,-1058.391920,0.684664,0.000000,0.000000,28.076558,-29716.00212861136
305,5,-2105.708394,0.864202,0.000000,0.000000,28.492091,-59996.035181311854
305,6,-2019.437408,0.399877,0.000000,0.000000,30.165454,-60917.24623690324
305,7,1523.152370,0.658676,0.000000,0.000000,34.275862,52207.36043909293
305,8,-2019.437408,0.519586,0.000000,0.000000,36.465834,-73640.46929351827
305,9,-2019.437408,-0.030482,0.000000,0.000000,38.532268,-77813.50341428135
305,10,-2019.437408,-0.404067,0.000000,0.000000,40.452705,-81691.70573178865
305,11,1523.152370,-0.754860,0.000000,0.000000,41.732996,63565.71176460052
305,12,-2019.437408,-0.410929,0.000000,0.000000,42.474217,-85774.02268530954
305,13,1523.152370,-0.168718,0.000000,0.000000,42.215913,64301.26793766381
305,14,-2019.437408,0.033411,0.000000,0.000000,42.193451,-85207.03332201502
305,15,1523.152370,-0.594543,0.000000,0.000000,41.856533,63753.87743893321
305,16,-2019.437408,-0.507558,0.000000,0.000000,41.351155,-83506.06927100624
305,17,1523.152370,-0.494744,0.000000,0.000000,41.250079,62830.15559153723
305,18,-2019.437408,-0.657338,0.000000,0.000000,45.472793,-91829.45923044055
305,19,2000.000000,-1.154300,0.000000,0.000000,45.517716,91035.432
305,20,-2019.437408,-1.149438,0.000000,0.000000,43.889276,-88631.64576443662
305,21,-2081.094441,-1.598353,0.000000,0.000000,42.249605,-87925.41809994582
305,22,-2019.437408,-1.616654,0.000000,0.000000,39.206106,-79174.27707841324
305,23,1523.152370,-1.126828,0.000000,0.000000,35.791996,54516.66353443052
305,24,1523.152370,-1.280417,0.000000,0.000000,32.613730,49675.680144040096
306,1,2000.000000,-2.688660,0.000000,0.000000,57.394495,114788.99
306,2,2000.000000,-1.984577,0.000000,0.000000,55.049668,110099.336
306,3,2000.000000,0.563158,0.000000,0.000000,54.017083,108034.166
306,4,767.040663,1.481638,0.000000,0.000000,53.780449,41251.79125739769
306,5,767.040663,1.767503,0.000000,0.000000,54.576400,41862.3180401532
306,6,1249.254102,1.049643,0.000000,0.000000,57.781715,72184.04448434494
306,7,2000.000000,1.528807,0.000000,0.000000,65.655172,131310.34399999998
306,8,1249.254102,1.341453,0.000000,0.000000,69.850047,87260.4577396428
306,9,1249.254102,0.501348,0.000000,0.000000,73.808289,92205.30779485148
306,10,1249.254102,-0.061889,0.000000,0.000000,77.486871,96800.79144789484
306,11,2000.000000,-0.598299,0.000000,0.000000,79.939260,159878.52000000002
306,12,1249.254102,-0.041761,0.000000,0.000000,81.359064,101638.14443688054
306,13,2000.000000,0.343802,0.000000,0.000000,80.864283,161728.566
306,14,1249.254102,0.664397,0.000000,0.000000,80.821259,100966.28933455443
306,15,2000.000000,-0.346577,0.000000,0.000000,80.175894,160351.788
306,16,1249.254102,-0.213929,0.000000,0.000000,79.207846,98950.7265260843
306,17,2000.000000,-0.194438,0.000000,0.000000,79.014236,158028.47199999998
306,18,1249.254102,-0.388935,0.000000,0.000000,87.102816,108813.55018375124
306,19,1819.871153,-1.167019,0.000000,0.000000,87.188864,158672.4984564402
306,20,1249.254102,-1.181095,0.000000,0.000000,84.069598,105024.290154991
306,21,1249.254102,-1.913822,0.000000,0.000000,80.928820,101100.66035501965
306,22,1249.254102,-1.986318,0.000000,0.000000,75.099019,93817.75754192594
306,23,2000.000000,-1.260801,0.000000,0.000000,68.559317,137118.634
306,24,2000.000000,-1.549229,0.000000,0.000000,62.471370,124942.74
307,1,1027.894691,0.215077,0.000000,798.121634,52.752294,54223.80294067115
307,2,1027.894691,1.131101,0.000000,798.121634,50.597121,52008.51205578461
307,3,1027.894691,4.799086,0.000000,798.121634,49.648054,51032.97112508131
307,4,1027.894691,5.739848,0.000000,798.121634,49.430560,50809.41019715696
307,5,-964.525230,5.926744,113432.817290,0.000000,50.162132,-48382.64190459036
307,6,1027.894691,5.233098,0.000000,798.121634,53.108194,54589.63066119805
307,7,1027.894691,6.749527,0.000000,798.121634,60.344828,62028.128330508145
307,8,1027.894691,6.966291,0.000000,798.121634,64.200411,65991.261626918
307,9,1027.894691,6.506978,0.000000,798.121634,67.838500,69730.83399540349
307,10,1027.894691,6.281272,0.000000,798.121634,71.219551,73206.19836830374
307,11,1027.894691,5.977447,0.000000,798.121634,73.473584,75523.10692234254
307,12,1027.894691,6.696764,0.000000,798.121634,74.778551,76864.47557357274
307,13,1027.894691,7.252185,0.000000,798.121634,74.323790,76397.02915599888
307,14,1027.894691,7.598971,0.000000,798.121634,74.284245,76356.3810604433
307,15,1027.894691,6.101944,56425.788267,0.000000,73.691079,75746.6688781616
307,16,-964.525230,6.233753,56208.907388,0.000000,72.801329,-70218.71859803067
307,17,1027.894691,6.261214,0.000000,798.121634,72.623379,74649.18571658089
307,18,1027.894691,6.700486,0.000000,798.121634,80.057735,82290.92077998488
307,19,1027.894691,5.377233,0.000000,798.121634,80.136824,82372.21594320139
307,20,1027.894691,4.564593,0.000000,798.121634,77.269851,79425.26961726104
307,21,1027.894691,2.406033,0.000000,798.121634,74.383107,76458.00078538492
307,22,1027.894691,1.643926,0.000000,798.121634,69.024834,70950.26041575629
307,23,1027.894691,1.746744,0.000000,798.121634,63.014078,64771.83623445989
307,24,1027.894691,1.016180,0.000000,798.121634,57.418538,59020.210375181756
308,1,2000.000000,-1.628638,0.000000,23632.560742,72.165138,144330.27599999998
308,2,2000.000000,-0.637290,0.000000,3171.912253,69.216862,138433.72400000002
308,3,2000.000000,3.063865,0.000000,20357.384451,67.918538,135837.076
308,4,2000.000000,4.012229,798.121634,0.000000,67.621006,135242.012
308,5,2000.000000,4.173556,0.000000,113432.817290,68.621797,137243.594
308,6,2000.000000,3.376944,0.000000,20357.384451,72.652009,145304.018
308,7,2000.000000,4.640450,0.000000,20357.384451,82.551724,165103.44799999997
308,8,2000.000000,4.722460,0.000000,20357.384451,87.826163,175652.326
308,9,2000.000000,4.135993,0.000000,20357.384451,92.803069,185606.13799999998
308,10,2000.000000,3.792118,0.000000,20357.384451,97.428345,194856.68999999997
308,11,2000.000000,3.409514,0.000000,20357.384451,100.511863,201023.72600000002
308,12,2000.000000,4.083222,0.000000,20357.384451,102.297058,204594.116
308,13,2000.000000,4.654537,0.000000,20357.384451,101.674945,203349.88999999998
308,14,2000.000000,5.002705,0.000000,20357.384451,101.620848,203241.696
308,15,2000.000000,3.526410,0.000000,77581.294352,100.809396,201618.79200000002
308,16,2000.000000,3.689316,0.000000,77364.413473,99.592218,199184.43600000002
308,17,2000.000000,3.722996,0.000000,20357.384451,99.348782,198697.564
308,18,2000.000000,3.902434,798.121634,0.000000,109.518981,219037.962
308,19,2000.000000,2.576417,0.000000,20357.384451,109.627175,219254.34999999998
308,20,2000.000000,1.863979,0.000000,20357.384451,105.705157,211410.314
308,21,2000.000000,-0.193688,0.000000,20357.384451,101.756090,203512.18
