,hour,SegmentOffer,SegmentDispatch,SegmentEmissions,Commitment,Startup,Shutdown,MaxDual,MinDual,DMaxDual,DMinDual,RampMaxDual,RampMinDual,StartShutDual,Zone,LMP,MarginalCost,Profit,PreviousOffer,AvailableSegmentCapacity
301_CT_1-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,798551.828045,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1798464.572254,87.255791,-0.0,87.255791,8.000000
301_CT_1-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,798551.828045,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1798464.572254,87.255791,-0.0,87.255791,4.000000
301_CT_1-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,798564.268024,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1798464.572254,99.695770,-0.0,99.695770,4.000000
301_CT_1-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,798569.939495,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1798464.572254,105.367241,-0.0,105.367241,4.000000
301_CT_2-0,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,798551.828045,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1798464.572254,87.255791,-0.0,87.255791,8.000000
301_CT_2-1,1,87.255791,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,798551.828045,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1798464.572254,87.255791,-0.0,87.255791,4.000000
301_CT_2-2,1,99.695770,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,798564.268024,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1798464.572254,99.695770,-0.0,99.695770,4.000000
301_CT_2-3,1,105.367241,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,798569.939495,0.000000,1000000.000000,0.000000,0.000000,0.000000,301,-1798464.572254,105.367241,-0.0,105.367241,4.000000
301_CT_3-0,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999984.727113,0.000000,798508.315141,0.000000,0.000000,0.000000,301,-1798464.572254,28.469999,-0.0,28.469999,22.000000
301_CT_3-1,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999984.727113,0.000000,798508.315141,0.000000,0.000000,0.000000,301,-1798464.572254,28.469999,-0.0,28.469999,11.000000
301_CT_3-2,1,29.286315,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999985.543429,0.000000,798508.315141,0.000000,0.000000,0.000000,301,-1798464.572254,29.286315,-0.0,29.286315,11.000000
301_CT_3-3,1,43.742887,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,798508.315141,0.000000,0.000000,0.000000,301,-1798464.572254,43.742887,-0.0,43.742887,11.000000
301_CT_4-0,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999984.727113,0.000000,798508.315141,0.000000,0.000000,0.000000,301,-1798464.572254,28.469999,-0.0,28.469999,22.000000
301_CT_4-1,1,28.469999,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999984.727113,0.000000,798508.315141,0.000000,0.000000,0.000000,301,-1798464.572254,28.469999,-0.0,28.469999,11.000000
301_CT_4-2,1,29.286315,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,999985.543429,0.000000,798508.315141,0.000000,0.000000,0.000000,301,-1798464.572254,29.286315,-0.0,29.286315,11.000000
301_CT_4-3,1,43.742887,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1000000.000000,0.000000,798508.315141,0.000000,0.000000,0.000000,301,-1798464.572254,43.742887,-0.0,43.742887,11.000000
