,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,37.039067,0.000000,0.000000
C1-2,47.631029,0.000000,0.000000
C1-3,47.437160,0.000000,0.000000
C1-4,47.703763,0.000000,0.000000
C1-5,27.649006,0.000000,0.000000
C1-6,48.853364,0.000000,0.000000
C1-7,50.048430,0.000000,0.000000
C1-8,30.788791,0.000000,0.000000
C1-9,52.547980,0.000000,0.000000
C1-10,54.229504,0.000000,0.000000
C1-11,34.113415,0.000000,0.000000
C1-12,55.496794,0.000000,0.000000
C1-13,55.945378,0.000000,0.000000
C1-14,76.872184,0.000000,0.000000
C1-15,56.285177,0.000000,0.000000
C1-16,61.714959,0.000000,0.000000
C1-17,76.481289,0.000000,0.000000
C1-18,53.998756,0.000000,0.000000
C1-19,69.286220,0.000000,0.000000
C1-20,53.621341,0.000000,0.000000
C1-21,45.688846,0.000000,0.000000
C1-22,33.136749,0.000000,0.000000
C1-23,25.096857,0.000000,0.000000
C1-24,19.568966,0.000000,0.000000
C2-1,-135.813998,0.000000,0.000000
C2-2,-126.953596,0.000000,0.000000
C2-3,-125.804706,0.000000,0.000000
C2-4,-124.738034,0.000000,0.000000
C2-5,-137.564099,0.000000,0.000000
C2-6,-127.068410,0.000000,0.000000
C2-7,-130.910312,0.000000,0.000000
C2-8,-148.622724,0.000000,0.000000
C2-9,-141.739097,0.000000,0.000000
C2-10,-140.656460,0.000000,0.000000
C2-11,-160.322863,0.000000,0.000000
C2-12,-150.158510,0.000000,0.000000
C2-13,-153.891733,0.000000,0.000000
C2-14,-144.103800,0.000000,0.000000
C2-15,-158.833365,0.000000,0.000000
C2-16,-155.093754,0.000000,0.000000
C2-17,-142.291583,0.000000,0.000000
C2-18,-149.514226,0.000000,0.000000
C2-19,-132.900280,0.000000,0.000000
C2-20,-141.376015,0.000000,0.000000
C2-21,-123.127744,0.000000,0.000000
C2-22,-92.188231,0.000000,0.000000
C2-23,-72.385281,0.000000,0.000000
C2-24,-60.255135,0.000000,0.000000
C3-1,29.152176,0.000000,0.000000
C3-2,37.964136,0.000000,0.000000
C3-3,38.034107,0.000000,0.000000
C3-4,36.307919,0.000000,0.000000
C3-5,17.446253,0.000000,0.000000
C3-6,33.132477,0.000000,0.000000
C3-7,30.705602,0.000000,0.000000
C3-8,11.664366,0.000000,0.000000
C3-9,27.349927,0.000000,0.000000
C3-10,19.939136,0.000000,0.000000
C3-11,5.536243,0.000000,0.000000
C3-12,20.708537,0.000000,0.000000
C3-13,21.208614,0.000000,0.000000
C3-14,38.443890,0.000000,0.000000
C3-15,22.889219,0.000000,0.000000
C3-16,26.274862,0.000000,0.000000
C3-17,38.252559,0.000000,0.000000
C3-18,24.073522,0.000000,0.000000
C3-19,34.502872,0.000000,0.000000
C3-20,22.821425,0.000000,0.000000
C3-21,15.324378,0.000000,0.000000
C3-22,3.360245,0.000000,0.000000
C3-23,-2.287027,0.000000,0.000000
C3-24,-3.918070,0.000000,0.000000
C4-1,-22.836836,0.000000,0.000000
C4-2,-15.938840,0.000000,0.000000
