,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,23.865109,0.000000,0.000000
C1-2,24.349627,0.000000,0.000000
C1-3,23.334920,0.000000,0.000000
C1-4,20.543388,0.000000,0.000000
C1-5,19.514336,0.000000,0.000000
C1-6,21.572953,0.000000,0.000000
C1-7,27.434222,0.000000,0.000000
C1-8,48.274257,0.000000,0.000000
C1-9,48.924708,0.000000,0.000000
C1-10,10.053121,0.000000,0.000000
C1-11,-12.867917,0.000000,0.000000
C1-12,8.021129,0.000000,0.000000
C1-13,25.922181,0.000000,0.000000
C1-14,35.289739,0.000000,0.000000
C1-15,7.681171,0.000000,0.000000
C1-16,17.584704,0.000000,0.000000
C1-17,41.951193,0.000000,0.000000
C1-18,48.871266,0.000000,0.000000
C1-19,52.190995,0.000000,0.000000
C1-20,51.833925,0.000000,0.000000
C1-21,48.610441,0.000000,0.000000
C1-22,30.441643,0.000000,0.000000
C1-23,29.835347,0.000000,0.000000
C1-24,33.018228,0.000000,0.000000
C2-1,-79.050676,0.000000,0.000000
C2-2,-79.467136,0.000000,0.000000
C2-3,-77.096732,0.000000,0.000000
C2-4,-70.969770,0.000000,0.000000
C2-5,-68.842980,0.000000,0.000000
C2-6,-73.122406,0.000000,0.000000
C2-7,-85.620612,0.000000,0.000000
C2-8,-125.781319,0.000000,0.000000
C2-9,-125.530831,0.000000,0.000000
C2-10,-44.544266,0.000000,0.000000
C2-11,3.226466,0.000000,0.000000
C2-12,-37.663798,0.000000,0.000000
C2-13,-73.022671,0.000000,0.000000
C2-14,-92.009058,0.000000,0.000000
C2-15,-32.863569,0.000000,0.000000
C2-16,-55.224944,0.000000,0.000000
C2-17,-109.613681,0.000000,0.000000
C2-18,-129.931136,0.000000,0.000000
C2-19,-137.177194,0.000000,0.000000
C2-20,-135.290040,0.000000,0.000000
C2-21,-123.898173,0.000000,0.000000
C2-22,-84.383350,0.000000,0.000000
C2-23,-83.841615,0.000000,0.000000
C2-24,-93.363696,0.000000,0.000000
C3-1,9.675918,0.000000,0.000000
C3-2,11.299097,0.000000,0.000000
C3-3,10.780477,0.000000,0.000000
C3-4,8.025876,0.000000,0.000000
C3-5,7.081887,0.000000,0.000000
C3-6,9.285612,0.000000,0.000000
C3-7,15.187972,0.000000,0.000000
C3-8,34.662393,0.000000,0.000000
C3-9,31.899385,0.000000,0.000000
C3-10,-12.128911,0.000000,0.000000
C3-11,-38.499011,0.000000,0.000000
C3-12,-19.351953,0.000000,0.000000
C3-13,-2.252879,0.000000,0.000000
C3-14,7.126784,0.000000,0.000000
C3-15,-24.427219,0.000000,0.000000
C3-16,-11.473965,0.000000,0.000000
C3-17,17.506208,0.000000,0.000000
C3-18,24.138642,0.000000,0.000000
C3-19,25.741656,0.000000,0.000000
C3-20,24.826566,0.000000,0.000000
C3-21,18.469004,0.000000,0.000000
C3-22,-0.024126,0.000000,0.000000
C3-23,3.901238,0.000000,0.000000
C3-24,13.691245,0.000000,0.000000
C4-1,-25.716096,0.000000,0.000000
C4-2,-24.668944,0.000000,0.000000
C4-3,-24.570612,0.000000,0.000000
C4-4,-25.067830,0.000000,0.000000
C4-5,-25.358718,0.000000,0.000000
C4-6,-24.709705,0.000000,0.000000
C4-7,-23.274915,0.000000,0.000000
C4-8,-14.448565,0.000000,0.000000
C4-9,-13.684771,0.000000,0.000000
C4-10,-26.462902,0.000000,0.000000
C4-11,-34.100076,0.000000,0.000000
C4-12,-25.978950,0.000000,0.000000
C4-13,-19.128675,0.000000,0.000000
C4-14,-15.889248,0.000000,0.000000
C4-15,-23.465734,0.000000,0.000000
C4-16,-21.389456,0.000000,0.000000
C4-17,-16.505149,0.000000,0.000000
