,hour,dispatch,dual,offer,lmp,capacity
320_PV_1-1,1,0.000000,0.000000,,0.000000,38.791667
314_PV_1-1,1,0.000000,0.000000,,0.000000,38.050000
314_PV_2-1,1,0.000000,0.000000,,0.000000,37.825000
313_PV_1-1,1,0.000000,0.000000,,0.000000,79.600000
314_PV_3-1,1,0.000000,0.000000,,0.000000,76.566667
314_PV_4-1,1,0.000000,0.000000,,0.000000,38.991667
313_PV_2-1,1,0.000000,0.000000,,0.000000,77.741667
310_PV_1-1,1,0.000000,0.000000,,0.000000,36.791667
324_PV_1-1,1,0.000000,0.000000,,0.000000,40.025000
312_PV_1-1,1,0.000000,0.000000,,0.000000,74.100000
310_PV_2-1,1,0.000000,0.000000,,0.000000,41.125000
324_PV_2-1,1,0.000000,0.000000,,0.000000,32.450000
324_PV_3-1,1,0.000000,0.000000,,0.000000,34.958333
319_PV_1-1,1,0.000000,0.000000,,0.000000,138.383333
308_RTPV_1-1,1,0.000000,0.000000,,0.000000,75.783333
313_RTPV_1-1,1,0.000000,0.000000,,0.000000,76.666667
313_RTPV_2-1,1,0.000000,0.000000,,0.000000,45.758333
313_RTPV_3-1,1,0.000000,0.000000,,0.000000,51.625000
313_RTPV_4-1,1,0.000000,0.000000,,0.000000,45.916667
313_RTPV_5-1,1,0.000000,0.000000,,0.000000,51.366667
313_RTPV_6-1,1,0.000000,0.000000,,0.000000,43.083333
313_RTPV_7-1,1,0.000000,0.000000,,0.000000,46.541667
313_RTPV_8-1,1,0.000000,0.000000,,0.000000,48.325000
313_RTPV_9-1,1,0.000000,0.000000,,0.000000,48.141667
313_RTPV_10-1,1,0.000000,0.000000,,0.000000,46.675000
313_RTPV_11-1,1,0.000000,0.000000,,0.000000,47.341667
313_RTPV_12-1,1,0.000000,0.000000,,0.000000,14.841667
320_RTPV_1-1,1,0.000000,0.000000,,0.000000,18.600000
320_RTPV_2-1,1,0.000000,0.000000,,0.000000,19.875000
320_RTPV_3-1,1,0.000000,0.000000,,0.000000,20.558333
313_RTPV_13-1,1,0.000000,0.000000,,0.000000,17.308333
320_RTPV_4-1,1,0.000000,0.000000,,0.000000,16.716667
320_RTPV_5-1,1,0.000000,0.000000,,0.000000,10.675000
320_RTPV_6-1,1,0.000000,0.000000,,0.000000,5.375000
309_WIND_1-1,1,0.000000,0.000000,,0.000000,41.108333
317_WIND_1-1,1,0.000000,0.000000,,0.000000,603.950000
303_WIND_1-1,1,0.000000,0.000000,,0.000000,120.125000
320_PV_1-2,2,0.000000,0.000000,,0.000000,38.283333
314_PV_1-2,2,0.000000,0.000000,,0.000000,38.441667
314_PV_2-2,2,0.000000,0.000000,,0.000000,36.383333
313_PV_1-2,2,0.000000,0.000000,,0.000000,78.425000
314_PV_3-2,2,0.000000,0.000000,,0.000000,75.066667
314_PV_4-2,2,0.000000,0.000000,,0.000000,37.458333
313_PV_2-2,2,0.000000,0.000000,,0.000000,75.916667
310_PV_1-2,2,0.000000,0.000000,,0.000000,37.658333
324_PV_1-2,2,0.000000,0.000000,,0.000000,40.825000
312_PV_1-2,2,0.000000,0.000000,,0.000000,71.116667
310_PV_2-2,2,0.000000,0.000000,,0.000000,41.900000
324_PV_2-2,2,0.000000,0.000000,,0.000000,39.666667
324_PV_3-2,2,0.000000,0.000000,,0.000000,39.416667
319_PV_1-2,2,0.000000,0.000000,,0.000000,132.308333
308_RTPV_1-2,2,0.000000,0.000000,,0.000000,69.233333
313_RTPV_1-2,2,0.000000,0.000000,,0.000000,69.575000
313_RTPV_2-2,2,0.000000,0.000000,,0.000000,42.850000
313_RTPV_3-2,2,0.000000,0.000000,,0.000000,47.866667
313_RTPV_4-2,2,0.000000,0.000000,,0.000000,42.925000
313_RTPV_5-2,2,0.000000,0.000000,,0.000000,47.866667
313_RTPV_6-2,2,0.000000,0.000000,,0.000000,38.741667
313_RTPV_7-2,2,0.000000,0.000000,,0.000000,42.450000
313_RTPV_8-2,2,0.000000,0.000000,,0.000000,45.725000
313_RTPV_9-2,2,0.000000,0.000000,,0.000000,44.050000
313_RTPV_10-2,2,0.000000,0.000000,,0.000000,44.225000
313_RTPV_11-2,2,0.000000,0.000000,,0.000000,41.458333
313_RTPV_12-2,2,0.000000,0.000000,,0.000000,14.775000
320_RTPV_1-2,2,0.000000,0.000000,,0.000000,15.750000
320_RTPV_2-2,2,0.000000,0.000000,,0.000000,18.141667
320_RTPV_3-2,2,0.000000,0.000000,,0.000000,17.158333
313_RTPV_13-2,2,0.000000,0.000000,,0.000000,15.033333
320_RTPV_4-2,2,0.000000,0.000000,,0.000000,8.458333
320_RTPV_5-2,2,0.000000,0.000000,,0.000000,16.525000
320_RTPV_6-2,2,0.000000,0.000000,,0.000000,5.966667
309_WIND_1-2,2,0.000000,0.000000,,0.000000,41.550000
317_WIND_1-2,2,0.000000,0.000000,,0.000000,592.791667
303_WIND_1-2,2,0.000000,0.000000,,0.000000,150.566667
320_PV_1-3,3,0.000000,0.000000,,0.000000,36.383333
314_PV_1-3,3,0.000000,0.000000,,0.000000,38.216667
314_PV_2-3,3,0.000000,0.000000,,0.000000,36.041667
313_PV_1-3,3,0.000000,0.000000,,0.000000,71.500000
314_PV_3-3,3,0.000000,0.000000,,0.000000,67.583333
314_PV_4-3,3,0.000000,0.000000,,0.000000,35.308333
