,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.977907,0.000000,0.000000
C1-2,2.270231,0.000000,0.000000
C1-3,8.774823,0.000000,0.000000
C1-4,23.366402,0.000000,0.000000
C1-5,13.329637,0.000000,0.000000
C1-6,47.120951,0.000000,0.000000
C1-7,49.493712,0.000000,0.000000
C1-8,46.572158,0.000000,0.000000
C1-9,42.581057,0.000000,0.000000
C1-10,29.458188,0.000000,0.000000
C1-11,25.337965,0.000000,0.000000
C1-12,20.815755,0.000000,0.000000
C1-13,30.246509,0.000000,0.000000
C1-14,40.866877,0.000000,0.000000
C1-15,51.390957,0.000000,0.000000
C1-16,56.785717,0.000000,0.000000
C1-17,56.520139,0.000000,0.000000
C1-18,55.494573,0.000000,0.000000
C1-19,54.363627,0.000000,0.000000
C1-20,54.181207,0.000000,0.000000
C1-21,53.480006,0.000000,0.000000
C1-22,52.458257,0.000000,0.000000
C1-23,36.773299,0.000000,0.000000
C1-24,47.787026,0.000000,0.000000
C2-1,-114.074109,0.000000,0.000000
C2-2,-18.746253,0.000000,0.000000
C2-3,-32.598111,0.000000,0.000000
C2-4,-64.080090,0.000000,0.000000
C2-5,-46.149250,0.000000,0.000000
C2-6,-117.509486,0.000000,0.000000
C2-7,-127.277236,0.000000,0.000000
C2-8,-124.641549,0.000000,0.000000
C2-9,-119.423911,0.000000,0.000000
C2-10,-95.025955,0.000000,0.000000
C2-11,-87.965723,0.000000,0.000000
C2-12,-80.370384,0.000000,0.000000
C2-13,-101.323901,0.000000,0.000000
C2-14,-120.907087,0.000000,0.000000
C2-15,-139.495750,0.000000,0.000000
C2-16,-149.351165,0.000000,0.000000
C2-17,-145.740138,0.000000,0.000000
C2-18,-141.637101,0.000000,0.000000
C2-19,-137.470534,0.000000,0.000000
C2-20,-137.032430,0.000000,0.000000
C2-21,-135.634924,0.000000,0.000000
C2-22,-131.724328,0.000000,0.000000
C2-23,-95.501886,0.000000,0.000000
C2-24,-113.927916,0.000000,0.000000
C3-1,20.619454,0.000000,0.000000
C3-2,-25.804902,0.000000,0.000000
C3-3,-17.586392,0.000000,0.000000
C3-4,-1.464736,0.000000,0.000000
C3-5,-12.040875,0.000000,0.000000
C3-6,21.223081,0.000000,0.000000
C3-7,23.510193,0.000000,0.000000
C3-8,19.046930,0.000000,0.000000
C3-9,14.147504,0.000000,0.000000
C3-10,-0.424641,0.000000,0.000000
C3-11,-6.917955,0.000000,0.000000
C3-12,-12.570648,0.000000,0.000000
C3-13,-3.542032,0.000000,0.000000
C3-14,3.422051,0.000000,0.000000
C3-15,10.495809,0.000000,0.000000
C3-16,15.041880,0.000000,0.000000
C3-17,13.883080,0.000000,0.000000
C3-18,15.469324,0.000000,0.000000
C3-19,17.439080,0.000000,0.000000
C3-20,17.900891,0.000000,0.000000
C3-21,19.852483,0.000000,0.000000
C3-22,21.541933,0.000000,0.000000
C3-23,7.103152,0.000000,0.000000
C3-24,19.999163,0.000000,0.000000
C4-1,-3.663234,0.000000,0.000000
C4-2,-21.102485,0.000000,0.000000
C4-3,-19.009920,0.000000,0.000000
C4-4,-15.382866,0.000000,0.000000
C4-5,-21.353036,0.000000,0.000000
C4-6,-12.626723,0.000000,0.000000
C4-7,-16.657055,0.000000,0.000000
C4-8,-21.309703,0.000000,0.000000
C4-9,-25.745544,0.000000,0.000000
