,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,49.746530,0.000000,0.000000
C1-2,49.336031,0.000000,0.000000
C1-3,49.332345,0.000000,0.000000
C1-4,49.152660,0.000000,0.000000
C1-5,43.707417,0.000000,0.000000
C1-6,36.085114,0.000000,0.000000
C1-7,38.266729,0.000000,0.000000
C1-8,35.106596,0.000000,0.000000
C1-9,33.492354,0.000000,0.000000
C1-10,28.741045,0.000000,0.000000
C1-11,26.470746,0.000000,0.000000
C1-12,26.178917,0.000000,0.000000
C1-13,27.151345,0.000000,0.000000
C1-14,21.962521,0.000000,0.000000
C1-15,23.484202,0.000000,0.000000
C1-16,22.095732,0.000000,0.000000
C1-17,15.073294,0.000000,0.000000
C1-18,16.935765,0.000000,0.000000
C1-19,19.238380,0.000000,0.000000
C1-20,15.534889,0.000000,0.000000
C1-21,8.828805,0.000000,0.000000
C1-22,14.923436,0.000000,0.000000
C1-23,41.235501,0.000000,0.000000
C1-24,35.632540,0.000000,0.000000
C2-1,-121.846960,0.000000,0.000000
C2-2,-120.705973,0.000000,0.000000
C2-3,-119.000416,0.000000,0.000000
C2-4,-119.207969,0.000000,0.000000
C2-5,-112.368514,0.000000,0.000000
C2-6,-99.729985,0.000000,0.000000
C2-7,-104.143315,0.000000,0.000000
C2-8,-96.069485,0.000000,0.000000
C2-9,-93.950669,0.000000,0.000000
C2-10,-84.320537,0.000000,0.000000
C2-11,-80.920491,0.000000,0.000000
C2-12,-81.213000,0.000000,0.000000
C2-13,-83.338722,0.000000,0.000000
C2-14,-72.046179,0.000000,0.000000
C2-15,-77.592156,0.000000,0.000000
C2-16,-76.447867,0.000000,0.000000
C2-17,-64.548522,0.000000,0.000000
C2-18,-68.324284,0.000000,0.000000
C2-19,-72.894891,0.000000,0.000000
C2-20,-64.309947,0.000000,0.000000
C2-21,-45.541799,0.000000,0.000000
C2-22,-55.224400,0.000000,0.000000
C2-23,-107.910946,0.000000,0.000000
C2-24,-94.552017,0.000000,0.000000
C3-1,26.334533,0.000000,0.000000
C3-2,27.278199,0.000000,0.000000
C3-3,26.242573,0.000000,0.000000
C3-4,27.091058,0.000000,0.000000
C3-5,25.594346,0.000000,0.000000
C3-6,18.203555,0.000000,0.000000
C3-7,14.763648,0.000000,0.000000
C3-8,6.382061,0.000000,0.000000
C3-9,1.828767,0.000000,0.000000
C3-10,-5.868784,0.000000,0.000000
C3-11,-9.971008,0.000000,0.000000
C3-12,-10.343328,0.000000,0.000000
C3-13,-9.651282,0.000000,0.000000
C3-14,-16.455412,0.000000,0.000000
C3-15,-12.191951,0.000000,0.000000
C3-16,-10.769029,0.000000,0.000000
C3-17,-14.313447,0.000000,0.000000
C3-18,-15.167634,0.000000,0.000000
C3-19,-14.402964,0.000000,0.000000
C3-20,-16.687770,0.000000,0.000000
C3-21,-24.564451,0.000000,0.000000
C3-22,-17.166926,0.000000,0.000000
C3-23,13.768770,0.000000,0.000000
C3-24,10.078604,0.000000,0.000000
C4-1,-10.042926,0.000000,0.000000
C4-2,-9.492293,0.000000,0.000000
C4-3,-8.139705,0.000000,0.000000
C4-4,-8.460684,0.000000,0.000000
C4-5,-13.283543,0.000000,0.000000
C4-6,-18.584543,0.000000,0.000000
C4-7,-19.449076,0.000000,0.000000
C4-8,-20.427401,0.000000,0.000000
C4-9,-22.957261,0.000000,0.000000
C4-10,-25.450852,0.000000,0.000000
C4-11,-27.934220,0.000000,0.000000
C4-12,-28.918534,0.000000,0.000000
C4-13,-28.814352,0.000000,0.000000
C4-14,-30.319249,0.000000,0.000000
C4-15,-31.395965,0.000000,0.000000
C4-16,-32.687219,0.000000,0.000000
C4-17,-36.377950,0.000000,0.000000
C4-18,-36.521365,0.000000,0.000000
C4-19,-36.077093,0.000000,0.000000
C4-20,-35.896384,0.000000,0.000000
C4-21,-33.514724,0.000000,0.000000
C4-22,-28.434149,0.000000,0.000000
C4-23,-17.381217,0.000000,0.000000
C4-24,-16.814475,0.000000,0.000000
C5-1,18.684900,0.000000,0.000000
C5-2,19.227407,0.000000,0.000000
C5-3,18.469519,0.000000,0.000000
C5-4,19.025080,0.000000,0.000000
C5-5,18.310637,0.000000,0.000000
C5-6,13.856622,0.000000,0.000000
C5-7,11.808813,0.000000,0.000000
C5-8,6.512326,0.000000,0.000000
C5-9,3.791596,0.000000,0.000000
C5-10,-0.997758,0.000000,0.000000
C5-11,-3.454413,0.000000,0.000000
C5-12,-3.621151,0.000000,0.000000
C5-13,-3.167172,0.000000,0.000000
C5-14,-7.480173,0.000000,0.000000
C5-15,-4.666971,0.000000,0.000000
C5-16,-3.705502,0.000000,0.000000
C5-17,-5.840436,0.000000,0.000000
C5-18,-6.320156,0.000000,0.000000
C5-19,-5.812019,0.000000,0.000000
C5-20,-7.364046,0.000000,0.000000
C5-21,-12.692693,0.000000,0.000000
C5-22,-8.257094,0.000000,0.000000
C5-23,11.098686,0.000000,0.000000
C5-24,8.580675,0.000000,0.000000
C6-1,175.000000,0.000000,0.000000
C6-2,175.000000,0.000000,0.000000
C6-3,175.000000,0.000000,0.000000
C6-4,175.000000,0.000000,0.000000
C6-5,152.808883,0.000000,0.000000
C6-6,117.790542,0.000000,0.000000
C6-7,120.798043,0.000000,0.000000
C6-8,102.134746,0.000000,0.000000
C6-9,90.852594,0.000000,0.000000
C6-10,66.689937,0.000000,0.000000
C6-11,53.793563,0.000000,0.000000
C6-12,51.794290,0.000000,0.000000
C6-13,55.603863,0.000000,0.000000
C6-14,31.629813,0.000000,0.000000
C6-15,39.695578,0.000000,0.000000
C6-16,35.702576,0.000000,0.000000
C6-17,7.411127,0.000000,0.000000
C6-18,12.389472,0.000000,0.000000
C6-19,20.726748,0.000000,0.000000
C6-20,6.974705,0.000000,0.000000
C6-21,-19.962721,0.000000,0.000000
C6-22,10.066124,0.000000,0.000000
C6-23,130.767689,0.000000,0.000000
C6-24,109.956496,0.000000,0.000000
C7-1,140.981391,0.000000,0.000000
C7-2,211.390829,0.000000,0.000000
C7-3,171.566288,0.000000,0.000000
C7-4,137.553819,0.000000,0.000000
C7-5,48.986351,0.000000,0.000000
C7-6,-7.681053,0.000000,0.000000
C7-7,-8.054590,0.000000,0.000000
C7-8,-92.130613,0.000000,0.000000
C7-9,-127.269175,0.000000,0.000000
C7-10,-122.257601,0.000000,0.000000
C7-11,-126.831976,0.000000,0.000000
C7-12,-132.702978,0.000000,0.000000
C7-13,-129.882016,0.000000,0.000000
C7-14,-182.198986,0.000000,0.000000
C7-15,-146.729243,0.000000,0.000000
C7-16,-127.694506,0.000000,0.000000
C7-17,-141.132439,0.000000,0.000000
C7-18,-161.040678,0.000000,0.000000
C7-19,-163.745763,0.000000,0.000000
C7-20,-146.856032,0.000000,0.000000
C7-21,-80.841485,0.000000,0.000000
C7-22,-5.395340,0.000000,0.000000
C7-23,46.885240,0.000000,0.000000
C7-24,142.390032,0.000000,0.000000
C8-1,-41.401041,0.000000,0.000000
C8-2,-39.703303,0.000000,0.000000
C8-3,-37.894213,0.000000,0.000000
C8-4,-37.899153,0.000000,0.000000
C8-5,-42.792243,0.000000,0.000000
C8-6,-49.720259,0.000000,0.000000
C8-7,-54.470904,0.000000,0.000000
C8-8,-57.825376,0.000000,0.000000
C8-9,-63.129359,0.000000,0.000000
C8-10,-67.554300,0.000000,0.000000
C8-11,-72.074366,0.000000,0.000000
C8-12,-73.714169,0.000000,0.000000
C8-13,-73.926026,0.000000,0.000000
C8-14,-75.910834,0.000000,0.000000
C8-15,-76.823677,0.000000,0.000000
C8-16,-77.307276,0.000000,0.000000
C8-17,-80.085004,0.000000,0.000000
C8-18,-82.124655,0.000000,0.000000
C8-19,-82.710437,0.000000,0.000000
C8-20,-80.750544,0.000000,0.000000
C8-21,-75.501121,0.000000,0.000000
C8-22,-67.810296,0.000000,0.000000
C8-23,-53.632087,0.000000,0.000000
C8-24,-50.279518,0.000000,0.000000
C9-1,-3.752307,0.000000,0.000000
C9-2,-1.708040,0.000000,0.000000
C9-3,-2.305672,0.000000,0.000000
C9-4,-1.153959,0.000000,0.000000
C9-5,-2.718055,0.000000,0.000000
C9-6,-11.669903,0.000000,0.000000
C9-7,-18.838377,0.000000,0.000000
C9-8,-29.499780,0.000000,0.000000
C9-9,-36.714731,0.000000,0.000000
C9-10,-46.265336,0.000000,0.000000
C9-11,-52.321688,0.000000,0.000000
C9-12,-53.322923,0.000000,0.000000
C9-13,-52.934104,0.000000,0.000000
C9-14,-60.198689,0.000000,0.000000
C9-15,-55.777999,0.000000,0.000000
C9-16,-53.580165,0.000000,0.000000
C9-17,-56.248594,0.000000,0.000000
C9-18,-58.922142,0.000000,0.000000
C9-19,-59.145767,0.000000,0.000000
C9-20,-59.723519,0.000000,0.000000
C9-21,-64.848696,0.000000,0.000000
C9-22,-54.946742,0.000000,0.000000
C9-23,-21.012470,0.000000,0.000000
C9-24,-22.029747,0.000000,0.000000
C10-1,-38.946229,0.000000,0.000000
C10-2,-36.295529,0.000000,0.000000
C10-3,-36.214442,0.000000,0.000000
C10-4,-35.078052,0.000000,0.000000
C10-5,-35.921568,0.000000,0.000000
C10-6,-43.365776,0.000000,0.000000
C10-7,-52.555629,0.000000,0.000000
C10-8,-62.219088,0.000000,0.000000
C10-9,-70.038205,0.000000,0.000000
C10-10,-78.377069,0.000000,0.000000
C10-11,-84.576843,0.000000,0.000000
C10-12,-85.948263,0.000000,0.000000
C10-13,-86.075112,0.000000,0.000000
C10-14,-91.270112,0.000000,0.000000
C10-15,-88.155740,0.000000,0.000000
C10-16,-85.709931,0.000000,0.000000
C10-17,-86.166915,0.000000,0.000000
C10-18,-90.131608,0.000000,0.000000
C10-19,-91.516543,0.000000,0.000000
C10-20,-89.798718,0.000000,0.000000
C10-21,-89.856882,0.000000,0.000000
C10-22,-80.624066,0.000000,0.000000
C10-23,-55.524535,0.000000,0.000000
C10-24,-52.922647,0.000000,0.000000
C11-1,-52.969788,0.000000,0.000000
C11-2,-51.032110,0.000000,0.000000
C11-3,-50.260993,0.000000,0.000000
C11-4,-49.727143,0.000000,0.000000
C11-5,-49.845777,0.000000,0.000000
C11-6,-52.594116,0.000000,0.000000
C11-7,-59.158494,0.000000,0.000000
C11-8,-63.172256,0.000000,0.000000
C11-9,-67.858273,0.000000,0.000000
C11-10,-71.120690,0.000000,0.000000
C11-11,-74.561057,0.000000,0.000000
C11-12,-75.668301,0.000000,0.000000
C11-13,-76.202151,0.000000,0.000000
C11-14,-77.012812,0.000000,0.000000
C11-15,-76.736001,0.000000,0.000000
C11-16,-75.371718,0.000000,0.000000
C11-17,-73.829484,0.000000,0.000000
C11-18,-77.032585,0.000000,0.000000
C11-19,-78.772540,0.000000,0.000000
C11-20,-75.767162,0.000000,0.000000
C11-21,-70.922967,0.000000,0.000000
C11-22,-66.513761,0.000000,0.000000
C11-23,-61.234578,0.000000,0.000000
C11-24,-56.528788,0.000000,0.000000
C12-1-1,-47.509231,0.000000,0.000000
C12-1-2,-48.794517,0.000000,0.000000
C12-1-3,-52.606539,0.000000,0.000000
C12-1-4,-63.337007,0.000000,0.000000
C12-1-5,-79.824839,0.000000,0.000000
C12-1-6,-85.139018,0.000000,0.000000
C12-1-7,-91.850946,0.000000,0.000000
C12-1-8,-93.169045,0.000000,0.000000
C12-1-9,-98.334139,0.000000,0.000000
C12-1-10,-100.223062,0.000000,0.000000
C12-1-11,-104.101337,0.000000,0.000000
C12-1-12,-105.957397,0.000000,0.000000
C12-1-13,-106.856834,0.000000,0.000000
C12-1-14,-105.551659,0.000000,0.000000
C12-1-15,-108.138430,0.000000,0.000000
C12-1-16,-108.183966,0.000000,0.000000
C12-1-17,-107.327123,0.000000,0.000000
C12-1-18,-110.805608,0.000000,0.000000
C12-1-19,-112.918989,0.000000,0.000000
C12-1-20,-107.233786,0.000000,0.000000
C12-1-21,-82.499595,0.000000,0.000000
C12-1-22,-67.074953,0.000000,0.000000
C12-1-23,-61.628567,0.000000,0.000000
C12-1-24,-52.968998,0.000000,0.000000
C13-2-1,-6.339893,0.000000,0.000000
C13-2-2,-7.507853,0.000000,0.000000
C13-2-3,-14.353160,0.000000,0.000000
C13-2-4,-23.766868,0.000000,0.000000
C13-2-5,-34.601627,0.000000,0.000000
C13-2-6,-39.403848,0.000000,0.000000
C13-2-7,-48.236368,0.000000,0.000000
C13-2-8,-56.422856,0.000000,0.000000
C13-2-9,-62.354251,0.000000,0.000000
C13-2-10,-68.190731,0.000000,0.000000
C13-2-11,-72.459245,0.000000,0.000000
C13-2-12,-73.225140,0.000000,0.000000
C13-2-13,-73.589860,0.000000,0.000000
C13-2-14,-76.814681,0.000000,0.000000
C13-2-15,-73.572421,0.000000,0.000000
C13-2-16,-70.296261,0.000000,0.000000
C13-2-17,-67.501096,0.000000,0.000000
C13-2-18,-71.607552,0.000000,0.000000
C13-2-19,-73.614386,0.000000,0.000000
C13-2-20,-70.474521,0.000000,0.000000
C13-2-21,-57.104325,0.000000,0.000000
C13-2-22,-41.862967,0.000000,0.000000
C13-2-23,-22.058247,0.000000,0.000000
C13-2-24,-17.916173,0.000000,0.000000
C14-1,51.921579,0.000000,0.000000
C14-2,51.478066,0.000000,0.000000
C14-3,48.451571,0.000000,0.000000
C14-4,35.714394,0.000000,0.000000
C14-5,12.900878,0.000000,0.000000
C14-6,-4.459136,0.000000,0.000000
C14-7,-24.280813,0.000000,0.000000
C14-8,-57.376547,0.000000,0.000000
C14-9,-71.168742,0.000000,0.000000
C14-10,-80.974285,0.000000,0.000000
C14-11,-89.070625,0.000000,0.000000
C14-12,-89.602523,0.000000,0.000000
C14-13,-89.067932,0.000000,0.000000
C14-14,-107.516484,0.000000,0.000000
C14-15,-89.626808,0.000000,0.000000
C14-16,-77.360839,0.000000,0.000000
C14-17,-72.237461,0.000000,0.000000
C14-18,-82.300868,0.000000,0.000000
C14-19,-85.649384,0.000000,0.000000
C14-20,-77.174433,0.000000,0.000000
C14-21,-73.858235,0.000000,0.000000
C14-22,-44.605839,0.000000,0.000000
C14-23,15.069198,0.000000,0.000000
C14-24,18.493948,0.000000,0.000000
C15-1,40.093779,0.000000,0.000000
C15-2,45.862493,0.000000,0.000000
C15-3,30.782287,0.000000,0.000000
C15-4,32.248112,0.000000,0.000000
C15-5,19.490169,0.000000,0.000000
C15-6,4.983639,0.000000,0.000000
C15-7,-18.198220,0.000000,0.000000
C15-8,-45.565952,0.000000,0.000000
C15-9,-62.560411,0.000000,0.000000
C15-10,-96.207106,0.000000,0.000000
C15-11,-111.171994,0.000000,0.000000
C15-12,-111.277041,0.000000,0.000000
C15-13,-110.694076,0.000000,0.000000
C15-14,-126.225800,0.000000,0.000000
C15-15,-110.836789,0.000000,0.000000
C15-16,-100.531565,0.000000,0.000000
C15-17,-96.216485,0.000000,0.000000
C15-18,-104.060542,0.000000,0.000000
C15-19,-106.543185,0.000000,0.000000
C15-20,-100.967552,0.000000,0.000000
C15-21,-88.072356,0.000000,0.000000
C15-22,-67.507553,0.000000,0.000000
C15-23,17.026095,0.000000,0.000000
C15-24,7.532062,0.000000,0.000000
C16-1,-26.984352,0.000000,0.000000
C16-2,-27.661475,0.000000,0.000000
C16-3,-24.862508,0.000000,0.000000
C16-4,-40.336191,0.000000,0.000000
C16-5,-74.426999,0.000000,0.000000
C16-6,-93.034335,0.000000,0.000000
C16-7,-109.045054,0.000000,0.000000
C16-8,-129.337790,0.000000,0.000000
C16-9,-141.850820,0.000000,0.000000
C16-10,-144.161737,0.000000,0.000000
C16-11,-151.622517,0.000000,0.000000
C16-12,-154.272023,0.000000,0.000000
C16-13,-154.764345,0.000000,0.000000
C16-14,-164.718831,0.000000,0.000000
C16-15,-157.845447,0.000000,0.000000
C16-16,-151.826544,0.000000,0.000000
C16-17,-150.378603,0.000000,0.000000
C16-18,-159.375444,0.000000,0.000000
C16-19,-162.979641,0.000000,0.000000
C16-20,-149.453562,0.000000,0.000000
C16-21,-124.096108,0.000000,0.000000
C16-22,-94.056707,0.000000,0.000000
C16-23,-61.286838,0.000000,0.000000
C16-24,-49.068963,0.000000,0.000000
C17-1,-38.986946,0.000000,0.000000
C17-2,-33.360037,0.000000,0.000000
C17-3,-42.792915,0.000000,0.000000
C17-4,-43.853698,0.000000,0.000000
C17-5,-67.740329,0.000000,0.000000
C17-6,-83.452012,0.000000,0.000000
C17-7,-102.872570,0.000000,0.000000
C17-8,-117.352654,0.000000,0.000000
C17-9,-133.115273,0.000000,0.000000
C17-10,-159.619674,0.000000,0.000000
C17-11,-174.050507,0.000000,0.000000
C17-12,-176.266853,0.000000,0.000000
C17-13,-176.710088,0.000000,0.000000
C17-14,-183.704639,0.000000,0.000000
C17-15,-179.368876,0.000000,0.000000
C17-16,-175.339694,0.000000,0.000000
C17-17,-174.711997,0.000000,0.000000
C17-18,-181.456690,0.000000,0.000000
C17-19,-184.182217,0.000000,0.000000
C17-20,-173.598302,0.000000,0.000000
C17-21,-138.520290,0.000000,0.000000
C17-22,-117.296870,0.000000,0.000000
C17-23,-59.301021,0.000000,0.000000
C17-24,-60.192847,0.000000,0.000000
C18-1,30.164507,0.000000,0.000000
C18-2,12.088462,0.000000,0.000000
C18-3,-10.763824,0.000000,0.000000
C18-4,34.156514,0.000000,0.000000
C18-5,14.963478,0.000000,0.000000
C18-6,-7.562483,0.000000,0.000000
C18-7,-57.818354,0.000000,0.000000
C18-8,-60.713666,0.000000,0.000000
C18-9,-72.162789,0.000000,0.000000
C18-10,-119.820560,0.000000,0.000000
C18-11,-152.592137,0.000000,0.000000
C18-12,-152.098263,0.000000,0.000000
C18-13,-151.683700,0.000000,0.000000
C18-14,-154.240975,0.000000,0.000000
C18-15,-151.681351,0.000000,0.000000
C18-16,-150.681776,0.000000,0.000000
C18-17,-151.130098,0.000000,0.000000
C18-18,-150.804834,0.000000,0.000000
C18-19,-150.247418,0.000000,0.000000
C18-20,-142.892498,0.000000,0.000000
C18-21,-186.704596,0.000000,0.000000
C18-22,-174.494968,0.000000,0.000000
C18-23,41.521780,0.000000,0.000000
C18-24,-40.461707,0.000000,0.000000
C19-1,-5.227280,0.000000,0.000000
C19-2,11.728129,0.000000,0.000000
C19-3,34.352887,0.000000,0.000000
C19-4,-38.778312,0.000000,0.000000
C19-5,-76.489598,0.000000,0.000000
C19-6,-89.930989,0.000000,0.000000
C19-7,-75.507514,0.000000,0.000000
C19-8,-126.000670,0.000000,0.000000
C19-9,-140.856773,0.000000,0.000000
C19-10,-105.315462,0.000000,0.000000
C19-11,-88.101005,0.000000,0.000000
C19-12,-91.776283,0.000000,0.000000
C19-13,-92.148576,0.000000,0.000000
C19-14,-117.994340,0.000000,0.000000
C19-15,-95.790905,0.000000,0.000000
C19-16,-78.505607,0.000000,0.000000
C19-17,-71.485966,0.000000,0.000000
C19-18,-90.871479,0.000000,0.000000
C19-19,-98.381607,0.000000,0.000000
C19-20,-83.735497,0.000000,0.000000
C19-21,-11.249747,0.000000,0.000000
C19-22,35.832422,0.000000,0.000000
C19-23,-87.739419,0.000000,0.000000
C19-24,9.886692,0.000000,0.000000
C20-1,51.484116,0.000000,0.000000
C20-2,22.210533,0.000000,0.000000
C20-3,21.085062,0.000000,0.000000
C20-4,40.404486,0.000000,0.000000
C20-5,3.086280,0.000000,0.000000
C20-6,-24.583084,0.000000,0.000000
C20-7,-68.782229,0.000000,0.000000
C20-8,-82.002263,0.000000,0.000000
C20-9,-87.679305,0.000000,0.000000
C20-10,-92.363400,0.000000,0.000000
C20-11,-112.754420,0.000000,0.000000
C20-12,-113.029945,0.000000,0.000000
C20-13,-112.702574,0.000000,0.000000
C20-14,-120.517434,0.000000,0.000000
C20-15,-113.450361,0.000000,0.000000
C20-16,-108.916543,0.000000,0.000000
C20-17,-107.907906,0.000000,0.000000
C20-18,-111.583022,0.000000,0.000000
C20-19,-112.586342,0.000000,0.000000
C20-20,-100.005403,0.000000,0.000000
C20-21,-161.083641,0.000000,0.000000
C20-22,-133.214628,0.000000,0.000000
C20-23,37.994473,0.000000,0.000000
C20-24,-20.702908,0.000000,0.000000
C21-1,14.514383,0.000000,0.000000
C21-2,52.175256,0.000000,0.000000
C21-3,25.129310,0.000000,0.000000
C21-4,-7.685072,0.000000,0.000000
C21-5,-38.286440,0.000000,0.000000
C21-6,-53.885289,0.000000,0.000000
C21-7,-52.288561,0.000000,0.000000
C21-8,-80.916343,0.000000,0.000000
C21-9,-107.996378,0.000000,0.000000
C21-10,-163.463379,0.000000,0.000000
C21-11,-172.468081,0.000000,0.000000
C21-12,-174.513948,0.000000,0.000000
C21-13,-174.701590,0.000000,0.000000
C21-14,-189.413005,0.000000,0.000000
C21-15,-176.755303,0.000000,0.000000
C21-16,-166.954715,0.000000,0.000000
C21-17,-163.020576,0.000000,0.000000
C21-18,-173.934210,0.000000,0.000000
C21-19,-178.139060,0.000000,0.000000
C21-20,-164.118785,0.000000,0.000000
C21-21,-16.759006,0.000000,0.000000
C21-22,13.760205,0.000000,0.000000
C21-23,-8.736067,0.000000,0.000000
C21-24,42.600456,0.000000,0.000000
C22-1,-12.222327,0.000000,0.000000
C22-2,45.918324,0.000000,0.000000
C22-3,16.384598,0.000000,0.000000
C22-4,-30.860544,0.000000,0.000000
C22-5,-44.389955,0.000000,0.000000
C22-6,-46.515919,0.000000,0.000000
C22-7,-20.349924,0.000000,0.000000
C22-8,-44.974445,0.000000,0.000000
C22-9,-72.034965,0.000000,0.000000
C22-10,-131.293156,0.000000,0.000000
C22-11,-130.082664,0.000000,0.000000
C22-12,-132.211674,0.000000,0.000000
C22-13,-132.601502,0.000000,0.000000
C22-14,-144.692238,0.000000,0.000000
C22-15,-134.478702,0.000000,0.000000
C22-16,-126.053027,0.000000,0.000000
C22-17,-122.223177,0.000000,0.000000
C22-18,-132.363601,0.000000,0.000000
C22-19,-136.498212,0.000000,0.000000
C22-20,-127.807618,0.000000,0.000000
C22-21,70.188405,0.000000,0.000000
C22-22,88.839563,0.000000,0.000000
C22-23,-30.702681,0.000000,0.000000
C22-24,58.919354,0.000000,0.000000
C23-1,-51.319725,0.000000,0.000000
C23-2,92.084627,0.000000,0.000000
C23-3,15.355939,0.000000,0.000000
C23-4,-49.179838,0.000000,0.000000
C23-5,-120.550244,0.000000,0.000000
C23-6,-171.557057,0.000000,0.000000
C23-7,-167.321497,0.000000,0.000000
C23-8,-224.044011,0.000000,0.000000
C23-9,-246.172813,0.000000,0.000000
C23-10,-215.694772,0.000000,0.000000
C23-11,-203.819765,0.000000,0.000000
C23-12,-209.213486,0.000000,0.000000
C23-13,-210.414315,0.000000,0.000000
C23-14,-237.518224,0.000000,0.000000
C23-15,-214.885179,0.000000,0.000000
C23-16,-195.482513,0.000000,0.000000
C23-17,-186.069326,0.000000,0.000000
C23-18,-210.426050,0.000000,0.000000
C23-19,-220.636590,0.000000,0.000000
C23-20,-166.017799,0.000000,0.000000
C23-21,17.511141,0.000000,0.000000
C23-22,75.150159,0.000000,0.000000
C23-23,-9.767150,0.000000,0.000000
C23-24,101.904012,0.000000,0.000000
C24-1,61.100381,0.000000,0.000000
C24-2,34.626558,0.000000,0.000000
C24-3,31.089974,0.000000,0.000000
C24-4,29.651327,0.000000,0.000000
C24-5,57.910611,0.000000,0.000000
C24-6,46.270799,0.000000,0.000000
C24-7,19.792953,0.000000,0.000000
C24-8,77.943470,0.000000,0.000000
C24-9,98.983866,0.000000,0.000000
C24-10,33.061455,0.000000,0.000000
C24-11,22.258361,0.000000,0.000000
C24-12,25.160080,0.000000,0.000000
C24-13,26.683711,0.000000,0.000000
C24-14,29.465697,0.000000,0.000000
C24-15,23.992632,0.000000,0.000000
C24-16,14.822993,0.000000,0.000000
C24-17,1.369228,0.000000,0.000000
C24-18,13.316503,0.000000,0.000000
C24-19,22.485612,0.000000,0.000000
C24-20,-13.383772,0.000000,0.000000
C24-21,-115.980868,0.000000,0.000000
C24-22,-104.708411,0.000000,0.000000
C24-23,15.871946,0.000000,0.000000
C24-24,-31.160307,0.000000,0.000000
C25-1-1,-11.071020,0.000000,0.000000
C25-1-2,39.060920,0.000000,0.000000
C25-1-3,38.123884,0.000000,0.000000
C25-1-4,-9.102771,0.000000,0.000000
C25-1-5,-55.483241,0.000000,0.000000
C25-1-6,-93.665265,0.000000,0.000000
C25-1-7,-88.936742,0.000000,0.000000
C25-1-8,-157.396581,0.000000,0.000000
C25-1-9,-149.670811,0.000000,0.000000
C25-1-10,-118.340562,0.000000,0.000000
C25-1-11,-119.588588,0.000000,0.000000
C25-1-12,-125.378935,0.000000,0.000000
C25-1-13,-125.407192,0.000000,0.000000
C25-1-14,-153.984588,0.000000,0.000000
C25-1-15,-133.162187,0.000000,0.000000
C25-1-16,-117.330088,0.000000,0.000000
C25-1-17,-115.366620,0.000000,0.000000
C25-1-18,-135.355908,0.000000,0.000000
C25-1-19,-143.499268,0.000000,0.000000
C25-1-20,-101.521392,0.000000,0.000000
C25-1-21,-25.602298,0.000000,0.000000
C25-1-22,21.067086,0.000000,0.000000
C25-1-23,-5.422131,0.000000,0.000000
C25-1-24,35.267499,0.000000,0.000000
C25-2-1,-11.071020,0.000000,0.000000
C25-2-2,39.060920,0.000000,0.000000
C25-2-3,38.123884,0.000000,0.000000
C25-2-4,-9.102771,0.000000,0.000000
C25-2-5,-55.483241,0.000000,0.000000
C25-2-6,-93.665265,0.000000,0.000000
C25-2-7,-88.936742,0.000000,0.000000
C25-2-8,-157.396581,0.000000,0.000000
C25-2-9,-149.670811,0.000000,0.000000
C25-2-10,-118.340562,0.000000,0.000000
C25-2-11,-119.588588,0.000000,0.000000
C25-2-12,-125.378935,0.000000,0.000000
C25-2-13,-125.407192,0.000000,0.000000
C25-2-14,-153.984588,0.000000,0.000000
C25-2-15,-133.162187,0.000000,0.000000
C25-2-16,-117.330088,0.000000,0.000000
C25-2-17,-115.366620,0.000000,0.000000
C25-2-18,-135.355908,0.000000,0.000000
C25-2-19,-143.499268,0.000000,0.000000
C25-2-20,-101.521392,0.000000,0.000000
C25-2-21,-25.602298,0.000000,0.000000
C25-2-22,21.067086,0.000000,0.000000
C25-2-23,-5.422131,0.000000,0.000000
C25-2-24,35.267499,0.000000,0.000000
C26-1,-173.289724,0.000000,0.000000
C26-2,-242.165829,0.000000,0.000000
C26-3,-234.799622,0.000000,0.000000
C26-4,-137.553819,0.000000,0.000000
C26-5,-73.353018,0.000000,0.000000
C26-6,7.681053,0.000000,0.000000
C26-7,8.054590,0.000000,0.000000
C26-8,92.130613,0.000000,0.000000
C26-9,127.269175,0.000000,0.000000
C26-10,122.257601,0.000000,0.000000
C26-11,126.831976,0.000000,0.000000
C26-12,132.702978,0.000000,0.000000
C26-13,129.882016,0.000000,0.000000
C26-14,182.198986,0.000000,0.000000
C26-15,146.729243,0.000000,0.000000
C26-16,127.694506,0.000000,0.000000
C26-17,141.132439,0.000000,0.000000
C26-18,161.040678,0.000000,0.000000
C26-19,163.745763,0.000000,0.000000
C26-20,123.281032,0.000000,0.000000
C26-21,-12.675182,0.000000,0.000000
