timepoint,Storage_Index,ChargeMaxOffer,DischargeMaxOffer
1,313_STORAGE_1,0.0,0.0
2,313_STORAGE_1,0.0,0.0
3,313_STORAGE_1,0.0,0.0
4,313_STORAGE_1,0.0,0.0
5,313_STORAGE_1,0.0,0.0
6,313_STORAGE_1,0.0,0.0
7,313_STORAGE_1,0.0,0.0
8,313_STORAGE_1,0.0,0.0
9,313_STORAGE_1,-0.0,-0.0
10,313_STORAGE_1,-0.0,-0.0
11,313_STORAGE_1,-0.0,-0.0
12,313_STORAGE_1,-0.0,-0.0
13,313_STORAGE_1,0.0,0.0
14,313_STORAGE_1,0.0,0.0
15,313_STORAGE_1,0.0,0.0
16,313_STORAGE_1,0.0,0.0
17,313_STORAGE_1,13.383886649999997,15.745748999999998
18,313_STORAGE_1,-0.0,-0.0
19,313_STORAGE_1,13.383886649999997,15.745748999999998
20,313_STORAGE_1,0.0,0.0
21,313_STORAGE_1,15.731579,18.507740000000002
22,313_STORAGE_1,15.731579,18.507740000000002
23,313_STORAGE_1,0.0,0.0
24,313_STORAGE_1,0.0,0.0
