,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.545474,0.000000,0.000000
C1-2,48.161898,0.000000,0.000000
C1-3,47.967674,0.000000,0.000000
C1-4,47.845271,0.000000,0.000000
C1-5,47.802702,0.000000,0.000000
C1-6,47.809178,0.000000,0.000000
C1-7,47.975896,0.000000,0.000000
C1-8,47.944736,0.000000,0.000000
C1-9,48.924708,0.000000,0.000000
C1-10,47.774602,0.000000,0.000000
C1-11,32.977005,0.000000,0.000000
C1-12,7.446789,0.000000,0.000000
C1-13,10.904943,0.000000,0.000000
C1-14,8.534110,0.000000,0.000000
C1-15,7.890434,0.000000,0.000000
C1-16,17.584704,0.000000,0.000000
C1-17,50.485967,0.000000,0.000000
C1-18,51.673646,0.000000,0.000000
C1-19,52.251437,0.000000,0.000000
C1-20,52.199542,0.000000,0.000000
C1-21,52.197440,0.000000,0.000000
C1-22,51.609709,0.000000,0.000000
C1-23,50.523703,0.000000,0.000000
C1-24,48.168205,0.000000,0.000000
C2-1,-130.593386,0.000000,0.000000
C2-2,-129.196912,0.000000,0.000000
C2-3,-128.540011,0.000000,0.000000
C2-4,-127.987284,0.000000,0.000000
C2-5,-127.920675,0.000000,0.000000
C2-6,-127.914390,0.000000,0.000000
C2-7,-128.520041,0.000000,0.000000
C2-8,-128.364007,0.000000,0.000000
C2-9,-125.530831,0.000000,0.000000
C2-10,-113.683747,0.000000,0.000000
C2-11,-83.355239,0.000000,0.000000
C2-12,-35.286903,0.000000,0.000000
C2-13,-41.660526,0.000000,0.000000
C2-14,-36.132345,0.000000,0.000000
C2-15,-33.300596,0.000000,0.000000
C2-16,-55.224944,0.000000,0.000000
C2-17,-127.481028,0.000000,0.000000
C2-18,-135.783652,0.000000,0.000000
C2-19,-137.303420,0.000000,0.000000
C2-20,-136.109129,0.000000,0.000000
C2-21,-131.411469,0.000000,0.000000
C2-22,-128.590942,0.000000,0.000000
C2-23,-127.051845,0.000000,0.000000
C2-24,-125.003055,0.000000,0.000000
C3-1,36.538263,0.000000,0.000000
C3-2,37.216601,0.000000,0.000000
C3-3,37.591003,0.000000,0.000000
C3-4,37.741507,0.000000,0.000000
C3-5,37.871216,0.000000,0.000000
C3-6,37.841371,0.000000,0.000000
C3-7,37.545726,0.000000,0.000000
C3-8,37.574602,0.000000,0.000000
C3-9,31.899385,0.000000,0.000000
C3-10,19.289088,0.000000,0.000000
C3-11,2.237773,0.000000,0.000000
C3-12,-21.154508,0.000000,0.000000
C3-13,-18.597786,0.000000,0.000000
C3-14,-21.994299,0.000000,0.000000
C3-15,-24.199455,0.000000,0.000000
C3-16,-11.473965,0.000000,0.000000
C3-17,26.838781,0.000000,0.000000
