,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,107.017052,0.000000,0.000000,90.964494,-34.268421,0.000000,-26.768421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,-1683.547207885108
313_STORAGE_1,2,134.285406,0.000000,0.000000,205.107090,-50.000000,0.000000,-42.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,3,81.954753,0.000000,0.000000,274.768629,-50.000000,0.000000,-42.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,274.768629,-50.000000,0.000000,-50.000000,0.000000,0.000000,0.000000,0.000000,7.500000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,5,261.845208,0.000000,0.000000,497.337056,-50.000000,0.000000,-42.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,497.337056,-50.000000,0.000000,-42.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,497.337056,-50.000000,0.000000,-42.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,8,300.000000,0.000000,0.000000,752.337056,-50.000000,0.000000,-42.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,752.337056,-50.000000,-0.000000,-50.000000,-0.000000,0.000000,0.000000,0.000000,7.500000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,752.337056,-50.000000,-0.000000,-50.000000,-0.000000,0.000000,0.000000,0.000000,7.500000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,752.337056,-50.000000,0.000000,-42.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,12,0.000000,0.000000,0.000000,752.337056,-50.000000,-0.000000,-50.000000,-0.000000,0.000000,0.000000,0.000000,7.500000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,13,0.000000,0.000000,0.000000,752.337056,-50.000000,-0.000000,-42.500000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,752.337056,-50.000000,-0.000000,-42.500000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,752.337056,-50.000000,0.000000,-42.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,16,53.888862,0.000000,0.000000,798.142589,-34.268421,-0.000000,-26.768421,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,-847.756889773098
313_STORAGE_1,17,119.832248,0.000000,0.000000,900.000000,-26.111777,22.732463,-18.611777,19.322594,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,23.888223,-2862.579462815304
313_STORAGE_1,18,0.000000,129.794355,129.794355,770.205645,-23.570791,22.732463,-50.000000,19.322594,0.000000,0.000000,0.000000,33.929209,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,3430.362135315195
313_STORAGE_1,19,0.000000,192.855397,192.855397,577.350248,-23.598002,22.732463,-50.000000,19.322594,0.000000,0.000000,0.000000,33.901998,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,5091.767805883206
