,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,300.000000,0.000000,0.000000,255.000000,10.697629,5000,-13.057366,5000,0.000000,0.000000,0.000000,0.000000,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,2,300.000000,0.000000,0.000000,510.000000,10.697629,5000,-13.057366,5000,0.000000,0.000000,0.000000,0.000000,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,3,300.000000,0.000000,0.000000,765.000000,10.697629,5000,-13.057366,5000,0.000000,0.000000,0.000000,0.000000,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,4,158.823529,0.000000,0.000000,900.000000,10.697629,5000,-13.057366,5000,0.000000,0.014708,0.000000,0.000000,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,900.000000,10.670419,5000,-13.030156,5000,0.000042,0.000000,0.000000,0.027210,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,900.000000,10.697629,5000,-13.057366,5000,0.000042,18.493032,0.000000,0.000000,0.027210,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,900.000000,10.697629,5000,-13.057366,5000,0.000000,5.220045,0.000000,0.000000,2.776161,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,15.731579,0.0
313_STORAGE_1,8,0.000000,-0.000000,-0.000000,900.000000,7.000883,5000,-9.360620,5000,0.000000,0.000000,0.000000,4.816008,-1.256840,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,21.287879,-0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,900.000000,0.000000,5000,-2.359737,5000,0.032341,0.000000,0.000000,22.963780,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,900.000000,13.371842,5000,13.371842,5000,0.000000,0.000000,0.000000,32.662589,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,900.000000,13.371842,5000,13.371842,5000,0.000000,0.000000,0.000000,32.689799,-0.027211,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,12,0.000000,91.922318,91.922318,808.077682,13.371842,5000,13.371842,5000,0.000000,0.000000,0.000000,33.016326,-0.353737,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.755735,2459.4491809937304
313_STORAGE_1,13,0.000000,86.229851,86.229851,721.847831,13.371842,5000,13.371842,5000,0.000000,0.000000,0.000000,32.689799,-0.027211,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.429209,2278.9867541178587
313_STORAGE_1,14,0.000000,84.166451,84.166451,637.681380,13.371842,5000,13.371842,5000,0.000000,0.000000,0.000000,32.689799,-0.027211,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.429209,2224.452724267259
313_STORAGE_1,15,0.000000,75.717534,75.717534,561.963847,13.371842,5000,13.371842,5000,0.000000,3.222311,0.000000,32.662589,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.401998,1999.094181232932
313_STORAGE_1,16,0.000000,0.000000,0.000000,561.963847,13.371842,5000,13.371842,5000,0.000000,0.000000,0.000000,29.923625,3.222311,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,17,0.000000,16.776046,16.776046,545.187801,10.176742,5000,-12.536479,5000,0.000000,0.000000,0.000000,4.042514,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.429209,443.377625927614
313_STORAGE_1,18,0.000000,0.000000,0.000000,545.187801,7.000883,5000,-9.360620,5000,0.008850,0.000000,0.000000,9.352457,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,25.908321,0.0
313_STORAGE_1,19,0.000000,30.230361,30.230361,514.957439,7.000883,5000,-9.360620,5000,0.000000,0.000000,3.195100,4.042514,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,23.253350,702.95716495935
313_STORAGE_1,20,0.000000,126.429045,126.429045,388.528395,13.371842,5000,13.371842,5000,0.000000,-0.027211,0.000000,32.666670,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.429209,3341.4196539754053
313_STORAGE_1,21,0.000000,88.528395,88.528395,300.000000,13.371842,5000,13.371842,5000,0.000000,0.000000,0.000000,32.662589,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,26.401998,2337.32650773321
313_STORAGE_1,22,0.000000,300.000000,300.000000,-0.000000,0.000000,5000,0.000000,5000,0.042927,0.000000,0.000000,31.675235,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,25.908321,7772.496300000001
313_STORAGE_1,23,0.000000,0.000000,0.000000,-0.000000,0.000000,5000,0.000000,5000,0.032341,9.702306,0.000000,25.323517,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,24,0.000000,0.000000,0.000000,-0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,7.374251,0.000000,18.068485,0.000000,0.000000,4.663978,0.000000,0.000000,303,22.732463,0.0
