,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,-47473.570791,5000.000000,-47473.570791,5000.000000,0.000000,0.000000,0.000000,5000.000000,2500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,-44973.570791,5000.000000,-47473.570791,5000.000000,0.000000,0.000000,0.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,-47473.570791,5000.000000,-47473.570791,5000.000000,0.000000,0.000000,0.000000,5000.000000,2500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,0.000000,-47473.570791,5000.000000,-47473.570791,5000.000000,0.000000,0.000000,5000.000000,5000.000000,2500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,0.000000,-43223.598002,5000.000000,-43223.598002,5000.000000,0.000000,0.000000,5000.000000,5000.000000,1750.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,0.000000,-38973.570791,5000.000000,-38973.570791,5000.000000,0.000000,0.000000,0.000000,5000.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,0.000000,-38973.570791,5000.000000,-38973.570791,5000.000000,0.000000,0.000000,5000.000000,5000.000000,1000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,8,0.000000,0.000000,0.000000,0.000000,-34728.712121,5000.000000,-34728.712121,5000.000000,0.000000,0.000000,5000.000000,5000.000000,250.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,0.000000,-29984.268421,5000.000000,-30484.268421,5000.000000,0.000000,0.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,0.000000,-25000.000000,5000.000000,-26250.000000,5000.000000,0.000000,0.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,0.000000,-15000.000000,5000.000000,-17000.000000,5000.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,12,0.000000,0.000000,0.000000,0.000000,-10000.000000,5000.000000,-12750.000000,5000.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,13,241.955779,0.000000,0.000000,205.662412,-8500.000000,5000.000000,-8500.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,14,300.000000,0.000000,0.000000,460.662412,-5000.000000,5000.000000,-8500.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,460.662412,-10000.000000,5000.000000,-13500.000000,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,16,0.000000,0.000000,0.000000,460.662412,-8500.000000,5000.000000,-8500.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,1500.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,17,0.000000,281.422728,281.422728,179.239684,-9974.091679,5000.000000,-13474.091679,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,25.908321,7291.190373719688
313_STORAGE_1,18,0.000000,95.420153,95.420153,83.819531,-9977.267537,5000.000000,-13477.267537,5000.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,2169.1350975268388
313_STORAGE_1,19,0.000000,83.819531,83.819531,0.000000,-9977.267537,5000.000000,-13477.267537,5000.000000,0.000000,0.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,1905.4243871348529
313_STORAGE_1,20,0.000000,0.000000,0.000000,0.000000,-5000.000000,5000.000000,-9250.000000,5000.000000,0.000000,0.000000,5000.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,21,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,22,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,23,162.162162,137.837838,137.837838,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,24,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,0.000000,0.0
