,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,29.730571,0.000000,0.000000,25.270985,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,15.731579,-467.70882640160903
313_STORAGE_1,2,7.956653,0.000000,0.000000,32.034140,5.556300,5000,5.556300,5000,0.000000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,21.287879,-169.38026630898702
313_STORAGE_1,3,0.000000,0.000000,0.000000,32.034140,4.224722,5000,4.224722,5000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,32.034140,7.894258,5000,7.894258,5000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,32.034140,7.921468,5000,7.921468,5000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,6,0.000000,30.255651,30.255651,1.778489,8.337401,5000,8.337401,5000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.845141,812.217217141791
313_STORAGE_1,7,0.000000,1.778489,1.778489,0.000000,7.921468,5000,7.921468,5000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,47.004057485201
313_STORAGE_1,8,0.000000,0.000000,0.000000,0.000000,7.921468,5000,0.000000,5000,0.000000,0.000000,0.000000,10.697629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,0.000000,7.921468,5000,7.921468,5000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,0.000000,7.894258,5000,7.894258,5000,0.000000,0.000000,0.000000,2.776161,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,0.000000,7.921468,5000,0.000000,5000,0.000000,0.000000,0.000000,10.697629,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
