,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,13.097266,0.000000,0.000000
C1-2,9.467643,0.000000,0.000000
C1-3,16.581251,0.000000,0.000000
C1-4,28.207264,0.000000,0.000000
C1-5,32.054910,0.000000,0.000000
C1-6,45.925350,0.000000,0.000000
C1-7,47.696349,0.000000,0.000000
C1-8,47.161643,0.000000,0.000000
C1-9,47.445009,0.000000,0.000000
C1-10,45.159503,0.000000,0.000000
C1-11,33.333013,0.000000,0.000000
C1-12,24.347075,0.000000,0.000000
C1-13,19.975536,0.000000,0.000000
C1-14,17.537639,0.000000,0.000000
C1-15,17.468489,0.000000,0.000000
C1-16,17.092839,0.000000,0.000000
C1-17,17.311798,0.000000,0.000000
C1-18,19.049685,0.000000,0.000000
C1-19,22.633402,0.000000,0.000000
C1-20,23.192550,0.000000,0.000000
C1-21,24.580241,0.000000,0.000000
C1-22,20.116266,0.000000,0.000000
C1-23,25.515993,0.000000,0.000000
C1-24,28.356378,0.000000,0.000000
C2-1,-45.932307,0.000000,0.000000
C2-2,-37.673729,0.000000,0.000000
C2-3,-52.714983,0.000000,0.000000
C2-4,-77.639872,0.000000,0.000000
C2-5,-89.534073,0.000000,0.000000
C2-6,-122.480793,0.000000,0.000000
C2-7,-127.992933,0.000000,0.000000
C2-8,-126.287804,0.000000,0.000000
C2-9,-123.393046,0.000000,0.000000
C2-10,-116.323109,0.000000,0.000000
C2-11,-89.701095,0.000000,0.000000
C2-12,-68.994038,0.000000,0.000000
C2-13,-58.692250,0.000000,0.000000
C2-14,-54.159822,0.000000,0.000000
C2-15,-53.896501,0.000000,0.000000
C2-16,-53.479327,0.000000,0.000000
C2-17,-53.864080,0.000000,0.000000
C2-18,-57.110479,0.000000,0.000000
C2-19,-66.032859,0.000000,0.000000
C2-20,-66.988141,0.000000,0.000000
C2-21,-69.831305,0.000000,0.000000
C2-22,-61.365098,0.000000,0.000000
C2-23,-70.380822,0.000000,0.000000
C2-24,-77.075870,0.000000,0.000000
C3-1,-31.151590,0.000000,0.000000
C3-2,-35.953241,0.000000,0.000000
C3-3,-27.327734,0.000000,0.000000
C3-4,-13.094602,0.000000,0.000000
C3-5,-6.320617,0.000000,0.000000
C3-6,5.380703,0.000000,0.000000
C3-7,10.211809,0.000000,0.000000
C3-8,11.401090,0.000000,0.000000
C3-9,11.296102,0.000000,0.000000
C3-10,10.812080,0.000000,0.000000
C3-11,1.162042,0.000000,0.000000
C3-12,-5.242310,0.000000,0.000000
C3-13,-7.857366,0.000000,0.000000
C3-14,-8.135760,0.000000,0.000000
C3-15,-7.038958,0.000000,0.000000
C3-16,-6.471801,0.000000,0.000000
C3-17,-6.596193,0.000000,0.000000
C3-18,-7.648392,0.000000,0.000000
C3-19,-7.323569,0.000000,0.000000
C3-20,-9.966599,0.000000,0.000000
C3-21,-12.604865,0.000000,0.000000
C3-22,-19.700051,0.000000,0.000000
C3-23,-18.682985,0.000000,0.000000
C3-24,-16.610487,0.000000,0.000000
C4-1,-27.142127,0.000000,0.000000
C4-2,-27.857306,0.000000,0.000000
C4-3,-25.569044,0.000000,0.000000
C4-4,-22.123108,0.000000,0.000000
C4-5,-23.932900,0.000000,0.000000
C4-6,-24.472802,0.000000,0.000000
C4-7,-24.846640,0.000000,0.000000
