,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,48.520035,0.000000,0.000000
C1-2,31.130473,0.000000,0.000000
C1-3,48.633760,0.000000,0.000000
C1-4,45.829090,0.000000,0.000000
C1-5,41.880988,0.000000,0.000000
C1-6,45.898439,0.000000,0.000000
C1-7,50.090923,0.000000,0.000000
C1-8,34.790424,0.000000,0.000000
C1-9,46.402507,0.000000,0.000000
C1-10,11.461080,0.000000,0.000000
C1-11,15.168185,0.000000,0.000000
C1-12,7.485364,0.000000,0.000000
C1-13,38.429834,0.000000,0.000000
C1-14,37.146737,0.000000,0.000000
C1-15,18.437402,0.000000,0.000000
C1-16,53.753444,0.000000,0.000000
C1-17,52.435301,0.000000,0.000000
C1-18,53.874525,0.000000,0.000000
C1-19,53.892286,0.000000,0.000000
C1-20,53.339917,0.000000,0.000000
C1-21,52.794277,0.000000,0.000000
C1-22,51.747321,0.000000,0.000000
C1-23,47.009309,0.000000,0.000000
C1-24,49.954377,0.000000,0.000000
C2-1,-129.377731,0.000000,0.000000
C2-2,-89.457348,0.000000,0.000000
C2-3,-123.097062,0.000000,0.000000
C2-4,-119.251598,0.000000,0.000000
C2-5,-111.885324,0.000000,0.000000
C2-6,-121.769595,0.000000,0.000000
C2-7,-135.736128,0.000000,0.000000
C2-8,-102.214951,0.000000,0.000000
C2-9,-118.143055,0.000000,0.000000
C2-10,-59.081575,0.000000,0.000000
C2-11,-54.676958,0.000000,0.000000
C2-12,-51.615411,0.000000,0.000000
C2-13,-103.522950,0.000000,0.000000
C2-14,-100.830940,0.000000,0.000000
C2-15,-61.572505,0.000000,0.000000
C2-16,-135.048346,0.000000,0.000000
C2-17,-144.979311,0.000000,0.000000
C2-18,-150.420934,0.000000,0.000000
C2-19,-150.459621,0.000000,0.000000
C2-20,-148.340347,0.000000,0.000000
C2-21,-146.123857,0.000000,0.000000
C2-22,-142.277408,0.000000,0.000000
C2-23,-130.622268,0.000000,0.000000
C2-24,-130.224337,0.000000,0.000000
C3-1,35.279714,0.000000,0.000000
C3-2,14.610962,0.000000,0.000000
C3-3,31.567384,0.000000,0.000000
C3-4,30.714504,0.000000,0.000000
C3-5,26.664254,0.000000,0.000000
C3-6,29.985677,0.000000,0.000000
C3-7,33.507274,0.000000,0.000000
C3-8,11.955372,0.000000,0.000000
C3-9,13.128083,0.000000,0.000000
C3-10,-13.913197,0.000000,0.000000
C3-11,-23.972404,0.000000,0.000000
C3-12,-20.478622,0.000000,0.000000
C3-13,0.877362,0.000000,0.000000
C3-14,-0.497385,0.000000,0.000000
C3-15,-20.533989,0.000000,0.000000
C3-16,18.394554,0.000000,0.000000
C3-17,29.797411,0.000000,0.000000
C3-18,27.376525,0.000000,0.000000
C3-19,27.329119,0.000000,0.000000
C3-20,28.239279,0.000000,0.000000
C3-21,29.062577,0.000000,0.000000
C3-22,30.892630,0.000000,0.000000
C3-23,29.168796,0.000000,0.000000
C3-24,30.660344,0.000000,0.000000
C4-1,-17.271095,0.000000,0.000000
C4-2,-19.677767,0.000000,0.000000
C4-3,-12.002690,0.000000,0.000000
C4-4,-14.196504,0.000000,0.000000
C4-5,-16.208615,0.000000,0.000000
C4-6,-16.716952,0.000000,0.000000
C4-7,-20.784786,0.000000,0.000000
C4-8,-25.436498,0.000000,0.000000
C4-9,-17.042499,0.000000,0.000000
C4-10,-38.269414,0.000000,0.000000
C4-11,-29.373841,0.000000,0.000000
C4-12,-40.967989,0.000000,0.000000
C4-13,-22.531937,0.000000,0.000000
C4-14,-22.912743,0.000000,0.000000
