,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.964381,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,-99.584067,5000,-100.000000,5000,0.000000,0.000000,0.000000,19.380314,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.845141,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.964381,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.964381,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.964381,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,-0.000091,0.000000,0.000000,18.909960,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.964381,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,8,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.443494,0.520887,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,25.908321,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.027211,18.937171,0.027211,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,0.000000,-99.972789,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.987510,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,11,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.960300,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,12,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.960300,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,13,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,3.067017,15.290764,3.669536,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,14,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,17.897728,0.602519,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,0.000000,18.500247,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,23.334982,0.0
313_STORAGE_1,16,0.000000,0.000000,0.000000,0.000000,-100.000000,5000,-100.000000,5000,0.000000,0.000000,5.687923,17.897728,0.602519,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,22.732463,0.0
