,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,3.964381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,3.964381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,3.964381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,3.937171,0.027211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,5,0.000000,0.000000,0.000000,0.000000,15.731579,5000,15.731579,5000,0.039224,0.000000,0.000000,0.000000,27.498777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,3.443494,0.520887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,25.908321,0.0
313_STORAGE_1,7,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,3.937171,0.027211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,8,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,3.964381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.429209,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,3.937171,0.027211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
313_STORAGE_1,10,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,3.094227,3.937171,0.027211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,303,26.401998,0.0
