,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,0.000000,0.000000,0.000000,0.000000,46.295476,0.0
301,2,0.000000,0.000000,0.000000,0.000000,44.330908,0.0
301,3,0.000000,0.000000,0.000000,0.000000,43.579247,0.0
301,4,0.000000,0.000000,0.000000,0.000000,43.254666,0.0
301,5,-0.000000,0.000000,0.000000,0.000000,43.750079,-0.0
301,6,0.000000,0.000000,0.000000,0.000000,46.756723,0.0
301,7,15.731579,0.000000,0.000000,0.000000,53.367922,839.561681008838
301,8,0.000000,0.000000,0.000000,0.000000,57.809554,0.0
301,9,0.000000,0.000000,0.000000,0.000000,61.345777,0.0
301,10,-0.000000,0.000000,0.000000,0.000000,62.934514,-0.0
301,11,0.000000,0.000000,0.000000,0.000000,64.933249,0.0
301,12,0.000000,0.000000,0.000000,0.000000,64.830750,0.0
301,13,0.000000,0.000000,0.000000,0.000000,65.069915,0.0
301,14,-0.000000,0.000000,0.000000,0.000000,64.267004,-0.0
301,15,0.000000,0.000000,0.000000,0.000000,63.976590,0.0
301,16,0.000000,0.000000,0.000000,0.000000,62.712433,0.0
301,17,22.732463,0.000000,0.000000,0.000000,62.370769,1417.841198574047
301,18,27.276623,0.000000,0.000000,0.000000,71.356533,1946.365249228059
301,19,26.845141,0.000000,0.000000,0.000000,72.740272,1952.7228582183523
301,20,26.845141,0.000000,0.000000,0.000000,68.999051,1852.2892529611909
301,21,26.755735,0.000000,0.000000,0.000000,65.565327,1754.248514400345
301,22,26.429209,0.000000,0.000000,0.000000,61.431193,1623.577838916337
301,23,25.908321,0.000000,0.000000,0.000000,55.366656,1434.457096344576
301,24,22.732463,0.000000,0.000000,0.000000,50.036697,1137.457363194711
302,1,0.000000,0.306396,0.000000,0.000000,41.580196,0.0
302,2,0.000000,0.396287,0.000000,0.000000,39.815723,0.0
302,3,0.000000,0.385830,0.000000,0.000000,39.140620,0.0
302,4,0.000000,0.395600,0.000000,0.000000,38.849098,0.0
302,5,-0.000000,0.176181,0.000000,0.000000,39.294053,-0.0
302,6,0.000000,0.241340,0.000000,0.000000,41.994464,0.0
302,7,15.731579,0.381118,0.000000,0.000000,47.932300,754.0507641017
302,8,0.000000,0.341677,0.000000,0.000000,51.921544,0.0
302,9,0.000000,0.107036,0.000000,0.000000,55.097596,0.0
302,10,-0.000000,0.431240,0.000000,0.000000,56.524518,-0.0
302,11,0.000000,0.434860,0.000000,0.000000,58.319677,0.0
302,12,0.000000,0.108818,0.000000,0.000000,58.227618,0.0
302,13,0.000000,0.112162,0.000000,0.000000,58.442423,0.0
302,14,-0.000000,0.377010,0.000000,0.000000,57.721291,-0.0
302,15,0.000000,0.433127,0.000000,0.000000,57.460456,0.0
302,16,0.000000,0.178337,0.000000,0.000000,56.325055,0.0
302,17,22.732463,0.368876,0.000000,0.000000,56.018190,1273.4314315019699
302,18,27.276623,0.308938,0.000000,0.000000,64.088738,1748.1243449717742
302,19,26.845141,0.326538,0.000000,0.000000,65.331541,1753.8344298922812
302,20,26.845141,0.278183,0.000000,0.000000,61.971370,1663.6301656131702
302,21,26.755735,0.230973,0.000000,0.000000,58.887377,1575.575053857095
302,22,26.429209,0.325937,0.000000,0.000000,55.174312,1458.213423279208
302,23,25.908321,0.337816,0.000000,0.000000,49.727460,1288.35499619466
302,24,22.732463,0.365866,0.000000,0.000000,44.940367,1021.605230033921
303,1,0.000000,-12.884920,0.000000,0.000000,77.159127,0.0
303,2,0.000000,-14.603786,0.000000,0.000000,73.884847,0.0
303,3,0.000000,-15.602481,0.000000,0.000000,72.632078,0.0
303,4,0.000000,-14.346224,0.000000,0.000000,72.091110,0.0
303,5,0.000000,-9.010150,0.000000,0.000000,72.916798,0.0
303,6,0.000000,-11.193791,0.000000,0.000000,77.927871,0.0
303,7,15.731579,-15.874545,0.000000,0.000000,88.946536,1399.269457860344
303,8,0.000000,-13.286483,0.000000,0.000000,96.349257,0.0
303,9,0.000000,-7.259341,0.000000,0.000000,102.242961,0.0
303,10,-0.000000,-16.329992,0.000000,0.000000,104.890857,-0.0
303,11,-0.000000,-16.531468,0.000000,0.000000,108.222082,-0.0
303,12,-0.000000,-6.264702,0.000000,0.000000,108.051250,-0.0
303,13,0.000000,-6.380440,0.000000,0.000000,108.449858,0.0
303,14,-0.000000,-15.276354,0.000000,0.000000,107.111674,-0.0
303,15,0.000000,-16.435035,0.000000,0.000000,106.627649,0.0
303,16,0.000000,-9.053201,0.000000,0.000000,104.520721,0.0
303,17,22.732463,-15.097769,0.000000,0.000000,103.951281,2363.068649135103
303,18,27.276623,-12.986617,0.000000,0.000000,118.927555,3243.942082046765
303,19,26.845141,-14.678238,0.000000,0.000000,121.233787,3254.5381059789675
303,20,26.845141,-13.191462,0.000000,0.000000,114.998418,3087.148745986938
303,21,26.755735,-11.626339,0.000000,0.000000,109.275546,2923.7475507563104
303,22,26.429209,-13.618117,0.000000,0.000000,102.385321,2705.963047241089
303,23,25.908321,-13.828007,0.000000,0.000000,92.277760,2390.76182724096
303,24,22.732463,-14.651355,0.000000,0.000000,83.394495,1895.7622719911851
304,1,0.000000,-1.137458,0.000000,0.000000,31.720974,0.0
304,2,0.000000,-0.295483,0.000000,0.000000,30.374881,0.0
304,3,0.000000,-0.866130,0.000000,0.000000,29.859854,0.0
304,4,0.000000,-0.178348,0.000000,0.000000,29.637456,0.0
304,5,-0.000000,-1.673655,0.000000,0.000000,29.976906,-0.0
304,6,0.000000,-1.542543,0.000000,0.000000,32.037014,0.0
304,7,15.731579,-1.263217,0.000000,0.000000,36.566909,575.2552177193111
304,8,0.000000,-0.953229,0.000000,0.000000,39.610250,0.0
304,9,0.000000,-2.483493,0.000000,0.000000,42.033217,0.0
304,10,-0.000000,-0.811194,0.000000,0.000000,43.121797,-0.0
304,11,-0.000000,-0.875468,0.000000,0.000000,44.491300,-0.0
304,12,-0.000000,-2.117597,0.000000,0.000000,44.421069,-0.0
304,13,0.000000,-2.114162,0.000000,0.000000,44.584941,0.0
304,14,-0.000000,-1.315390,0.000000,0.000000,44.034799,-0.0
304,15,-0.000000,-0.844704,0.000000,0.000000,43.835811,-0.0
304,16,0.000000,-2.054396,0.000000,0.000000,42.969630,0.0
304,17,22.732463,-1.338420,0.000000,0.000000,42.735527,971.4837863130009
304,18,27.276623,-1.664245,0.000000,0.000000,48.892439,1333.6206261534971
304,19,26.845141,-2.094334,0.000000,0.000000,49.840557,1337.976780183537
304,20,26.845141,-2.214873,0.000000,0.000000,47.277128,1269.161167235048
304,21,26.755735,-2.290449,0.000000,0.000000,44.924391,1201.985100632385
304,22,26.429209,-1.430028,0.000000,0.000000,42.091743,1112.451472921287
304,23,25.908321,-1.189460,0.000000,0.000000,37.936413,982.868765592573
304,24,22.732463,-0.945545,0.000000,0.000000,34.284404,779.368945407052
305,1,0.000000,1.075692,0.000000,0.000000,30.434989,0.0
305,2,0.000000,1.318033,0.000000,0.000000,29.143467,0.0
305,3,0.000000,1.820449,0.000000,0.000000,28.649320,0.0
305,4,0.000000,1.270862,0.000000,0.000000,28.435938,0.0
305,5,-0.000000,0.429319,0.000000,0.000000,28.761626,-0.0
305,6,0.000000,0.766949,0.000000,0.000000,30.738216,0.0
305,7,15.731579,1.481933,0.000000,0.000000,35.084467,551.9340642833929
305,8,0.000000,0.462500,0.000000,0.000000,38.004429,0.0
305,9,0.000000,-0.713108,0.000000,0.000000,40.329168,0.0
305,10,-0.000000,0.895189,0.000000,0.000000,41.373616,-0.0
305,11,0.000000,0.857034,0.000000,0.000000,42.687599,0.0
305,12,0.000000,-1.294334,0.000000,0.000000,42.620215,0.0
305,13,0.000000,-1.279662,0.000000,0.000000,42.777444,0.0
305,14,-0.000000,0.735100,0.000000,0.000000,42.249605,-0.0
305,15,0.000000,0.875296,0.000000,0.000000,42.058684,0.0
305,16,0.000000,-0.489920,0.000000,0.000000,41.227618,0.0
305,17,22.732463,0.804889,0.000000,0.000000,41.003005,932.099294051315
305,18,27.276623,-0.119281,0.000000,0.000000,46.910313,1279.5549225129992
305,19,26.845141,0.387930,0.000000,0.000000,47.819994,1283.7344815491542
305,20,26.845141,0.264775,0.000000,0.000000,45.360487,1217.708669343667
305,21,26.755735,0.088138,0.000000,0.000000,43.103132,1153.2559774620202
305,22,26.429209,0.515285,0.000000,0.000000,40.385321,1067.3520892410888
305,23,25.908321,0.823067,0.000000,0.000000,36.398450,943.0227265024499
305,24,22.732463,1.244020,0.000000,0.000000,32.894495,747.772890491185
306,1,0.000000,2.117080,0.000000,0.000000,58.298007,0.0
306,2,0.000000,2.496868,0.000000,0.000000,55.824106,0.0
306,3,0.000000,3.264165,0.000000,0.000000,54.877570,0.0
306,4,0.000000,2.414969,0.000000,0.000000,54.468839,0.0
306,5,-0.000000,1.066327,0.000000,0.000000,55.092692,-0.0
306,6,0.000000,1.628321,0.000000,0.000000,58.878836,0.0
306,7,15.731579,2.820878,0.000000,0.000000,67.204049,1057.225805963371
