,hour,LMP,VoltageAngle,VoltageAngleDualMax,VoltageAngleDualMin,Load,LoadPayment
301,1,26.401998,0.000000,0.000000,0.000000,43.466971,1147.614881408058
301,2,26.429209,0.000000,0.000000,0.000000,42.858289,1132.710677363401
301,3,22.732463,0.000000,0.000000,0.000000,43.148474,980.871088711462
301,4,22.732463,0.000000,0.000000,0.000000,45.709185,1039.082356772655
301,5,25.908321,0.000000,0.000000,0.000000,50.723026,1314.148439699346
301,6,22.732463,0.000000,0.000000,0.000000,53.762189,1222.146972241507
301,7,0.000000,0.000000,0.000000,0.000000,57.855930,0.0
301,8,0.000000,0.000000,0.000000,0.000000,60.948883,0.0
301,9,0.000000,0.000000,0.000000,0.000000,63.547814,0.0
301,10,0.000000,0.000000,0.000000,0.000000,65.329978,0.0
301,11,0.000000,0.000000,0.000000,0.000000,66.092954,0.0
301,12,0.000000,0.000000,0.000000,0.000000,67.232463,0.0
301,13,0.000000,0.000000,0.000000,0.000000,67.180088,0.0
301,14,15.731579,0.000000,0.000000,0.000000,65.773042,1034.7138062933182
301,15,22.732463,0.000000,0.000000,0.000000,65.380937,1486.269731257831
301,16,23.217425,0.000000,0.000000,0.000000,71.188896,1652.8228537128
301,17,23.893954,0.000000,0.000000,0.000000,70.120164,1675.4479730884561
301,18,26.086872,0.000000,0.000000,0.000000,66.909720,1745.4653011958399
301,19,21.184575,0.000000,0.000000,0.000000,63.884712,1353.3704727174
301,20,12.455902,0.000000,0.000000,0.000000,59.656496,743.075467839392
301,21,15.731579,0.000000,0.000000,0.000000,54.203838,852.7119596002019
301,22,15.731579,0.000000,0.000000,0.000000,49.330135,776.040915833165
301,23,0.000000,0.000000,0.000000,0.000000,45.966813,0.0
301,24,0.000000,0.000000,0.000000,0.000000,44.164832,0.0
302,1,26.401998,0.140122,0.000000,0.000000,39.039779,1030.728167078442
302,2,26.429209,0.135585,0.000000,0.000000,38.493093,1017.341999953437
302,3,22.732463,0.138865,0.000000,0.000000,38.753722,880.9675514772861
302,4,22.732463,0.152805,0.000000,0.000000,41.053620,933.2498976660601
302,5,25.908321,0.178450,0.000000,0.000000,45.556792,1180.299990866232
302,6,22.732463,0.188642,0.000000,0.000000,48.286411,1097.669051460293
302,7,0.000000,0.200139,0.000000,0.000000,51.963196,0.0
302,8,0.000000,0.150606,0.000000,0.000000,54.741127,0.0
302,9,0.000000,0.157590,0.000000,0.000000,57.075351,0.0
302,10,0.000000,0.139338,0.000000,0.000000,58.675999,0.0
302,11,0.000000,0.078537,0.000000,0.000000,59.361264,0.0
302,12,0.000000,0.169055,0.000000,0.000000,60.384712,0.0
302,13,0.000000,0.276504,0.000000,0.000000,60.337672,0.0
302,14,15.731579,0.293154,0.000000,0.000000,59.073936,929.326291024944
302,15,22.732463,0.436706,0.000000,0.000000,58.721768,1334.890418354584
302,16,24.288876,0.446073,0.000000,0.000000,63.938175,1552.9864042412999
302,17,24.458076,0.443960,0.000000,0.000000,62.978295,1540.32792546042
302,18,26.097774,0.425034,0.000000,0.000000,60.094841,1568.3415789839341
302,19,22.162213,0.429698,0.000000,0.000000,57.377936,1271.622039132368
302,20,13.030724,0.420117,0.000000,0.000000,53.580371,698.1910263186039
302,21,15.731579,0.410521,0.000000,0.000000,48.683076,765.861656057004
302,22,15.731579,0.404316,0.000000,0.000000,44.305770,696.9997209108301
