,time,charge,discharge,totaldischarge,soc,discharge_offer,maxdischargeoffer,charge_offer,maxchargeoffer,tightdual,socmaxdual,socmindual,chargemindual,dischargemindual,finalsocdual,finalsocMAXdual,finalsocMINdual,cycledual,bindonecyclemaxdual,bindonecyclemindual,node,lmp,profit
313_STORAGE_1,1,0.000000,0.000000,0.000000,0.000000,15.731579,5000,15.731579,5000,0.000000,0.000000,0.000000,6.065225,16.334098,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,2,0.000000,0.000000,0.000000,0.000000,15.731579,5000,15.731579,5000,0.000000,0.000000,0.000000,6.065225,16.334098,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,3,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,16.334098,22.399323,0.000000,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,23.334982,0.0
313_STORAGE_1,4,0.000000,0.000000,0.000000,0.000000,15.731579,5000,15.731579,5000,0.000000,0.000000,11.510751,19.949208,0.000000,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,22.732463,0.0
313_STORAGE_1,5,96.779637,0.000000,0.000000,82.262692,22.732463,5000,22.732463,5000,0.000000,0.000000,0.000000,0.000000,18.222596,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,6,0.000000,0.000000,0.000000,82.262692,25.908321,5000,0.000000,5000,0.000000,0.000000,18.825115,22.732463,21.398454,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,7,174.125504,125.874496,125.874496,104.394873,23.334982,5000,23.334982,5000,0.000000,25.047142,0.000000,15.398829,0.000000,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,8,0.000000,0.000000,0.000000,104.394873,15.731579,5000,15.731579,5000,-0.005707,2.014306,0.000000,0.000000,15.731579,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,9,0.000000,0.000000,0.000000,104.394873,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,15.731579,3.726467,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,10,159.968625,0.000000,0.000000,240.368205,15.731579,5000,15.731579,5000,0.000000,0.000000,0.000000,0.000000,19.458046,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,11,300.000000,0.000000,0.000000,495.368205,21.116646,5000,21.116646,5000,0.017950,0.000000,0.000000,0.000000,30.228180,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,12,0.000000,300.000000,300.000000,195.368205,21.116646,5000,21.116646,5000,0.017950,0.000000,0.000000,0.000000,30.228180,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,13,123.096230,0.000000,0.000000,300.000000,15.731579,5000,15.731579,5000,0.000000,0.000000,0.000000,0.000000,19.458046,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,14,0.000000,300.000000,300.000000,0.000000,15.731579,5000,15.731579,5000,0.000000,0.000000,0.000000,0.000000,19.458046,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,15,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,15.731579,3.726467,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,16,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,15.731579,3.726467,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,17,0.000000,0.000000,0.000000,0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,15.731579,3.726467,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,18,0.000000,0.000000,0.000000,0.000000,0.429558,5000,0.000000,5000,0.000000,0.000000,0.000000,15.731579,4.156025,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,19,0.000000,0.000000,0.000000,0.000000,0.429558,5000,0.000000,5000,0.000000,0.000000,0.000000,15.731579,4.156025,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,20,0.000000,0.000000,0.000000,0.000000,0.429558,5000,0.000000,5000,0.000000,18.507740,0.000000,15.731579,4.156025,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,21,204.853534,0.000000,0.000000,174.125504,0.431481,5000,0.431481,5000,0.000000,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.431481,-88.390407703854
313_STORAGE_1,22,0.000000,0.000000,0.000000,174.125504,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,23,0.000000,0.000000,0.000000,174.125504,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,0.000000,0.0
313_STORAGE_1,24,0.000000,174.125504,174.125504,-0.000000,0.000000,5000,0.000000,5000,0.000000,0.000000,0.000000,15.731579,6.502628,0.000000,0.000000,0.000000,22.234207,0.000000,0.000000,303,15.731579,2739.269122090816
