,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,24.709117,0.000000,0.000000
C1-2,21.902243,0.000000,0.000000
C1-3,26.715966,0.000000,0.000000
C1-4,23.958773,0.000000,0.000000
C1-5,16.540739,0.000000,0.000000
C1-6,23.105248,0.000000,0.000000
C1-7,32.595858,0.000000,0.000000
C1-8,47.501976,0.000000,0.000000
C1-9,54.437010,0.000000,0.000000
C1-10,55.610273,0.000000,0.000000
C1-11,55.346868,0.000000,0.000000
C1-12,54.520043,0.000000,0.000000
C1-13,53.568835,0.000000,0.000000
C1-14,52.374492,0.000000,0.000000
C1-15,51.178154,0.000000,0.000000
C1-16,50.404574,0.000000,0.000000
C1-17,41.187838,0.000000,0.000000
C1-18,46.244895,0.000000,0.000000
C1-19,48.992393,0.000000,0.000000
C1-20,29.250047,0.000000,0.000000
C1-21,36.332512,0.000000,0.000000
C1-22,47.953178,0.000000,0.000000
C1-23,50.155580,0.000000,0.000000
C1-24,50.990449,0.000000,0.000000
C2-1,-72.564274,0.000000,0.000000
C2-2,-67.822967,0.000000,0.000000
C2-3,-78.817597,0.000000,0.000000
C2-4,-73.705137,0.000000,0.000000
C2-5,-58.489675,0.000000,0.000000
C2-6,-68.477021,0.000000,0.000000
C2-7,-92.413214,0.000000,0.000000
C2-8,-121.060181,0.000000,0.000000
C2-9,-136.148517,0.000000,0.000000
C2-10,-142.072789,0.000000,0.000000
C2-11,-141.355031,0.000000,0.000000
C2-12,-139.477637,0.000000,0.000000
C2-13,-139.057875,0.000000,0.000000
C2-14,-137.411396,0.000000,0.000000
C2-15,-132.592940,0.000000,0.000000
C2-16,-125.968247,0.000000,0.000000
C2-17,-110.597174,0.000000,0.000000
C2-18,-116.586171,0.000000,0.000000
C2-19,-121.242170,0.000000,0.000000
C2-20,-81.572470,0.000000,0.000000
C2-21,-98.074571,0.000000,0.000000
C2-22,-123.609562,0.000000,0.000000
C2-23,-128.837374,0.000000,0.000000
C2-24,-130.839658,0.000000,0.000000
C3-1,-10.000772,0.000000,0.000000
C3-2,-15.028160,0.000000,0.000000
C3-3,-11.446183,0.000000,0.000000
C3-4,-15.583614,0.000000,0.000000
C3-5,-24.144018,0.000000,0.000000
C3-6,-21.860691,0.000000,0.000000
C3-7,-7.362733,0.000000,0.000000
C3-8,7.785164,0.000000,0.000000
C3-9,16.330569,0.000000,0.000000
C3-10,15.273621,0.000000,0.000000
C3-11,15.888000,0.000000,0.000000
C3-12,18.047874,0.000000,0.000000
C3-13,21.604328,0.000000,0.000000
C3-14,25.380409,0.000000,0.000000
C3-15,27.210948,0.000000,0.000000
C3-16,26.233538,0.000000,0.000000
C3-17,23.442523,0.000000,0.000000
C3-18,26.176444,0.000000,0.000000
C3-19,28.986643,0.000000,0.000000
C3-20,9.669388,0.000000,0.000000
C3-21,19.104595,0.000000,0.000000
C3-22,30.759719,0.000000,0.000000
C3-23,28.999189,0.000000,0.000000
C3-24,26.883968,0.000000,0.000000
C4-1,-23.384746,0.000000,0.000000
C4-2,-25.918995,0.000000,0.000000
C4-3,-25.817258,0.000000,0.000000
C4-4,-27.632095,0.000000,0.000000
C4-5,-30.349508,0.000000,0.000000
C4-6,-26.091929,0.000000,0.000000
C4-7,-25.938805,0.000000,0.000000
C4-8,-19.196693,0.000000,0.000000
C4-9,-17.339645,0.000000,0.000000
C4-10,-21.030452,0.000000,0.000000
C4-11,-20.688558,0.000000,0.000000
C4-12,-19.913961,0.000000,0.000000
C4-13,-20.406052,0.000000,0.000000
C4-14,-20.134068,0.000000,0.000000
C4-15,-17.342334,0.000000,0.000000
C4-16,-12.747771,0.000000,0.000000
C4-17,-17.293194,0.000000,0.000000
C4-18,-12.072229,0.000000,0.000000
C4-19,-10.216851,0.000000,0.000000
C4-20,-17.248941,0.000000,0.000000
C4-21,-16.211151,0.000000,0.000000
C4-22,-14.115583,0.000000,0.000000
C4-23,-15.244668,0.000000,0.000000
C4-24,-16.111559,0.000000,0.000000
C5-1,-3.869334,0.000000,0.000000
C5-2,-6.919888,0.000000,0.000000
C5-3,-4.542128,0.000000,0.000000
C5-4,-7.085131,0.000000,0.000000
C5-5,-12.471017,0.000000,0.000000
C5-6,-11.187535,0.000000,0.000000
C5-7,-1.803009,0.000000,0.000000
C5-8,7.624733,0.000000,0.000000
C5-9,13.054887,0.000000,0.000000
C5-10,12.702549,0.000000,0.000000
C5-11,13.057130,0.000000,0.000000
C5-12,14.339163,0.000000,0.000000
C5-13,16.596951,0.000000,0.000000
C5-14,18.928189,0.000000,0.000000
C5-15,19.837412,0.000000,0.000000
C5-16,18.846575,0.000000,0.000000
C5-17,17.196023,0.000000,0.000000
C5-18,18.650562,0.000000,0.000000
C5-19,20.352542,0.000000,0.000000
C5-20,8.190243,0.000000,0.000000
C5-21,14.248903,0.000000,0.000000
C5-22,21.744904,0.000000,0.000000
C5-23,20.777909,0.000000,0.000000
C5-24,19.531376,0.000000,0.000000
C6-1,51.532290,0.000000,0.000000
C6-2,36.023674,0.000000,0.000000
C6-3,54.725879,0.000000,0.000000
C6-4,40.746445,0.000000,0.000000
C6-5,7.163197,0.000000,0.000000
C6-6,33.226502,0.000000,0.000000
C6-7,77.113134,0.000000,0.000000
C6-8,143.591190,0.000000,0.000000
C6-9,175.000000,0.000000,68.375744
C6-10,175.000000,0.000000,68.375744
C6-11,175.000000,0.000000,68.375744
C6-12,175.000000,0.000000,65.041009
C6-13,175.000000,0.000000,62.388963
C6-14,175.000000,0.000000,36.682861
C6-15,175.000000,0.000000,0.000000
C6-16,175.000000,0.000000,36.682861
C6-17,139.851636,0.000000,0.000000
C6-18,162.279601,0.000000,0.000000
C6-19,175.000000,0.000000,0.000000
C6-20,89.053468,0.000000,0.000000
C6-21,121.170586,0.000000,0.000000
C6-22,170.529069,0.000000,0.000000
C6-23,175.000000,0.000000,36.682861
C6-24,175.000000,0.000000,36.682861
C7-1,-175.031446,0.000000,0.000000
C7-2,-205.428112,0.000000,0.000000
C7-3,-186.473165,0.000000,0.000000
C7-4,-126.026546,0.000000,0.000000
C7-5,-175.807795,0.000000,0.000000
C7-6,-147.540961,0.000000,0.000000
C7-7,-117.734828,0.000000,0.000000
C7-8,-59.314775,0.000000,0.000000
C7-9,40.433703,0.000000,0.000000
C7-10,13.680545,0.000000,0.000000
C7-11,2.103882,0.000000,0.000000
C7-12,15.329211,0.000000,0.000000
C7-13,37.902817,0.000000,0.000000
C7-14,15.084897,0.000000,0.000000
C7-15,5.899383,0.000000,0.000000
C7-16,18.019527,0.000000,0.000000
C7-17,-8.347033,0.000000,0.000000
C7-18,10.870346,0.000000,0.000000
C7-19,32.499614,0.000000,0.000000
C7-20,-35.314331,0.000000,0.000000
C7-21,-6.074265,0.000000,0.000000
C7-22,45.256713,0.000000,0.000000
C7-23,44.518247,0.000000,0.000000
C7-24,21.550729,0.000000,0.000000
C8-1,-63.026771,0.000000,0.000000
C8-2,-67.680267,0.000000,0.000000
C8-3,-69.359279,0.000000,0.000000
C8-4,-72.395228,0.000000,0.000000
C8-5,-75.635420,0.000000,0.000000
C8-6,-72.158617,0.000000,0.000000
C8-7,-71.969606,0.000000,0.000000
C8-8,-64.263407,0.000000,0.000000
C8-9,-62.137695,0.000000,0.000000
C8-10,-69.808029,0.000000,0.000000
C8-11,-68.733855,0.000000,0.000000
C8-12,-65.759510,0.000000,0.000000
C8-13,-64.178910,0.000000,0.000000
C8-14,-61.009815,0.000000,0.000000
C8-15,-54.482001,0.000000,0.000000
C8-16,-46.548049,0.000000,0.000000
C8-17,-48.788973,0.000000,0.000000
C8-18,-42.333317,0.000000,0.000000
C8-19,-39.860109,0.000000,0.000000
C8-20,-46.474169,0.000000,0.000000
C8-21,-45.425710,0.000000,0.000000
C8-22,-44.878113,0.000000,0.000000
C8-23,-49.286453,0.000000,0.000000
C8-24,-52.402558,0.000000,0.000000
C9-1,-48.035689,0.000000,0.000000
C9-2,-55.096408,0.000000,0.000000
C9-3,-53.222986,0.000000,0.000000
C9-4,-58.532025,0.000000,0.000000
C9-5,-67.594016,0.000000,0.000000
C9-6,-66.059810,0.000000,0.000000
C9-7,-51.527420,0.000000,0.000000
C9-8,-35.454521,0.000000,0.000000
C9-9,-26.651344,0.000000,0.000000
C9-10,-31.526487,0.000000,0.000000
C9-11,-30.209515,0.000000,0.000000
C9-12,-25.939072,0.000000,0.000000
C9-13,-20.393955,0.000000,0.000000
C9-14,-13.838213,0.000000,0.000000
C9-15,-8.423056,0.000000,0.000000
C9-16,-6.196458,0.000000,0.000000
C9-17,-6.776400,0.000000,0.000000
C9-18,-2.857844,0.000000,0.000000
C9-19,0.545139,0.000000,0.000000
C9-20,-18.371033,0.000000,0.000000
C9-21,-8.925590,0.000000,0.000000
C9-22,1.244318,0.000000,0.000000
C9-23,-3.662523,0.000000,0.000000
C9-24,-7.935774,0.000000,0.000000
C10-1,-76.724949,0.000000,0.000000
C10-2,-83.670334,0.000000,0.000000
C10-3,-84.565301,0.000000,0.000000
C10-4,-89.352510,0.000000,0.000000
C10-5,-95.699181,0.000000,0.000000
C10-6,-95.850636,0.000000,0.000000
C10-7,-86.400157,0.000000,0.000000
C10-8,-75.200579,0.000000,0.000000
C10-9,-69.276663,0.000000,0.000000
C10-10,-76.942727,0.000000,0.000000
C10-11,-75.242335,0.000000,0.000000
C10-12,-69.917522,0.000000,0.000000
C10-13,-63.850465,0.000000,0.000000
C10-14,-56.194806,0.000000,0.000000
C10-15,-48.419273,0.000000,0.000000
C10-16,-43.272854,0.000000,0.000000
C10-17,-40.688113,0.000000,0.000000
C10-18,-36.964411,0.000000,0.000000
C10-19,-34.126959,0.000000,0.000000
C10-20,-45.520987,0.000000,0.000000
C10-21,-39.442719,0.000000,0.000000
C10-22,-34.791638,0.000000,0.000000
C10-23,-41.785371,0.000000,0.000000
C10-24,-47.165594,0.000000,0.000000
C11-1,-66.962881,0.000000,0.000000
C11-2,-70.542689,0.000000,0.000000
C11-3,-73.550710,0.000000,0.000000
C11-4,-75.613400,0.000000,0.000000
C11-5,-76.496474,0.000000,0.000000
C11-6,-77.815351,0.000000,0.000000
C11-7,-77.754732,0.000000,0.000000
C11-8,-76.126206,0.000000,0.000000
C11-9,12.327619,0.000000,0.000000
C11-10,5.605445,0.000000,0.000000
C11-11,6.842403,0.000000,0.000000
C11-12,10.558194,0.000000,0.000000
C11-13,14.059361,0.000000,0.000000
C11-14,-69.046870,0.000000,0.000000
C11-15,-62.735923,0.000000,0.000000
C11-16,-57.095064,0.000000,0.000000
C11-17,-53.202330,0.000000,0.000000
C11-18,-51.116703,0.000000,0.000000
C11-19,-50.073071,0.000000,0.000000
C11-20,-49.366939,0.000000,0.000000
C11-21,-49.348917,0.000000,0.000000
C11-22,-51.963733,0.000000,0.000000
C11-23,-57.503015,0.000000,0.000000
C11-24,-61.302362,0.000000,0.000000
C12-1-1,-91.712879,0.000000,0.000000
C12-1-2,-95.334517,0.000000,0.000000
