timepoint,Storage_Index,discharge_offer,charge_offer,soc,charge,discharge
1,313_STORAGE_1,-50.0,-42.5,0.0,0.0,0.0
2,313_STORAGE_1,-50.0,-42.5,0.0,0.0,0.0
3,313_STORAGE_1,-50.0,-42.5,255.0,300.0,0.0
4,313_STORAGE_1,-50.0,-42.5,330.968932,89.375215,0.0
5,313_STORAGE_1,-50.0,-42.5,330.968932,0.0,0.0
6,313_STORAGE_1,-50.0,-42.5,330.968932,0.0,0.0
7,313_STORAGE_1,-50.0,-42.5,330.968932,0.0,0.0
8,313_STORAGE_1,-50.0,-42.5,330.968932,0.0,0.0
9,313_STORAGE_1,-50.0,-50.0,30.968932000000002,0.0,300.0
10,313_STORAGE_1,-50.0,-42.5,30.968932000000002,0.0,0.0
11,313_STORAGE_1,-50.0,-42.5,30.968932000000002,0.0,0.0
12,313_STORAGE_1,-50.0,-50.0,30.968932000000002,0.0,0.0
13,313_STORAGE_1,-50.0,-42.5,30.968932000000002,0.0,0.0
14,313_STORAGE_1,-50.0,-42.5,30.968932000000002,0.0,0.0
15,313_STORAGE_1,-50.0,-42.5,30.968932000000002,0.0,0.0
16,313_STORAGE_1,-50.0,-42.5,30.968932000000002,0.0,0.0
17,313_STORAGE_1,-34.268421000000004,-26.768421000000004,266.110412,276.637035,0.0
18,313_STORAGE_1,-27.267537,-19.767537,418.324836,179.075793,0.0
19,313_STORAGE_1,-24.256256,-16.756256,600.0,213.735487,0.0
20,313_STORAGE_1,-50.0,-42.5,600.0,0.0,0.0
21,313_STORAGE_1,-50.0,-42.5,600.0,0.0,0.0
22,313_STORAGE_1,-50.0,-42.5,600.0,0.0,0.0
23,313_STORAGE_1,-50.0,-42.5,300.0,0.0,300.0
24,313_STORAGE_1,-50.0,-50.0,-0.0,0.0,300.0
