,flow (MWh),congestion price from ($/MWh),congestion price to ($/MWh)
C1-1,13.734339,0.000000,0.000000
C1-2,12.863400,0.000000,0.000000
C1-3,13.106804,0.000000,0.000000
C1-4,26.089749,0.000000,0.000000
C1-5,28.212677,0.000000,0.000000
C1-6,20.677388,0.000000,0.000000
C1-7,28.711599,0.000000,0.000000
C1-8,14.492619,0.000000,0.000000
C1-9,14.373435,0.000000,0.000000
C1-10,6.725272,0.000000,0.000000
C1-11,3.519168,0.000000,0.000000
C1-12,9.507381,0.000000,0.000000
C1-13,17.679248,0.000000,0.000000
C1-14,17.961959,0.000000,0.000000
C1-15,36.084282,0.000000,0.000000
C1-16,35.746203,0.000000,0.000000
C1-17,51.160350,0.000000,0.000000
C1-18,54.137369,0.000000,0.000000
C1-19,54.422160,0.000000,0.000000
C1-20,53.953225,0.000000,0.000000
C1-21,53.396730,0.000000,0.000000
C1-22,52.455382,0.000000,0.000000
C1-23,51.073752,0.000000,0.000000
C1-24,46.421577,0.000000,0.000000
C2-1,-45.536488,0.000000,0.000000
C2-2,-45.267723,0.000000,0.000000
C2-3,-48.767230,0.000000,0.000000
C2-4,-75.079941,0.000000,0.000000
C2-5,-79.215084,0.000000,0.000000
C2-6,-65.873794,0.000000,0.000000
C2-7,-82.621246,0.000000,0.000000
C2-8,-48.967499,0.000000,0.000000
C2-9,-52.388078,0.000000,0.000000
C2-10,-34.469068,0.000000,0.000000
C2-11,-32.244565,0.000000,0.000000
C2-12,-43.257187,0.000000,0.000000
C2-13,-60.162471,0.000000,0.000000
C2-14,-60.672425,0.000000,0.000000
C2-15,-103.113380,0.000000,0.000000
C2-16,-96.379673,0.000000,0.000000
C2-17,-135.644780,0.000000,0.000000
C2-18,-148.627678,0.000000,0.000000
C2-19,-151.954694,0.000000,0.000000
C2-20,-150.293309,0.000000,0.000000
C2-21,-147.984009,0.000000,0.000000
C2-22,-144.021403,0.000000,0.000000
C2-23,-139.729398,0.000000,0.000000
C2-24,-127.932880,0.000000,0.000000
C3-1,-14.715408,0.000000,0.000000
C3-2,-12.626996,0.000000,0.000000
C3-3,-8.226319,0.000000,0.000000
C3-4,5.496361,0.000000,0.000000
C3-5,6.944831,0.000000,0.000000
C3-6,-1.526150,0.000000,0.000000
C3-7,1.054222,0.000000,0.000000
C3-8,-22.685512,0.000000,0.000000
C3-9,-22.271976,0.000000,0.000000
C3-10,-34.729472,0.000000,0.000000
C3-11,-35.456191,0.000000,0.000000
C3-12,-30.841779,0.000000,0.000000
C3-13,-21.664199,0.000000,0.000000
C3-14,-21.214874,0.000000,0.000000
C3-15,4.026250,0.000000,0.000000
C3-16,-1.258970,0.000000,0.000000
C3-17,22.233244,0.000000,0.000000
C3-18,25.217926,0.000000,0.000000
C3-19,26.124751,0.000000,0.000000
C3-20,26.982286,0.000000,0.000000
C3-21,27.791962,0.000000,0.000000
C3-22,29.126920,0.000000,0.000000
C3-23,32.024833,0.000000,0.000000
C3-24,30.312948,0.000000,0.000000
C4-1,-20.709606,0.000000,0.000000
C4-2,-21.610524,0.000000,0.000000
C4-3,-23.249023,0.000000,0.000000
C4-4,-18.548802,0.000000,0.000000
C4-5,-17.847438,0.000000,0.000000
C4-6,-22.600583,0.000000,0.000000
C4-7,-21.854133,0.000000,0.000000
C4-8,-24.816000,0.000000,0.000000
C4-9,-28.266685,0.000000,0.000000
C4-10,-29.947531,0.000000,0.000000
C4-11,-34.496488,0.000000,0.000000
C4-12,-31.731190,0.000000,0.000000
C4-13,-28.950487,0.000000,0.000000
C4-14,-28.743270,0.000000,0.000000
C4-15,-25.980193,0.000000,0.000000
C4-16,-21.642437,0.000000,0.000000
C4-17,-21.788276,0.000000,0.000000
C4-18,-27.519760,0.000000,0.000000
C4-19,-29.917251,0.000000,0.000000
C4-20,-29.003672,0.000000,0.000000
C4-21,-27.651062,0.000000,0.000000
C4-22,-25.318300,0.000000,0.000000
C4-23,-23.105913,0.000000,0.000000
C4-24,-21.558615,0.000000,0.000000
C5-1,-7.335714,0.000000,0.000000
C5-2,-5.970872,0.000000,0.000000
C5-3,-3.060971,0.000000,0.000000
C5-4,5.574647,0.000000,0.000000
C5-5,6.489883,0.000000,0.000000
C5-6,1.314193,0.000000,0.000000
C5-7,3.093729,0.000000,0.000000
C5-8,-12.029881,0.000000,0.000000
C5-9,-11.506194,0.000000,0.000000
C5-10,-19.437448,0.000000,0.000000
C5-11,-19.628918,0.000000,0.000000
C5-12,-16.774242,0.000000,0.000000
C5-13,-10.984153,0.000000,0.000000
C5-14,-10.709197,0.000000,0.000000
C5-15,5.478585,0.000000,0.000000
C5-16,1.800061,0.000000,0.000000
C5-17,17.037839,0.000000,0.000000
C5-18,19.440268,0.000000,0.000000
C5-19,20.204644,0.000000,0.000000
C5-20,20.663319,0.000000,0.000000
C5-21,21.055701,0.000000,0.000000
C5-22,21.694119,0.000000,0.000000
C5-23,23.316805,0.000000,0.000000
C5-24,21.996484,0.000000,0.000000
C6-1,14.300455,0.000000,0.000000
C6-2,12.862586,0.000000,0.000000
C6-3,16.601005,0.000000,0.000000
C6-4,74.142962,0.000000,0.000000
C6-5,82.748671,0.000000,0.000000
C6-6,47.384073,0.000000,0.000000
C6-7,75.800857,0.000000,0.000000
C6-8,6.128872,0.000000,0.000000
C6-9,3.609483,0.000000,0.000000
C6-10,-33.634885,0.000000,0.000000
C6-11,-47.809661,0.000000,0.000000
C6-12,-22.456165,0.000000,0.000000
C6-13,14.143956,0.000000,0.000000
C6-14,15.616649,0.000000,0.000000
C6-15,98.917162,0.000000,0.000000
C6-16,96.023071,0.000000,0.000000
C6-17,166.959901,0.000000,0.000000
C6-18,175.000000,0.000000,0.000000
C6-19,175.000000,0.000000,0.000000
C6-20,175.000000,0.000000,0.000000
C6-21,175.000000,0.000000,28.644698
C6-22,175.000000,0.000000,57.218865
C6-23,175.000000,0.000000,36.682861
C6-24,159.792797,0.000000,0.000000
C7-1,-137.366206,0.000000,0.000000
C7-2,-133.182508,0.000000,0.000000
C7-3,-137.812810,0.000000,0.000000
C7-4,-47.792080,0.000000,0.000000
C7-5,-40.895886,0.000000,0.000000
C7-6,-107.628794,0.000000,0.000000
C7-7,-117.504528,0.000000,0.000000
C7-8,-147.863692,0.000000,0.000000
C7-9,-156.475257,0.000000,0.000000
C7-10,-122.792560,0.000000,0.000000
C7-11,-28.504218,0.000000,0.000000
C7-12,-128.453663,0.000000,0.000000
C7-13,-122.018796,0.000000,0.000000
C7-14,-71.931307,0.000000,0.000000
C7-15,-18.535287,0.000000,0.000000
C7-16,-23.784110,0.000000,0.000000
C7-17,4.449648,0.000000,0.000000
C7-18,-0.984108,0.000000,0.000000
C7-19,-6.251328,0.000000,0.000000
C7-20,14.060848,0.000000,0.000000
C7-21,53.128215,0.000000,0.000000
C7-22,65.367668,0.000000,0.000000
C7-23,44.616452,0.000000,0.000000
C7-24,26.211432,0.000000,0.000000
C8-1,-52.582747,0.000000,0.000000
C8-2,-52.465316,0.000000,0.000000
C8-3,-53.319570,0.000000,0.000000
C8-4,-48.350131,0.000000,0.000000
C8-5,-48.035037,0.000000,0.000000
C8-6,-54.614186,0.000000,0.000000
C8-7,-58.069888,0.000000,0.000000
C8-8,-63.981454,0.000000,0.000000
C8-9,-69.574183,0.000000,0.000000
C8-10,-72.753288,0.000000,0.000000
C8-11,-78.472762,0.000000,0.000000
C8-12,-75.988387,0.000000,0.000000
C8-13,-72.903350,0.000000,0.000000
C8-14,-72.543966,0.000000,0.000000
C8-15,-69.148811,0.000000,0.000000
C8-16,-64.050220,0.000000,0.000000
C8-17,-64.441867,0.000000,0.000000
C8-18,-74.984170,0.000000,0.000000
C8-19,-78.844805,0.000000,0.000000
C8-20,-76.526607,0.000000,0.000000
C8-21,-73.418224,0.000000,0.000000
C8-22,-68.100647,0.000000,0.000000
C8-23,-61.908507,0.000000,0.000000
C8-24,-56.638969,0.000000,0.000000
C9-1,-45.296395,0.000000,0.000000
C9-2,-42.230919,0.000000,0.000000
C9-3,-37.077790,0.000000,0.000000
C9-4,-23.096806,0.000000,0.000000
C9-5,-22.018946,0.000000,0.000000
C9-6,-32.241904,0.000000,0.000000
C9-7,-33.693327,0.000000,0.000000
C9-8,-60.263177,0.000000,0.000000
C9-9,-61.904845,0.000000,0.000000
C9-10,-75.799861,0.000000,0.000000
C9-11,-77.649642,0.000000,0.000000
C9-12,-73.304765,0.000000,0.000000
C9-13,-63.835189,0.000000,0.000000
C9-14,-63.239866,0.000000,0.000000
C9-15,-37.392288,0.000000,0.000000
C9-16,-41.947518,0.000000,0.000000
C9-17,-18.691147,0.000000,0.000000
C9-18,-20.322251,0.000000,0.000000
C9-19,-20.819254,0.000000,0.000000
C9-20,-18.614044,0.000000,0.000000
C9-21,-16.119775,0.000000,0.000000
C9-22,-11.921008,0.000000,0.000000
C9-23,-5.204683,0.000000,0.000000
C9-24,-3.345230,0.000000,0.000000
C10-1,-65.913379,0.000000,0.000000
C10-2,-62.676978,0.000000,0.000000
C10-3,-58.325761,0.000000,0.000000
C10-4,-49.195362,0.000000,0.000000
C10-5,-48.990028,0.000000,0.000000
C10-6,-57.521619,0.000000,0.000000
C10-7,-63.464955,0.000000,0.000000
C10-8,-84.009634,0.000000,0.000000
C10-9,-87.422676,0.000000,0.000000
C10-10,-98.107489,0.000000,0.000000
C10-11,-100.450177,0.000000,0.000000
C10-12,-98.111793,0.000000,0.000000
C10-13,-91.762388,0.000000,0.000000
C10-14,-91.207773,0.000000,0.000000
C10-15,-73.858334,0.000000,0.000000
C10-16,-76.138566,0.000000,0.000000
C10-17,-61.352544,0.000000,0.000000
C10-18,-67.791621,0.000000,0.000000
C10-19,-69.716267,0.000000,0.000000
C10-20,-66.676131,0.000000,0.000000
C10-21,-63.056922,0.000000,0.000000
C10-22,-56.932898,0.000000,0.000000
C10-23,-47.996071,0.000000,0.000000
C10-24,-42.475519,0.000000,0.000000
C11-1,-53.839766,0.000000,0.000000
C11-2,-52.119582,0.000000,0.000000
C11-3,-50.794843,0.000000,0.000000
C11-4,-50.340082,0.000000,0.000000
C11-5,-50.992566,0.000000,0.000000
C11-6,-54.077033,0.000000,0.000000
C11-7,-61.175261,0.000000,0.000000
C11-8,-66.157861,0.000000,0.000000
C11-9,-69.776178,0.000000,0.000000
C11-10,-72.307023,0.000000,0.000000
C11-11,-74.284245,0.000000,0.000000
C11-12,-74.758779,0.000000,0.000000
C11-13,-74.244701,0.000000,0.000000
C11-14,-73.987662,0.000000,0.000000
C11-15,-72.919962,0.000000,0.000000
C11-16,-71.634767,0.000000,0.000000
C11-17,-72.049984,0.000000,0.000000
C11-18,-80.176368,0.000000,0.000000
C11-19,-82.647896,0.000000,0.000000
C11-20,-80.275229,0.000000,0.000000
C11-21,-39.359593,0.000000,0.000000
C11-22,-51.889873,0.000000,0.000000
C11-23,-65.544922,0.000000,0.000000
C11-24,-59.257355,0.000000,0.000000
C12-1-1,-71.835836,0.000000,0.000000
C12-1-2,-71.501180,0.000000,0.000000
C12-1-3,-73.329832,0.000000,0.000000
C12-1-4,-76.128496,0.000000,0.000000
C12-1-5,-77.102271,0.000000,0.000000
C12-1-6,-80.068587,0.000000,0.000000
C12-1-7,-89.211439,0.000000,0.000000
C12-1-8,-78.566903,0.000000,0.000000
C12-1-9,-72.815333,0.000000,0.000000
C12-1-10,-90.621005,0.000000,0.000000
C12-1-11,-59.770753,0.000000,0.000000
C12-1-12,-96.778574,0.000000,0.000000
C12-1-13,-98.669960,0.000000,0.000000
C12-1-14,-98.435113,0.000000,0.000000
C12-1-15,-89.275398,0.000000,0.000000
C12-1-16,-85.003357,0.000000,0.000000
C12-1-17,-112.573318,0.000000,0.000000
C12-1-18,-127.930656,0.000000,0.000000
C12-1-19,-133.085260,0.000000,0.000000
C12-1-20,-130.022680,0.000000,0.000000
C12-1-21,-106.933370,0.000000,0.000000
C12-1-22,-108.679696,0.000000,0.000000
C12-1-23,-110.702163,0.000000,0.000000
C12-1-24,-101.253785,0.000000,0.000000
C13-2-1,-55.656730,0.000000,0.000000
C13-2-2,-51.917991,0.000000,0.000000
C13-2-3,-46.952358,0.000000,0.000000
C13-2-4,-43.076819,0.000000,0.000000
C13-2-5,-43.648124,0.000000,0.000000
C13-2-6,-47.985826,0.000000,0.000000
C13-2-7,-55.651579,0.000000,0.000000
C13-2-8,-64.194913,0.000000,0.000000
C13-2-9,-52.914657,0.000000,0.000000
C13-2-10,-80.602026,0.000000,0.000000
C13-2-11,-43.734340,0.000000,0.000000
C13-2-12,-80.250214,0.000000,0.000000
C13-2-13,-77.141492,0.000000,0.000000
C13-2-14,-76.767671,0.000000,0.000000
C13-2-15,-46.623938,0.000000,0.000000
C13-2-16,-54.027772,0.000000,0.000000
